日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2022-03-01,2025规划,7,0,1,87.5,0.955,2115052391113.46,21150.52,0,0,0,0,1,7,0,0,0,False,False,0,0
2022-03-01,3D摄像头,1,1,0,50.0,-0.295,598358719861.4,5983.59,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-03-01,5G概念,6,3,1,60.0,0.23000000000000004,3081088656079.17,30810.89,0,0,0,3,1,6,0,0,0,False,False,0,0
2022-03-01,6G概念,1,0,0,100.0,1.07,139099624359.96,1391.00,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-03-01,AB股,2,1,1,50.0,0.7274999999999999,536038330077.47003,5360.38,0,0,0,1,1,2,0,0,0,False,False,0,0
2022-03-01,AH股,54,12,1,80.59701492537313,0.9498507462686567,23081281397383.46,230812.81,0,0,2,9,2,49,3,2,0,False,False,0,0
2022-03-01,AIGC概念,1,0,0,100.0,1.86,115921908216.7,1159.22,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-03-01,AI芯片,1,0,0,100.0,0.31,188613098322.0,1886.13,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-03-01,CAR-T细胞疗法,1,2,0,33.33333333333333,-0.003333333333333336,630362912960.8201,6303.63,0,0,0,1,1,1,0,0,0,False,False,0,0
2022-03-01,CRO,3,0,0,100.0,2.5500000000000003,592103435449.0701,5921.03,0,0,0,0,0,2,1,0,0,False,True,-1,0
2022-03-01,ChatGPT概念,1,0,1,50.0,0.93,337753560831.51,3377.54,0,0,0,0,1,1,0,0,0,False,False,0,0
2022-03-01,EDA概念,1,0,0,100.0,0.31,188613098322.0,1886.13,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-03-01,ERP概念,1,1,0,50.0,-0.24000000000000002,214681259648.15002,2146.81,0,0,0,1,1,0,0,0,0,False,False,0,0
2022-03-01,ETC,1,0,0,100.0,0.31,188613098322.0,1886.13,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-03-01,GDR,3,0,0,100.0,0.7833333333333333,952632536977.8,9526.33,0,0,0,0,0,3,0,0,0,False,True,-1,0
2022-03-01,HIT电池,2,2,0,50.0,0.35000000000000003,1174842238198.37,11748.42,0,0,0,1,1,1,1,0,0,False,False,0,0
2022-03-01,HS300_,115,51,4,67.64705882352942,0.6214117647058823,47229295972090.16,472292.96,0,0,7,39,10,99,10,5,0,False,False,0,0
2022-03-01,IGBT概念,4,2,0,66.66666666666666,0.53,1627441427752.28,16274.41,0,0,0,1,1,4,0,0,0,False,False,0,0
2022-03-01,IPO受益,3,1,0,75.0,0.9175,1482404697635.84,14824.05,0,0,0,0,1,3,0,0,0,False,False,0,0
2022-03-01,IPv6,2,0,0,100.0,0.93,261546703872.40997,2615.47,0,0,0,0,0,2,0,0,0,False,True,-1,0
2022-03-01,LED,2,1,1,50.0,0.18,596458964793.8501,5964.59,0,0,0,1,1,2,0,0,0,False,False,0,0
2022-03-01,MSCI中国,108,42,3,70.58823529411765,0.7179738562091503,44341972803243.61,443419.73,0,0,6,33,7,93,10,4,0,False,False,0,0
2022-03-01,MicroLED,1,0,1,50.0,0.665,323456098352.65,3234.56,0,0,0,0,1,1,0,0,0,False,False,0,0
2022-03-01,MiniLED,1,0,1,50.0,0.665,323456098352.65,3234.56,0,0,0,0,1,1,0,0,0,False,False,0,0
2022-03-01,OLED,1,1,1,33.33333333333333,0.14666666666666667,464653806232.5,4646.54,0,0,0,0,2,1,0,0,0,False,False,0,0
2022-03-01,PLC概念,1,1,0,50.0,-0.2,276453499195.08,2764.53,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-03-01,PPP模式,5,1,0,83.33333333333334,1.4716666666666667,1022876713474.29,10228.77,0,0,0,1,0,4,1,0,0,False,False,0,0
2022-03-01,PVDF概念,1,0,0,100.0,0.5,203353248305.39,2033.53,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-03-01,QFII重仓,14,1,0,93.33333333333333,1.1486666666666667,4539700240754.13,45397.00,0,0,1,0,0,12,1,1,0,False,False,0,0
2022-03-01,REITs概念,4,1,0,80.0,0.706,926054785988.14,9260.55,0,0,1,0,0,3,1,0,0,False,False,0,0
2022-03-01,TOPCon电池,2,2,0,50.0,-0.15500000000000003,592487055795.61,5924.87,0,0,0,2,0,2,0,0,0,False,False,0,0
