日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2022-03-01,2025规划,57,21,4,69.51219512195121,0.7986585365853658,3554049931305.74,35540.50,0,0,2,15,9,48,5,3,0,False,False,0,0
2022-03-01,3D打印,31,19,1,60.78431372549019,0.4974509803921569,533601903281.28,5336.02,0,0,0,19,1,27,3,1,0,False,False,0,0
2022-03-01,3D摄像头,4,5,0,44.44444444444444,-0.2544444444444445,713450230808.5801,7134.50,0,0,1,4,0,4,0,0,0,False,False,0,0
2022-03-01,3D玻璃,12,3,0,80.0,0.7633333333333333,179346919779.48,1793.47,0,0,0,2,1,12,0,0,0,False,False,0,0
2022-03-01,5G概念,199,90,8,67.003367003367,0.7686868686868688,6539463223831.04,65394.63,1,1,10,70,20,160,21,11,3,False,False,0,0
2022-03-01,6G概念,15,2,0,88.23529411764706,1.4729411764705882,374803729343.32,3748.04,0,0,0,2,0,12,2,1,0,False,False,0,0
2022-03-01,AB股,56,13,5,75.67567567567568,1.011081081081081,1528920474157.05,15289.20,0,0,0,13,6,49,2,2,2,False,False,0,0
2022-03-01,AH股,96,41,6,67.13286713286713,0.6072727272727273,25874371912922.21,258743.72,0,0,3,36,8,89,4,3,0,False,False,0,0
2022-03-01,AIGC概念,20,6,1,74.07407407407408,1.2381481481481482,390191031222.07,3901.91,0,0,0,6,1,19,0,0,1,False,False,0,0
2022-03-01,AI芯片,9,6,0,60.0,0.39133333333333326,661845887453.17,6618.46,0,0,0,6,0,8,0,1,0,False,False,0,0
2022-03-01,C2M概念,29,7,0,80.55555555555556,0.8677777777777779,320515439851.01,3205.15,0,0,0,6,1,26,3,0,0,False,False,0,0
2022-03-01,CAR-T细胞疗法,6,15,1,27.27272727272727,-0.45,770441729073.79,7704.42,0,0,0,14,2,6,0,0,0,False,False,0,0
2022-03-01,CPO概念,6,3,0,66.66666666666666,1.832222222222222,260401365896.92,2604.01,0,0,0,3,0,4,0,2,0,False,False,0,0
2022-03-01,CRO,16,7,0,69.56521739130434,1.6091304347826085,1043845332456.92,10438.45,0,0,0,6,1,11,4,0,1,False,False,0,0
2022-03-01,ChatGPT概念,35,8,1,79.54545454545455,1.513409090909091,805786471620.19,8057.86,0,0,0,8,1,28,2,5,0,False,False,0,0
