日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2022-04-01,IT服务,1,1,0,50.0,0.22999999999999998,154292085397.95,1542.92,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,专业工程,1,1,0,50.0,0.30499999999999994,136866437737.1,1368.66,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,专用设备,1,1,0,50.0,-0.014999999999999986,130584330716.17,1305.84,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,中药,0,3,0,0.0,-2.91,166067939533.94,1660.68,0,1,0,2,0,0,0,0,0,True,False,0,-1
2022-04-01,乘用车,1,0,0,100.0,5.02,67691987342.43,676.92,0,0,0,0,0,0,0,1,0,False,True,-1,0
2022-04-01,互联网电商,1,0,0,100.0,1.31,56512617501.97,565.13,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,传媒,3,0,0,100.0,3.0400000000000005,204088116249.63,2040.88,0,0,0,0,0,2,1,0,0,False,True,-1,0
2022-04-01,住宅开发,2,0,0,100.0,3.6049999999999995,145349085433.08002,1453.49,0,0,0,0,0,1,1,0,0,False,True,-1,0
2022-04-01,保险及其他,1,0,0,100.0,2.94,66497335955.54,664.97,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,光伏设备,2,3,0,40.0,0.28,407741523423.24,4077.42,0,0,0,1,2,2,0,0,0,False,False,0,0
2022-04-01,光学光电子,0,1,0,0.0,-0.41,83481549958.23,834.82,0,0,0,1,0,0,0,0,0,True,False,0,-1
2022-04-01,其他传媒,1,0,0,100.0,4.95,54581639955.409996,545.82,0,0,0,0,0,0,1,0,0,False,True,-1,0
2022-04-01,其他化学制品,1,0,0,100.0,1.46,64504735585.05,645.05,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,其他家用轻工,1,0,0,100.0,1.46,78320409977.0,783.20,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,其他建材,1,0,0,100.0,2.97,52729539748.82,527.30,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,其他生物制品,1,1,0,50.0,-1.16,151845447122.21002,1518.45,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,其他电源设备,1,0,0,100.0,0.25,63098226822.6,630.98,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,其他白色家电,1,1,0,50.0,0.845,111603241609.65001,1116.03,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,其他纺织,1,0,0,100.0,2.17,86661420000.0,866.61,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,军工电子,2,0,0,100.0,0.095,115134536592.18,1151.35,0,0,0,0,1,1,0,0,0,False,True,-1,0
2022-04-01,农产品加工,1,1,0,50.0,-0.11499999999999999,167921392743.16,1679.21,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,农商行,1,0,0,100.0,2.95,63942666670.35,639.43,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,冶钢原料,1,0,0,100.0,5.79,54056364227.84,540.56,0,0,0,0,0,0,0,1,0,False,True,-1,0
2022-04-01,分立器件,1,1,0,50.0,1.25,136318168114.1,1363.18,0,0,0,1,0,0,1,0,0,False,False,0,0
2022-04-01,化妆品,1,1,0,50.0,-0.0050000000000000044,132467697920.0,1324.68,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,化学制剂,0,1,0,0.0,-1.41,57794146716.600006,577.94,0,0,0,1,0,0,0,0,0,True,False,0,-1
2022-04-01,化学制品,2,0,0,100.0,1.56,134807860751.94,1348.08,0,0,0,0,0,2,0,0,0,False,True,-1,0
2022-04-01,化学制药,0,1,0,0.0,-1.41,57794146716.600006,577.94,0,0,0,1,0,0,0,0,0,True,False,0,-1
2022-04-01,化学原料,1,0,0,100.0,1.04,55857694632.72,558.58,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,化工合成材料,1,0,0,100.0,2.39,96126691433.28,961.27,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,医疗服务,0,3,0,0.0,-2.6566666666666667,202533700443.88,2025.34,0,0,1,2,0,0,0,0,0,True,False,0,-1
2022-04-01,医疗研发外包,0,3,0,0.0,-2.6566666666666667,202533700443.88,2025.34,0,0,1,2,0,0,0,0,0,True,False,0,-1
2022-04-01,医疗美容,0,1,0,0.0,-0.65,57826450295.4,578.26,0,0,0,1,0,0,0,0,0,True,False,0,-1
2022-04-01,医药商业,0,1,0,0.0,-1.92,88909500709.28,889.10,0,0,0,1,0,0,0,0,0,True,False,0,-1
2022-04-01,半导体及元件,7,6,0,53.84615384615385,0.12384615384615384,892991342387.5499,8929.91,0,0,2,4,0,6,1,0,0,False,False,0,0
2022-04-01,半导体材料,2,0,0,100.0,1.49,121859899599.88,1218.60,0,0,0,0,0,2,0,0,0,False,True,-1,0
2022-04-01,半导体设备,1,0,0,100.0,0.64,72223853056.0,722.24,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,印制电路板,0,1,0,0.0,-0.56,66524325686.56,665.24,0,0,0,1,0,0,0,0,0,True,False,0,-1
2022-04-01,品牌消费电子,1,0,0,100.0,0.43,77195312607.0,771.95,0,0,0,0,0,1,0,0,0,False,True,-1,0
2022-04-01,商业地产,2,0,0,100.0,4.64,139006280399.36,1390.06,0,0,0,0,0,0,1,1,0,False,True,-1,0
