日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2022-04-01,3D打印,9,7,0,56.25,0.6031249999999999,319400714754.7,3194.01,0,0,1,6,0,7,1,1,0,False,False,0,0
2022-04-01,5G,37,44,2,44.57831325301205,0.0753012048192771,1704488281007.26,17044.88,0,0,2,39,7,33,1,0,1,False,False,0,0
2022-04-01,6G概念,1,9,0,10.0,-0.466,241687020360.9,2416.87,0,0,0,9,0,1,0,0,0,False,False,0,0
2022-04-01,AIGC概念,10,3,1,71.42857142857143,2.412857142857143,251722355366.04,2517.22,0,1,0,2,1,3,3,3,1,False,False,0,0
2022-04-01,C2M概念,1,1,0,50.0,-0.16999999999999998,32945167367.32,329.45,0,0,0,1,0,1,0,0,0,False,False,0,0
2022-04-01,CRO概念,1,7,0,12.5,-2.015,200330028824.94,2003.30,0,1,2,3,1,1,0,0,0,False,False,0,0
2022-04-01,ChatGPT概念,10,1,0,90.9090909090909,3.0081818181818183,188452968658.5,1884.53,0,0,0,1,0,4,2,4,0,False,False,0,0
2022-04-01,DRG/DIP,2,3,0,40.0,0.32399999999999995,84686213330.94,846.86,0,0,0,2,1,2,0,0,0,False,False,0,0
2022-04-01,EDR概念,4,1,0,80.0,1.248,92166499756.93,921.66,0,0,0,1,1,2,0,1,0,False,False,0,0
2022-04-01,ERP概念,2,1,0,66.66666666666666,0.6766666666666667,62914350703.89,629.14,0,0,0,1,0,2,0,0,0,False,False,0,0
2022-04-01,ETC,3,6,0,33.33333333333333,-1.0622222222222222,142555208024.39,1425.55,0,1,0,5,0,3,0,0,0,False,False,0,0
2022-04-01,F5G概念,5,4,0,55.55555555555556,0.29555555555555557,171366612530.2,1713.67,0,0,0,4,0,5,0,0,0,False,False,0,0
2022-04-01,HJT电池,2,5,0,28.57142857142857,-1.2957142857142858,194423848228.36,1944.24,0,0,2,3,0,2,0,0,0,False,False,0,0
2022-04-01,MCU芯片,12,5,0,70.58823529411765,1.9788235294117646,417406649567.47,4174.07,0,0,0,5,1,8,0,2,1,False,False,0,0
2022-04-01,MSCI概念,203,109,8,63.4375,0.6519999999999999,8928526737250.18,89285.27,0,3,6,93,18,164,28,8,0,False,False,0,0
2022-04-01,MicroLED概念,4,1,0,80.0,0.626,83247461855.31,832.47,0,0,0,1,0,4,0,0,0,False,False,0,0
2022-04-01,MiniLED,11,10,0,52.38095238095239,0.027142857142857118,450533707478.47,4505.34,0,0,0,9,2,10,0,0,0,False,False,0,0
2022-04-01,NFT概念,11,2,0,84.61538461538461,2.9453846153846155,245720165087.82,2457.20,0,1,1,0,0,3,4,3,1,False,False,0,0
