日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2022-04-01,IT设备,10,29,3,23.809523809523807,-0.9495238095238095,393371122870.32,3933.71,1,1,3,23,4,9,0,1,0,False,False,0,0
2022-04-01,专用机械,66,130,2,33.33333333333333,-0.7292929292929293,1660387212450.52,16603.87,2,5,11,107,11,49,10,2,1,False,False,0,0
2022-04-01,中成药,6,65,0,8.450704225352112,-3.66225352112676,1104883940162.23,11048.84,1,23,19,22,0,5,0,0,1,False,False,0,0
2022-04-01,乳制品,9,9,1,47.368421052631575,-0.39052631578947367,353870535639.13,3538.71,0,0,0,9,1,9,0,0,0,False,False,0,0
2022-04-01,互联网,59,20,0,74.68354430379746,1.5707594936708862,752884793177.41,7528.85,1,2,6,11,0,36,15,4,4,False,False,0,0
2022-04-01,交通设施,39,3,0,92.85714285714286,3.2857142857142856,960482026336.66,9604.82,0,0,0,3,0,18,11,7,3,False,False,0,0
2022-04-01,仓储物流,31,14,4,63.26530612244898,0.25979591836734683,831391366419.04,8313.91,0,0,0,12,6,23,6,1,0,False,False,0,0
2022-04-01,传媒娱乐,69,2,0,97.1830985915493,2.865774647887324,647540279874.4,6475.40,0,0,0,2,0,47,11,7,4,False,False,0,0
2022-04-01,供气供热,24,14,3,58.536585365853654,0.09536585365853659,336267389844.27,3362.67,0,0,0,14,3,23,1,0,0,False,False,0,0
2022-04-01,保险,6,0,0,100.0,1.7016666666666669,2217085853091.32,22170.86,0,0,0,0,0,5,1,0,0,False,True,-1,0
2022-04-01,元器件,78,151,7,33.05084745762712,-0.5125847457627118,3225594574952.96,32255.95,1,4,13,130,18,60,4,4,2,False,False,0,0
2022-04-01,全国地产,26,7,0,78.78787878787878,3.126666666666667,946154650890.9601,9461.55,0,2,2,3,0,10,7,6,3,False,False,0,0
2022-04-01,公共交通,3,2,0,60.0,-0.7,22875210993.22,228.75,0,0,0,2,0,3,0,0,0,False,False,0,0
2022-04-01,公路,2,0,0,100.0,5.1,5680233491.96,56.80,0,0,0,0,0,1,0,0,1,False,True,-1,0
2022-04-01,其他商业,8,4,0,66.66666666666666,2.089166666666667,128925156212.92,1289.25,0,0,0,4,0,3,4,0,1,False,False,0,0
2022-04-01,其他建材,12,19,0,38.70967741935484,0.37387096774193546,337867479508.29,3378.67,0,1,3,15,0,7,1,2,2,False,False,0,0
2022-04-01,农业综合,19,20,1,47.5,0.31725000000000003,808683936952.64,8086.84,0,0,2,18,1,15,2,1,1,False,False,0,0
2022-04-01,农林牧渔,36,46,3,42.35294117647059,-0.019999999999999987,1341630972952.64,13416.31,0,2,4,40,3,30,3,2,1,False,False,0,0
2022-04-01,农用机械,3,6,1,30.0,-0.727,39734177093.84,397.34,0,0,1,5,2,2,0,0,0,False,False,0,0
2022-04-01,农药化肥,26,24,3,49.056603773584904,0.41509433962264153,851739477780.16,8517.39,0,0,4,20,4,19,3,2,1,False,False,0,0
2022-04-01,出版业,26,2,0,92.85714285714286,2.2439285714285715,225562686941.92,2255.63,0,0,0,2,0,18,4,4,0,False,False,0,0
2022-04-01,化学制药,16,110,1,12.598425196850393,-2.0568503937007874,2187992798274.77,21879.93,1,15,32,61,3,10,2,1,2,False,False,0,0
2022-04-01,化工,155,210,10,41.333333333333336,-0.25397333333333333,5043028330891.87,50430.28,2,6,25,170,19,116,19,13,4,False,False,0,0
2022-04-01,化工原料,95,119,3,43.77880184331797,-0.048110599078341004,3382406898958.68,33824.07,2,4,12,96,9,71,14,7,2,False,False,0,0
2022-04-01,化工机械,3,7,0,30.0,-0.8560000000000001,105958682491.6,1059.59,0,0,0,7,0,3,0,0,0,False,False,0,0
2022-04-01,化纤,14,12,3,48.275862068965516,0.17689655172413793,579848469251.27,5798.48,0,0,1,11,3,12,1,1,0,False,False,0,0
2022-04-01,区域地产,41,12,0,77.35849056603774,2.698490566037736,550526475243.67,5505.26,0,4,0,8,0,18,8,9,6,False,False,0,0
2022-04-01,医疗保健,44,106,2,28.947368421052634,-0.7486184210526315,2910609980145.28,29106.10,1,6,17,80,7,32,5,3,0,False,False,0,0
2022-04-01,医药,34,226,2,12.977099236641221,-2.424236641221374,4910464193700.99,49104.64,3,41,62,118,5,26,3,1,3,False,False,0,0
2022-04-01,医药商业,7,29,0,19.444444444444446,-2.7836111111111115,454631195427.27997,4546.31,1,5,12,11,0,5,1,0,1,False,False,0,0
2022-04-01,半导体,48,56,0,46.15384615384615,0.18288461538461537,3024428915860.78,30244.29,0,0,6,47,6,35,5,4,1,False,False,0,0
2022-04-01,商业连锁,61,46,1,56.481481481481474,0.15185185185185185,1090706293066.98,10907.06,1,5,13,27,1,42,14,2,3,False,False,0,0
2022-04-01,商品城,4,0,0,100.0,1.77,47380876567.36,473.81,0,0,0,0,0,3,1,0,0,False,True,-1,0
2022-04-01,商贸代理,10,8,0,55.55555555555556,1.2972222222222223,123086222786.31,1230.86,0,0,1,7,0,6,1,2,1,False,False,0,0
2022-04-01,啤酒,6,1,0,85.71428571428571,2.255714285714286,208974158977.21,2089.74,0,0,0,1,0,3,3,0,0,False,False,0,0
2022-04-01,园区开发,10,3,0,76.92307692307693,0.4376923076923077,218432803960.06,2184.33,0,0,2,1,0,9,0,1,0,False,False,0,0
2022-04-01,塑料,14,48,2,21.875,-1.77765625,501114033145.78,5011.14,0,2,7,38,2,12,0,1,1,False,False,0,0
2022-04-01,多元金融,22,5,1,78.57142857142857,1.9967857142857142,500050893436.06,5000.51,1,0,0,4,1,15,3,3,1,False,False,0,0
2022-04-01,家居用品,23,35,0,39.6551724137931,-0.1774137931034483,359900459872.32,3599.00,0,0,4,30,3,17,3,1,0,False,False,0,0
2022-04-01,家用电器,39,37,4,48.75,0.12112500000000001,1656821487317.24,16568.21,0,1,3,33,4,34,4,1,0,False,False,0,0
2022-04-01,小金属,26,26,2,48.148148148148145,0.15611111111111112,1570340136764.18,15703.40,0,2,1,22,4,20,2,3,0,False,False,0,0
2022-04-01,工业机械,78,153,4,33.191489361702125,-0.724127659574468,1941387613971.8,19413.88,2,6,12,128,14,60,10,2,1,False,False,0,0
2022-04-01,工程机械,12,13,1,46.15384615384615,-0.04076923076923077,486138979506.63,4861.39,0,1,0,12,1,11,0,1,0,False,False,0,0
2022-04-01,广告包装,23,21,1,51.11111111111111,1.1711111111111112,360283079204.82,3602.83,0,1,4,16,1,12,5,2,4,False,False,0,0
2022-04-01,建材,30,47,0,38.961038961038966,-0.13948051948051945,1352677790374.58,13526.78,0,3,7,37,0,23,2,3,2,False,False,0,0
2022-04-01,建筑,43,96,7,29.45205479452055,-1.5307534246575343,1985885132396.1,19858.85,3,12,26,54,8,36,4,3,0,False,False,0,0
2022-04-01,建筑工程,35,77,5,29.914529914529915,-1.5708547008547011,1855589849740.4102,18555.90,2,10,20,44,6,29,4,2,0,False,False,0,0
2022-04-01,影视音像,43,0,0,100.0,3.2706976744186043,421977592932.48,4219.78,0,0,0,0,0,29,7,3,4,False,True,-1,0
2022-04-01,房产服务,5,8,0,38.46153846153847,-0.3507692307692307,84205864209.19,842.06,0,0,1,7,0,4,1,0,0,False,False,0,0
2022-04-01,房地产,82,30,0,73.21428571428571,2.2083035714285715,1799319794303.88,17993.20,0,6,5,19,0,41,16,16,9,False,False,0,0
2022-04-01,批发业,2,1,1,50.0,0.11250000000000004,22230129136.1,222.30,0,0,1,0,1,1,1,0,0,False,False,0,0
2022-04-01,摩托车,5,4,0,55.55555555555556,0.8122222222222222,119538527786.47,1195.39,0,0,0,4,0,3,2,0,0,False,False,0,0
2022-04-01,文教休闲,28,15,2,62.22222222222222,1.1664444444444444,287971912833.12,2879.72,0,0,1,13,3,17,7,3,1,False,False,0,0
2022-04-01,新型电力,11,9,1,52.38095238095239,0.010476190476190476,1007211195244.1,10072.11,0,0,0,9,1,11,0,0,0,False,False,0,0
2022-04-01,旅游,23,0,1,95.83333333333334,3.780416666666666,556272684543.79,5562.73,0,0,0,0,1,12,4,5,2,False,False,0,0
2022-04-01,旅游景点,12,0,0,100.0,3.448333333333333,141831328154.85,1418.31,0,0,0,0,0,8,1,2,1,False,True,-1,0
2022-04-01,旅游服务,11,0,1,91.66666666666666,4.1125,414441356388.94,4144.41,0,0,0,0,1,4,3,3,1,False,False,0,0
2022-04-01,日用化工,4,11,0,26.666666666666668,-0.718,217197744807.15,2171.98,0,0,1,9,1,4,0,0,0,False,False,0,0
2022-04-01,普钢,20,2,3,80.0,0.8016,672998713386.0701,6729.99,0,0,0,2,3,19,1,0,0,False,False,0,0
2022-04-01,有色,66,56,7,51.162790697674424,0.1613953488372093,3104292457290.38,31042.92,0,2,3,50,11,56,4,3,0,False,False,0,0
2022-04-01,服饰,31,31,3,47.69230769230769,0.056769230769230766,472255017828.94,4722.55,0,0,2,29,3,27,3,1,0,False,False,0,0
2022-04-01,机场,5,0,0,100.0,4.008,218617315557.68,2186.17,0,0,0,0,0,1,2,2,0,False,True,-1,0
2022-04-01,机床制造,2,19,1,9.090909090909092,-0.7181818181818183,119879500963.91,1198.80,0,0,0,18,2,2,0,0,0,False,False,0,0
2022-04-01,机械基件,19,72,2,20.43010752688172,-1.0525806451612902,514180200265.64,5141.80,1,3,7,59,6,14,1,1,1,False,False,0,0
2022-04-01,林业,3,1,0,75.0,0.5525000000000001,12570679529.27,125.71,0,0,0,1,0,3,0,0,0,False,False,0,0
