日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2022-04-01,3D打印,20,44,2,30.303030303030305,-0.6883333333333334,774872050153.2999,7748.72,0,1,6,37,3,14,4,1,0,False,False,0,0
2022-04-01,5G概念,107,208,8,33.126934984520126,-0.5610526315789474,6242898490991.13,62428.98,2,9,21,172,16,88,8,4,3,False,False,0,0
2022-04-01,6G概念,8,29,0,21.62162162162162,-0.7575675675675676,2449342403716.04,24493.42,0,1,0,28,0,8,0,0,0,False,False,0,0
2022-04-01,AIGC概念,43,18,2,68.25396825396825,2.278095238095238,683459547482.03,6834.60,0,2,0,16,2,22,10,7,4,False,False,0,0
2022-04-01,BIPV概念,28,58,2,31.818181818181817,-1.2078409090909092,1547203923043.19,15472.04,0,7,10,40,3,27,0,1,0,False,False,0,0
2022-04-01,C2M概念,16,20,0,44.44444444444444,-0.0061111111111111045,297614773137.05,2976.15,0,1,1,17,1,12,3,1,0,False,False,0,0
2022-04-01,CPO概念,7,19,0,26.923076923076923,-0.7203846153846154,338688946807.17,3386.89,0,0,2,17,0,6,1,0,0,False,False,0,0
2022-04-01,CXO概念,4,28,0,12.5,-2.28375,1269872273677.23,12698.72,0,4,10,13,1,2,1,1,0,False,False,0,0
2022-04-01,DRG-DIP,4,10,0,28.57142857142857,-0.6957142857142857,129309988687.76999,1293.10,0,0,1,8,1,4,0,0,0,False,False,0,0
2022-04-01,EDA概念,9,5,0,64.28571428571429,0.6035714285714286,384292854201.95,3842.93,0,0,1,3,1,7,1,1,0,False,False,0,0
2022-04-01,ETC概念,13,28,1,30.952380952380953,-0.6504761904761904,494072130208.76996,4940.72,0,4,3,21,1,10,1,1,1,False,False,0,0
2022-04-01,HJT电池,14,29,2,31.11111111111111,-0.12444444444444445,1562924668864.93,15629.25,0,0,2,24,5,12,0,1,1,False,False,0,0
2022-04-01,MCU芯片,20,18,0,52.63157894736842,0.7042105263157895,1632059838226.03,16320.60,0,0,1,17,1,16,0,2,1,False,False,0,0
2022-04-01,MicroLED,15,10,1,57.692307692307686,0.21807692307692303,428992570336.6,4289.93,0,0,1,9,1,14,0,1,0,False,False,0,0
2022-04-01,MiniLED,30,33,1,46.875,-0.04484375000000002,1142182484247.05,11421.82,0,0,0,32,3,26,1,2,0,False,False,0,0
2022-04-01,NFT概念,47,15,0,75.80645161290323,2.370483870967742,557479528527.9,5574.80,0,2,3,9,1,23,13,6,5,False,False,0,0
2022-04-01,NMN概念,5,19,0,20.833333333333336,-1.5287499999999998,242058963036.67,2420.59,0,1,6,12,0,4,0,1,0,False,False,0,0
2022-04-01,OLED概念,42,72,3,35.8974358974359,-0.4612820512820513,1900649206428.47,19006.49,0,5,3,62,6,35,2,4,0,False,False,0,0
2022-04-01,POE胶膜,10,12,0,45.45454545454545,0.4854545454545454,1059046822552.52,10590.47,0,0,2,10,1,7,0,1,1,False,False,0,0
2022-04-01,PPP概念,74,89,7,43.529411764705884,-0.45217647058823535,2559927778835.07,25599.28,4,7,11,66,9,60,7,4,2,False,False,0,0
2022-04-01,PVDF概念,8,4,1,61.53846153846154,0.6169230769230769,588516190706.52,5885.16,0,0,0,4,1,8,0,0,0,False,False,0,0
2022-04-01,ST板块,60,52,12,48.38709677419355,0.3387903225806451,551478372469.67,5514.78,1,5,7,39,12,38,14,5,3,False,False,0,0
2022-04-01,Web3概念,32,21,0,60.37735849056604,0.7422641509433962,462599884492.92,4626.00,1,2,5,12,2,16,9,4,2,False,False,0,0
2022-04-01,一体压铸,13,25,1,33.33333333333333,-0.5346153846153846,355507710097.93,3555.08,0,1,2,22,1,11,2,0,0,False,False,0,0
2022-04-01,一带一路,150,220,10,39.473684210526315,-0.2894736842105263,9290432544492.87,92904.33,3,14,31,170,14,111,18,9,10,False,False,0,0
2022-04-01,上海自贸,38,28,2,55.88235294117647,0.2888235294117647,1946804415696.16,19468.04,0,1,7,20,3,29,6,1,1,False,False,0,0
2022-04-01,东数西算,30,57,4,32.967032967032964,-1.0651648351648353,1108521777257.8801,11085.22,3,7,12,34,5,23,5,1,1,False,False,0,0
2022-04-01,中俄贸易,29,55,6,32.22222222222222,-0.34355555555555556,618082297240.74,6180.82,2,4,4,45,6,18,7,2,2,False,False,0,0
2022-04-01,乡村振兴,63,83,3,42.281879194630875,-0.22201342281879194,1872898057207.37,18728.98,2,4,10,66,5,50,7,2,3,False,False,0,0
2022-04-01,云游戏,25,5,0,83.33333333333334,2.5126666666666666,350623367439.71,3506.23,0,1,0,4,1,11,9,3,1,False,False,0,0
2022-04-01,云计算,82,119,5,39.80582524271845,-0.44907766990291265,5070075516611.97,50700.76,4,9,14,90,8,65,11,2,3,False,False,0,0
2022-04-01,互联金融,56,53,1,50.90909090909091,0.187,1532762275045.41,15327.62,1,2,8,42,3,39,12,1,2,False,False,0,0
2022-04-01,人工智能,144,199,8,41.02564102564102,-0.21133903133903137,5065596796058.87,50655.97,2,11,28,153,17,106,18,11,5,False,False,0,0
2022-04-01,人脑工程,5,17,1,21.73913043478261,-1.0,375370432839.9,3753.70,1,0,1,15,1,3,2,0,0,False,False,0,0
2022-04-01,人造肉,6,11,1,33.33333333333333,0.32111111111111107,304093968917.24,3040.94,0,0,1,10,1,5,0,0,1,False,False,0,0
2022-04-01,代糖概念,9,9,0,50.0,-0.48055555555555546,217645060787.74,2176.45,0,1,2,6,0,8,1,0,0,False,False,0,0
2022-04-01,仿制药,7,63,1,9.859154929577464,-1.8842253521126762,1537426398129.9,15374.26,1,9,13,39,2,3,1,1,2,False,False,0,0
2022-04-01,体育概念,39,31,1,54.929577464788736,0.8891549295774647,1073817501520.53,10738.18,0,2,2,26,3,23,9,5,1,False,False,0,0
2022-04-01,供销社,5,15,0,25.0,-1.424,147112250698.94,1471.12,1,2,1,11,1,3,1,0,0,False,False,0,0
2022-04-01,信创,64,119,5,34.04255319148936,-0.7851595744680852,2462989785234.95,24629.90,1,7,18,92,8,57,2,2,1,False,False,0,0
2022-04-01,信息安全,43,81,3,33.85826771653544,-0.6959842519685039,1321986190139.47,13219.86,2,4,10,64,5,34,3,4,1,False,False,0,0
2022-04-01,储能,101,169,6,36.594202898550726,-0.31833333333333336,7714114012931.49,77141.14,1,3,14,148,10,87,7,5,1,False,False,0,0
2022-04-01,充电桩,62,123,6,32.460732984293195,-0.5945549738219895,2952210080648.94,29522.10,0,4,12,107,8,53,5,2,0,False,False,0,0
2022-04-01,光伏,121,236,16,32.43967828418231,-0.5171581769436997,8944254362097.55,89442.54,3,6,21,201,22,103,11,5,1,False,False,0,0
2022-04-01,光刻机,21,33,0,38.88888888888889,-0.3940740740740741,581542015379.03,5815.42,0,1,4,25,4,16,2,2,0,False,False,0,0
2022-04-01,光热发电,6,20,2,21.428571428571427,-1.0621428571428573,429104072718.2,4291.04,0,0,3,16,4,5,0,0,0,False,False,0,0
2022-04-01,免疫治疗,9,16,2,33.33333333333333,0.2585185185185186,671181623084.55,6711.82,0,2,3,11,2,4,2,2,0,False,False,0,0
2022-04-01,免税概念,42,6,1,85.71428571428571,3.5183673469387755,1337604334600.1501,13376.04,0,0,0,6,1,17,11,9,5,False,False,0,0
2022-04-01,养老概念,39,48,5,42.391304347826086,-0.24456521739130435,1019423690663.37,10194.24,0,6,8,33,7,28,6,1,3,False,False,0,0
2022-04-01,军民融合,44,84,5,33.08270676691729,-0.47541353383458645,1978731662611.77,19787.32,0,2,8,73,8,35,6,1,0,False,False,0,0
2022-04-01,冷链物流,55,68,5,42.96875,-0.5121875,1627518335806.28,16275.18,0,6,13,47,6,44,6,3,2,False,False,0,0
2022-04-01,分散染料,5,11,2,27.77777777777778,-0.3605555555555556,128119474833.04,1281.19,0,0,0,10,3,5,0,0,0,False,False,0,0
2022-04-01,创投概念,143,127,10,51.07142857142857,0.3093214285714286,3400281129676.56,34002.81,0,3,21,102,12,107,21,9,5,False,False,0,0
2022-04-01,创新药,20,110,3,15.037593984962406,-1.9042105263157894,3390746103808.6,33907.46,2,11,32,64,5,11,4,3,1,False,False,0,0
2022-04-01,化肥概念,23,26,2,45.09803921568628,-0.10019607843137256,931556176737.23,9315.56,0,1,5,20,2,20,1,1,1,False,False,0,0
2022-04-01,区块链,103,126,5,44.01709401709402,0.09209401709401709,3399302997901.0103,33993.03,3,9,17,95,10,61,22,11,6,False,False,0,0
2022-04-01,医废处理,13,18,1,40.625,-1.02375,253854096819.87,2538.54,0,0,5,13,1,13,0,0,0,False,False,0,0
2022-04-01,医美概念,16,53,1,22.857142857142858,-1.341,1348522591338.87,13485.23,1,6,10,36,2,10,3,1,1,False,False,0,0
2022-04-01,华为鸿蒙,15,29,0,34.090909090909086,-0.6322727272727273,418074940275.32,4180.75,1,1,5,22,0,11,2,1,1,False,False,0,0
2022-04-01,博彩概念,14,5,0,73.68421052631578,2.2115789473684213,122270853773.28,1222.71,0,0,0,5,0,9,2,1,2,False,False,0,0
2022-04-01,卫星导航,36,49,1,41.86046511627907,-0.33720930232558144,961993903900.02,9619.94,0,1,2,46,4,32,1,0,0,False,False,0,0
2022-04-01,口罩防护,72,131,4,34.78260869565217,-0.5132850241545893,3193316365889.75,31933.16,1,10,9,107,12,56,8,3,1,False,False,0,0
2022-04-01,可燃冰,13,10,1,54.166666666666664,0.12125000000000001,915559887980.9601,9155.60,0,0,0,10,1,12,1,0,0,False,False,0,0
2022-04-01,含B股,41,30,3,55.4054054054054,0.14621621621621622,1442824757417.4,14428.25,0,2,6,22,3,34,3,3,1,False,False,0,0
2022-04-01,含GDR,12,4,0,75.0,0.345625,1495150468010.62,14951.50,0,0,0,4,0,12,0,0,0,False,False,0,0
2022-04-01,含H股,102,38,4,70.83333333333334,0.9347222222222222,25321648285558.23,253216.48,0,1,2,35,4,85,12,3,2,False,False,0,0
2022-04-01,含可转债,179,206,13,44.9748743718593,-0.21326633165829145,9234155411928.63,92341.55,1,9,32,159,26,145,15,7,3,False,False,0,0
2022-04-01,固态电池,30,31,1,48.38709677419355,0.13032258064516125,2325208581522.29,23252.09,0,0,1,30,3,23,1,4,0,False,False,0,0
2022-04-01,国产软件,64,129,4,32.48730964467005,-1.0204060913705584,2397873982872.63,23978.74,1,8,20,98,9,49,5,5,1,False,False,0,0
2022-04-01,国资云,21,22,1,47.72727272727273,-0.11750000000000003,1056063877855.64,10560.64,1,0,4,17,1,16,4,0,1,False,False,0,0
2022-04-01,国防军工,137,232,7,36.43617021276596,-0.4288297872340426,4981511720320.06,49815.12,2,5,14,207,17,118,8,2,3,False,False,0,0
2022-04-01,土地流转,23,14,1,60.526315789473685,0.61,369689438285.32,3696.89,0,3,2,9,1,17,2,1,3,False,False,0,0
2022-04-01,在线旅游,20,6,0,76.92307692307693,2.2953846153846156,539496606004.43,5394.97,0,0,0,6,0,12,3,4,1,False,False,0,0
2022-04-01,地下管网,18,41,2,29.508196721311474,-1.4562295081967214,681102621258.0701,6811.03,0,6,10,25,2,17,0,0,1,False,False,0,0
2022-04-01,地摊经济,17,9,2,60.71428571428571,1.3135714285714286,313615296756.31,3136.15,0,0,0,9,2,11,4,1,1,False,False,0,0
2022-04-01,地热能,5,12,3,25.0,-1.0305,221065390337.05,2210.65,0,0,4,8,3,5,0,0,0,False,False,0,0
2022-04-01,垃圾分类,40,57,1,40.816326530612244,-0.503265306122449,728376377512.99,7283.76,1,4,4,48,1,35,3,0,2,False,False,0,0
2022-04-01,培育钻石,7,6,0,53.84615384615385,0.446923076923077,269340867373.2,2693.41,0,0,0,6,0,6,1,0,0,False,False,0,0
2022-04-01,基因概念,18,66,1,21.176470588235293,-1.6732941176470586,1692646247161.7,16926.46,0,7,14,43,4,16,1,0,0,False,False,0,0
2022-04-01,复合铜箔,6,14,2,27.27272727272727,-0.15045454545454545,332057039516.19,3320.57,0,0,0,13,3,5,1,0,0,False,False,0,0
2022-04-01,大数据,126,150,5,44.83985765124555,-0.18804270462633454,5422553335572.89,54225.53,3,13,20,111,11,93,21,5,4,False,False,0,0
2022-04-01,大飞机,25,54,1,31.25,-0.27925,1617595784852.62,16175.96,0,1,2,51,1,20,4,0,1,False,False,0,0
2022-04-01,天然气,67,51,6,54.03225806451613,0.11048387096774191,3199008278360.96,31990.08,0,2,3,46,6,61,4,0,2,False,False,0,0
2022-04-01,央企改革,193,173,20,50.0,0.2665544041450777,18302937500448.94,183029.38,2,6,11,152,25,157,15,15,3,False,False,0,0
2022-04-01,婴童概念,47,69,2,39.83050847457627,-0.23508474576271185,1202014720954.46,12020.15,1,4,8,56,5,32,8,1,3,False,False,0,0
2022-04-01,安防服务,40,70,2,35.714285714285715,-0.39785714285714285,1667859510767.68,16678.60,0,4,5,59,4,32,6,0,2,False,False,0,0
2022-04-01,家庭医生,7,18,0,28.000000000000004,-0.8504,1332911042471.95,13329.11,0,2,2,13,1,4,3,0,0,False,False,0,0
2022-04-01,富媒体,13,21,1,37.142857142857146,-0.8154285714285714,400667156987.79004,4006.67,1,2,3,15,1,10,2,1,0,False,False,0,0
2022-04-01,小米概念,71,106,6,38.79781420765027,-0.19830601092896175,3156667319398.7603,31566.67,0,4,3,96,10,59,7,4,0,False,False,0,0
2022-04-01,工业互联,63,86,3,41.44736842105263,-0.2513815789473684,3389135510113.68,33891.36,0,2,7,75,6,55,5,1,1,False,False,0,0
2022-04-01,工业大麻,15,41,1,26.31578947368421,-1.5143859649122808,631803208150.27,6318.03,1,5,9,26,2,11,2,0,1,False,False,0,0
2022-04-01,工业母机,12,49,1,19.35483870967742,-0.8859677419354839,751207304724.75,7512.07,0,1,2,43,5,10,1,0,0,False,False,0,0
2022-04-01,工业气体,11,12,0,47.82608695652174,0.023043478260869565,320822511492.38,3208.23,0,0,1,10,2,9,0,1,0,False,False,0,0
2022-04-01,工业软件,11,13,1,44.0,-0.3112,558575202599.72,5585.75,0,0,3,10,1,10,0,1,0,False,False,0,0
2022-04-01,成飞概念,6,22,0,21.428571428571427,-0.6224999999999999,402308811419.35,4023.09,0,1,1,20,0,4,2,0,0,False,False,0,0
2022-04-01,抖音概念,59,32,2,63.44086021505376,1.7194623655913979,734149349382.24,7341.49,0,2,6,23,3,32,13,8,6,False,False,0,0
2022-04-01,换电概念,12,37,2,23.52941176470588,-0.7903921568627451,713264428458.87,7132.64,0,0,5,32,2,10,1,1,0,False,False,0,0
2022-04-01,操作系统,21,29,6,37.5,-0.66,863978318326.43,8639.78,0,4,6,18,7,19,2,0,0,False,False,0,0
2022-04-01,数字孪生,24,50,1,32.0,-0.6470666666666667,908108166499.3201,9081.08,1,3,6,40,1,16,3,4,1,False,False,0,0
2022-04-01,数字水印,7,12,0,36.84210526315789,-0.5921052631578947,1686051025418.0002,16860.51,0,1,1,10,0,5,2,0,0,False,False,0,0
2022-04-01,数字货币,22,51,1,29.72972972972973,-1.1368918918918918,887916334199.0,8879.16,2,2,15,32,2,15,3,1,2,False,False,0,0
2022-04-01,数据中心,62,104,5,36.25730994152047,-0.7196491228070175,3800769235362.55,38007.69,3,11,14,73,10,47,7,3,3,False,False,0,0
2022-04-01,数据确权,25,23,0,52.083333333333336,1.10625,406562345172.4,4065.62,1,2,2,18,0,11,6,2,6,False,False,0,0
2022-04-01,新冠检测,29,84,0,25.663716814159294,-1.1314159292035397,2162435812808.26,21624.36,2,6,20,55,3,21,2,1,2,False,False,0,0
2022-04-01,新型城镇,24,89,1,21.052631578947366,-1.915,710504037116.76,7105.04,3,13,18,53,3,17,3,2,2,False,False,0,0
