日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,主力净流入-净额,主力净流入-净占比,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,中成药,2,0,0,100.0,1.455,293075187238.31995,-14316480.0,-3.9650000000000003,2930.75,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,乳制品,1,0,0,100.0,2.17,199134350504.16,29763629.0,2.64,1991.34,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,交通设施,2,0,0,100.0,0.43500000000000005,270942646831.3,-1884904.0,-4.14,2709.43,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,仓储物流,1,0,0,100.0,0.33,264879400403.03,13789601.0,1.91,2648.79,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,保险,5,0,0,100.0,3.134,2572125845168.81,507067387.0,4.162,25721.26,0,0,0,0,0,1,4,0,0,False,True,-1,0
2023-03-01,元器件,2,0,0,100.0,2.325,381664708038.93,404977853.0,11.215,3816.65,0,0,0,0,0,1,1,0,0,False,True,-1,0
2023-03-01,全国地产,3,0,0,100.0,1.01,503961745425.9,-56054688.0,-1.7299999999999998,5039.62,0,0,0,0,0,3,0,0,0,False,True,-1,0
2023-03-01,农业综合,1,1,0,50.0,0.29000000000000004,403388248492.49,60170488.0,0.4200000000000004,4033.88,0,0,0,1,0,1,0,0,0,False,False,0,0
2023-03-01,农林牧渔,1,2,0,33.33333333333333,-0.033333333333333326,508190899830.98,40837448.0,-2.4966666666666666,5081.91,0,0,0,2,0,1,0,0,0,False,False,0,0
2023-03-01,农药化肥,1,0,0,100.0,0.44,135332957899.52,-13996278.0,-3.62,1353.33,0,0,0,0,0,1,0,0,0,False,True,-1,0
