日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,主力净流入-净额,主力净流入-净占比,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-04-03,IT服务,35,3,0,92.10526315789474,5.801842105263158,752826706887.31,1542249175.0,3.952631578947368,7528.27,0,0,0,3,0,13,7,6,9,False,False,0,0
2023-04-03,LED,2,1,0,66.66666666666666,1.1566666666666667,46288405010.04,16114924.0,0.18000000000000024,462.88,0,0,0,1,0,2,0,0,0,False,False,0,0
2023-04-03,专业工程,7,1,0,87.5,1.79375,161123456728.28998,16825048.0,-2.20375,1611.23,0,0,0,1,0,5,2,0,0,False,False,0,0
2023-04-03,专业服务,3,3,0,50.0,0.17166666666666672,92825409009.45,-36175097.0,-7.003333333333333,928.25,0,0,0,3,0,3,0,0,0,False,False,0,0
2023-04-03,专业连锁,3,1,0,75.0,0.7925,49201062908.020004,-32337815.0,-3.4775,492.01,0,0,0,1,0,3,0,0,0,False,False,0,0
2023-04-03,专用设备,17,14,0,54.83870967741935,0.4909677419354838,548054650537.64,91897073.0,1.1748387096774193,5480.55,0,0,3,10,1,14,0,2,1,False,False,0,0
2023-04-03,个护用品,1,0,0,100.0,1.57,16413230956.81,3280416.0,2.21,164.13,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-04-03,中药,10,14,0,41.66666666666667,-0.5970833333333334,450519508356.93,-259405261.0,-3.62625,4505.20,0,0,4,10,0,9,1,0,0,False,False,0,0
2023-04-03,乘用车,2,0,0,100.0,0.6950000000000001,44262890552.100006,-27803072.0,-8.545,442.63,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-04-03,乳品,1,1,1,33.33333333333333,-0.3366666666666666,43747963765.020004,-27532524.0,-8.543333333333333,437.48,0,0,0,1,1,1,0,0,0,False,False,0,0
2023-04-03,互联网电商,1,2,0,33.33333333333333,-1.7733333333333332,71849540760.79001,-124875932.0,-12.566666666666668,718.50,0,1,0,1,0,1,0,0,0,False,False,0,0
2023-04-03,产业地产,5,1,0,83.33333333333334,1.3533333333333333,110533574741.20999,-14958798.0,-2.9166666666666665,1105.34,0,0,0,0,1,5,0,0,0,False,False,0,0
2023-04-03,人工景点,1,0,0,100.0,2.95,43796125170.0,20599628.0,3.95,437.96,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-04-03,仪器仪表,1,3,0,25.0,-1.255,55883939184.3,-85530068.0,-6.6775,558.84,0,0,1,2,0,1,0,0,0,False,False,0,0
2023-04-03,休闲食品,3,6,0,33.33333333333333,-0.7288888888888888,157733867570.16,3722715.0,-0.6744444444444445,1577.34,0,0,2,4,0,3,0,0,0,False,False,0,0
2023-04-03,传媒,48,2,1,94.11764705882352,4.546078431372549,946356353644.47,1329380727.0,2.0784313725490198,9463.56,0,0,0,2,1,17,7,20,4,False,False,0,0
2023-04-03,住宅开发,18,0,1,94.73684210526315,2.3289473684210527,340879387242.06,72637142.0,3.0442105263157897,3408.79,0,0,0,0,1,12,3,3,0,False,False,0,0
2023-04-03,体外诊断,2,9,0,18.181818181818183,-1.1354545454545455,199405355185.39,-134016458.0,-8.214545454545455,1994.05,0,0,1,8,1,1,0,0,0,False,False,0,0
2023-04-03,保险,1,0,0,100.0,2.68,17045170619.25,9769584.0,7.89,170.45,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-04-03,保险及其他,18,1,0,94.73684210526315,1.8678947368421053,405870249984.31,26430237.0,-2.1152631578947365,4058.70,0,0,0,1,0,15,2,1,0,False,False,0,0
2023-04-03,光伏设备,19,9,0,67.85714285714286,0.8939285714285715,615138094618.64,-21416367.0,-1.845357142857143,6151.38,0,0,0,8,1,17,0,2,0,False,False,0,0
2023-04-03,光学元件,5,0,0,100.0,2.98,73779547371.28,284927.0,0.13199999999999995,737.80,0,0,0,0,0,2,2,1,0,False,True,-1,0
2023-04-03,光学光电子,17,2,1,85.0,1.8285,324967355083.74,59869829.0,1.004,3249.67,0,0,0,2,1,13,2,2,0,False,False,0,0
2023-04-03,公路铁路运输,5,3,0,62.5,0.8025,166181896774.49,-18513586.0,0.4812500000000002,1661.82,0,0,0,3,0,4,1,0,0,False,False,0,0
2023-04-03,其他专用设备,5,6,0,45.45454545454545,0.5881818181818181,185725120368.51,-266005.0,-0.540909090909091,1857.25,0,0,3,2,1,3,0,1,1,False,False,0,0
2023-04-03,其他交运设备,1,5,0,16.666666666666664,-2.0716666666666668,124639201596.16,-39889883.0,-2.943333333333334,1246.39,0,1,1,3,0,1,0,0,0,False,False,0,0
2023-04-03,其他传媒,17,1,0,94.44444444444444,5.618888888888889,383043060099.69,417398746.0,2.4566666666666666,3830.43,0,0,0,1,0,3,2,11,1,False,False,0,0
2023-04-03,其他农产品加工,1,1,0,50.0,0.10999999999999999,33131247755.6,-13420883.0,-2.9050000000000002,331.31,0,0,0,1,0,1,0,0,0,False,False,0,0
2023-04-03,其他化学制品,5,2,1,62.5,1.61375,158514710292.38998,116652525.0,4.83,1585.15,0,0,0,2,2,1,2,1,0,False,False,0,0
2023-04-03,其他化学原料,4,2,0,66.66666666666666,0.7683333333333334,91472168660.31,-72575021.0,-8.278333333333334,914.72,0,0,0,2,0,3,1,0,0,False,False,0,0
2023-04-03,其他医疗服务,2,8,0,20.0,-1.5930000000000002,261448047859.22,-161095038.0,-4.603,2614.48,0,2,1,5,0,0,0,2,0,False,False,0,0
2023-04-03,其他家用轻工,1,0,0,100.0,9.98,21919410560.0,33517119.0,17.16,219.19,0,0,0,0,0,0,0,0,1,False,True,-1,0
2023-04-03,其他小金属,5,4,1,50.0,-0.07899999999999996,207242665826.12,-79424295.0,-4.66,2072.43,0,0,1,3,1,4,1,0,0,False,False,0,0
2023-04-03,其他建材,4,0,0,100.0,3.3625,133117481370.85,36689090.0,2.66,1331.17,0,0,0,0,0,3,0,1,0,False,True,-1,0
2023-04-03,其他橡胶制品,3,1,0,75.0,0.96,60334360209.66,7034176.0,-9.57,603.34,0,0,0,1,0,2,1,0,0,False,False,0,0
2023-04-03,其他生物制品,2,10,0,16.666666666666664,-0.5983333333333334,242047324492.39,-87068100.0,-7.531666666666666,2420.47,0,0,1,8,1,1,1,0,0,False,False,0,0
2023-04-03,其他电子,2,0,0,100.0,2.92,27776263889.149998,-21051733.0,-5.720000000000001,277.76,0,0,0,0,0,1,1,0,0,False,True,-1,0
2023-04-03,其他电源设备,5,5,0,50.0,0.259,176022234093.68,-120003743.0,-4.367,1760.22,0,0,0,5,0,5,0,0,0,False,False,0,0
2023-04-03,其他白色家电,0,1,0,0.0,-2.5,13197271005.18,-36916981.0,-13.8,131.97,0,0,0,1,0,0,0,0,0,True,False,0,-1
2023-04-03,其他社会服务,3,3,0,50.0,0.17166666666666672,92825409009.45,-36175097.0,-7.003333333333333,928.25,0,0,0,3,0,3,0,0,0,False,False,0,0
2023-04-03,其他种植业,1,0,0,100.0,0.64,20156104923.87,-22642831.0,-8.7,201.56,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-04-03,其他纤维,1,2,0,33.33333333333333,-0.3466666666666667,62220103889.94,-3155471.0,2.096666666666667,622.20,0,0,0,1,2,0,0,0,0,False,False,0,0
2023-04-03,其他纺织,0,1,0,0.0,-1.04,27939511097.08,-10694633.0,-11.73,279.40,0,0,0,1,0,0,0,0,0,True,False,0,-1
2023-04-03,其他自动化设备,4,1,0,80.0,1.786,90057573654.78,25570322.0,-2.4479999999999995,900.58,0,0,0,1,0,2,2,0,0,False,False,0,0
2023-04-03,其他通信设备,1,0,0,100.0,3.17,14293280728.320002,-17197377.0,-8.18,142.93,0,0,0,0,0,0,1,0,0,False,True,-1,0
2023-04-03,其他通用设备,2,2,0,50.0,-0.88,74540708120.51,-52055359.0,-5.860000000000001,745.41,0,0,0,2,0,2,0,0,0,False,False,0,0
2023-04-03,其他酒类,0,2,0,0.0,-1.445,64491854894.35,-9500395.0,-2.02,644.92,0,0,0,2,0,0,0,0,0,True,False,0,-1
2023-04-03,其他金属新材料,2,0,0,100.0,0.7799999999999999,26319889855.92,1235428.0,1.0499999999999998,263.20,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-04-03,其他食品,0,4,0,0.0,-1.69,111438936535.53,-78130132.0,-9.06,1114.39,0,0,0,4,0,0,0,0,0,True,False,0,-1
2023-04-03,其他黑色家电,0,2,0,0.0,-1.82,34624003814.16,-231539480.0,-10.58,346.24,0,0,0,2,0,0,0,0,0,True,False,0,-1
2023-04-03,养殖业,6,2,0,75.0,2.8225000000000002,128331436478.41,-133601815.0,-3.18375,1283.31,0,0,0,2,0,4,0,1,1,False,False,0,0
2023-04-03,军工电子,17,3,0,85.0,2.1879999999999997,449860558363.36,236840864.0,3.207,4498.61,0,0,0,3,0,11,4,1,1,False,False,0,0
2023-04-03,农业服务,4,1,0,80.0,2.602,62835519877.98,12916589.0,-0.30400000000000027,628.36,0,0,0,1,0,3,0,0,1,False,False,0,0
2023-04-03,农产品加工,7,1,0,87.5,3.24125,126109978689.53,161574374.0,1.6775000000000002,1261.10,0,0,0,1,0,4,0,3,0,False,False,0,0
2023-04-03,农商行,4,1,0,80.0,0.72,100796036479.92,-49916298.0,-4.212000000000001,1007.96,0,0,0,1,0,4,0,0,0,False,False,0,0
2023-04-03,农用机械,2,0,0,100.0,1.025,25855310297.66,948923.0,1.3200000000000003,258.55,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-04-03,农药,1,7,0,12.5,-1.33375,140239039857.46,-111048448.0,-7.438750000000001,1402.39,0,0,0,7,0,1,0,0,0,False,False,0,0
