日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,主力净流入-净额,主力净流入-净占比,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-04-03,3D打印,30,9,4,69.76744186046511,1.1897674418604651,188127959911.69,-42377273.0,-1.9816279069767444,1881.28,0,0,0,9,4,24,3,3,0,False,False,0,0
2023-04-03,5G,173,22,3,87.37373737373737,2.1224747474747474,1046544455526.12,391294067.0,-0.9314141414141414,10465.44,0,1,3,15,8,120,33,16,1,False,False,0,0
2023-04-03,6G概念,16,2,0,88.88888888888889,1.9816666666666667,106407362274.21,128551814.0,-0.7638888888888888,1064.07,0,0,1,1,0,10,4,2,0,False,False,0,0
2023-04-03,AIGC概念,35,4,0,89.74358974358975,2.731025641025641,226898894150.38,397867868.0,0.7499999999999999,2268.99,0,0,1,3,0,23,8,2,2,False,False,0,0
2023-04-03,C2M概念,17,9,4,56.666666666666664,0.48933333333333334,129497253398.59999,-54755330.0,-4.853666666666667,1294.97,0,0,0,9,4,16,0,1,0,False,False,0,0
2023-04-03,CRO概念,9,12,1,40.909090909090914,-0.18409090909090908,117712462643.5,-44382876.0,-5.2736363636363635,1177.12,0,0,2,8,3,6,3,0,0,False,False,0,0
2023-04-03,ChatGPT概念,44,6,0,88.0,2.3458,262327370353.85,-262674583.0,-1.0426,2623.27,0,0,1,5,0,30,9,3,2,False,False,0,0
2023-04-03,DRG/DIP,6,1,0,85.71428571428571,1.2642857142857142,33810430006.510002,32568323.0,3.6042857142857136,338.10,0,0,1,0,0,4,1,1,0,False,False,0,0
2023-04-03,EDR概念,10,0,1,90.9090909090909,2.2145454545454544,51330247347.909996,159424556.0,0.668181818181818,513.30,0,0,0,0,1,8,1,0,1,False,False,0,0
2023-04-03,ERP概念,11,0,1,91.66666666666666,2.41,64488990483.28,150206531.0,1.8024999999999995,644.89,0,0,0,0,1,9,0,1,1,False,False,0,0
2023-04-03,ETC,27,2,0,93.10344827586206,2.2031034482758622,164157088224.99,34626002.0,-2.517586206896552,1641.57,0,0,1,1,0,20,3,4,0,False,False,0,0
2023-04-03,F5G概念,13,0,0,100.0,4.167692307692308,72448693800.06,168439646.0,2.8623076923076924,724.49,0,0,0,0,0,4,5,3,1,False,True,-1,0
2023-04-03,HJT电池,18,9,1,64.28571428571429,0.33892857142857136,145415626613.45,-178857762.0,-7.002857142857143,1454.16,0,0,0,9,2,17,0,0,0,False,False,0,0
2023-04-03,MCU芯片,15,2,0,88.23529411764706,1.9323529411764706,104447454932.91,56520301.0,-1.2047058823529413,1044.47,0,0,0,2,0,12,2,1,0,False,False,0,0
2023-04-03,MSCI概念,9,2,2,69.23076923076923,1.063076923076923,94898579560.86,27725461.0,1.2176923076923076,948.99,0,0,0,2,2,7,2,0,0,False,False,0,0
2023-04-03,MicroLED概念,17,0,0,100.0,2.1482352941176472,89206761336.27,21436899.0,0.9352941176470587,892.07,0,0,0,0,0,14,3,0,0,False,True,-1,0
2023-04-03,MiniLED,32,7,0,82.05128205128204,1.4594871794871795,191216214792.43,-82794913.0,-2.729230769230769,1912.16,0,0,0,7,0,27,4,1,0,False,False,0,0
2023-04-03,NFT概念,37,5,1,86.04651162790698,1.7162790697674417,216461412241.36,220343987.0,-0.6951162790697676,2164.61,0,0,1,4,3,27,7,1,0,False,False,0,0
2023-04-03,NMN概念,10,4,1,66.66666666666666,0.8066666666666668,91559050614.02,-90688913.0,-5.711333333333333,915.59,0,0,0,4,1,8,1,1,0,False,False,0,0
2023-04-03,OLED,54,11,1,81.81818181818183,1.688030303030303,344352921489.76,-73633572.0,-3.6030303030303026,3443.53,0,0,0,11,1,40,12,0,2,False,False,0,0
2023-04-03,PCB概念,31,5,0,86.11111111111111,1.5105555555555557,180689276081.95,-4572202.0,-2.656388888888889,1806.89,0,0,0,4,1,26,5,0,0,False,False,0,0
2023-04-03,PET铜箔,9,9,0,50.0,-0.2411111111111111,101768113433.62,-106514346.0,-6.2716666666666665,1017.68,0,0,1,8,0,9,0,0,0,False,False,0,0
2023-04-03,PM2.5,24,5,0,82.75862068965517,1.2293103448275862,115156608874.83,-6779385.0,-0.2337931034482758,1151.57,0,1,0,4,1,18,3,2,0,False,False,0,0
2023-04-03,POE胶膜,10,3,0,76.92307692307693,0.8884615384615385,70349195921.82,27372342.0,-0.5569230769230769,703.49,0,0,0,3,0,9,1,0,0,False,False,0,0
2023-04-03,PPP概念,89,31,7,70.07874015748031,0.8192125984251968,578109960332.76,-193983912.0,-2.5362204724409447,5781.10,0,0,1,30,8,80,5,3,0,False,False,0,0
2023-04-03,PVDF概念,2,1,0,66.66666666666666,0.7266666666666666,15742087541.44,-6748337.0,-3.956666666666667,157.42,0,0,0,1,0,2,0,0,0,False,False,0,0
2023-04-03,REITs概念,13,4,1,72.22222222222221,0.7194444444444446,95109046014.67,-30137349.0,-0.22055555555555556,951.09,0,0,0,4,1,13,0,0,0,False,False,0,0
2023-04-03,ST板块,65,42,8,56.52173913043478,0.5193913043478261,323929718728.6,-151697588.0,-2.635478260869565,3239.30,0,3,11,28,8,47,15,2,1,False,False,0,0
2023-04-03,TOPCON电池,13,11,1,52.0,0.1984,129248604947.59,-96289519.0,-4.3076,1292.49,0,0,2,9,1,12,1,0,0,False,False,0,0
2023-04-03,Web3.0,32,4,0,88.88888888888889,2.3558333333333334,194367172466.9,17191145.0,-1.3641666666666667,1943.67,0,0,1,3,1,18,9,3,1,False,False,0,0
2023-04-03,WiFi 6,18,2,0,90.0,2.408,109507759898.79001,100109319.0,1.5015,1095.08,0,0,0,2,0,11,5,2,0,False,False,0,0
2023-04-03,一体化压铸,9,10,0,47.368421052631575,-0.021052631578947358,100803125020.47,-72363678.0,-5.358421052631579,1008.03,0,0,1,9,0,8,1,0,0,False,False,0,0
2023-04-03,一带一路,186,56,8,74.4,1.1566800000000002,1213112682036.98,125221698.0,-2.04076,12131.13,0,0,1,53,11,156,18,9,2,False,False,0,0
2023-04-03,三胎概念,60,37,5,58.82352941176471,0.4946078431372549,423105367459.66003,-266023242.0,-3.2109803921568627,4231.05,0,0,2,32,9,52,3,4,0,False,False,0,0
2023-04-03,上海国企改革,30,6,1,81.08108108108108,1.2843243243243243,187932652530.85,-81651622.0,-4.870810810810811,1879.33,0,0,0,6,1,26,3,1,0,False,False,0,0
2023-04-03,上海自贸区,13,4,2,68.42105263157895,1.6194736842105264,90325994193.13,34174493.0,-4.1421052631578945,903.26,0,0,0,4,2,10,1,2,0,False,False,0,0
