日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,主力净流入-净额,主力净流入-净占比,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-05-04,专业服务,16,15,1,50.0,-0.08656249999999999,211280041242.85,-29328539.0,-3.4553125000000002,2112.80,0,0,2,12,3,13,1,1,0,False,False,0,0
2023-05-04,专用设备,139,92,5,58.89830508474576,0.6329237288135593,1562752520301.03,-478844202.0,-1.5034745762711863,15627.53,1,10,18,61,9,101,23,7,6,False,False,0,0
2023-05-04,中药,65,2,2,94.20289855072464,3.493768115942029,1167340923941.0,-362109944.0,-2.681449275362319,11673.41,0,0,0,2,3,33,15,9,7,False,False,0,0
2023-05-04,互联网服务,62,75,0,45.25547445255474,0.010729927007299288,1634067355639.65,-1955007152.0,-2.134014598540146,16340.67,0,11,18,46,1,36,12,7,6,False,False,0,0
2023-05-04,交运设备,29,16,0,64.44444444444444,0.6264444444444444,621512898596.19,58857348.0,-1.9508888888888887,6215.13,1,1,2,12,1,19,6,3,0,False,False,0,0
2023-05-04,仪器仪表,25,35,1,40.98360655737705,-0.5840983606557376,313571141044.07,-295028624.0,-3.8811475409836067,3135.71,0,5,6,24,2,20,2,1,1,False,False,0,0
2023-05-04,保险,6,0,0,100.0,5.563333333333333,2885546972331.05,1385698502.0,5.405,28855.47,0,0,0,0,0,1,2,3,0,False,True,-1,0
2023-05-04,光伏设备,22,26,0,45.83333333333333,-0.07437500000000001,1826365437415.2,-561435201.0,-4.117083333333333,18263.65,0,0,3,21,2,18,4,0,0,False,False,0,0
2023-05-04,光学光电子,38,57,2,39.175257731958766,-0.8338144329896907,907310938617.6,-622706191.0,-3.849896907216495,9073.11,2,6,9,39,5,29,3,4,0,False,False,0,0
2023-05-04,公用事业,18,1,1,90.0,2.5460000000000003,159799858140.18,22446186.0,-2.1635,1598.00,0,0,0,1,1,11,5,2,0,False,False,0,0
2023-05-04,农牧饲渔,49,25,2,64.47368421052632,0.4463157894736842,1039536995235.49,-280258849.0,-3.0656578947368422,10395.37,0,3,0,21,3,44,4,1,0,False,False,0,0
2023-05-04,农药兽药,27,16,2,60.0,0.392,331972624210.59,-40718080.0,-2.5928888888888886,3319.73,0,2,0,14,4,21,2,2,0,False,False,0,0
2023-05-04,包装材料,18,9,3,60.0,1.1133333333333333,138222719222.18,12774168.0,-3.1869999999999994,1382.23,0,0,1,8,3,13,3,2,0,False,False,0,0
2023-05-04,化学制品,75,62,7,52.083333333333336,-0.2536805555555556,1368483544314.61,-531769129.0,-4.463055555555555,13684.84,3,5,8,44,13,62,4,5,0,False,False,0,0
2023-05-04,化学制药,81,49,3,60.902255639097746,0.5554887218045113,1787607671866.46,-211560344.0,-4.010526315789473,17876.08,2,0,7,37,8,64,10,5,0,False,False,0,0
2023-05-04,化学原料,43,28,3,58.108108108108105,0.2525675675675676,856196639836.16,-74000047.0,-2.327837837837838,8561.97,0,1,0,27,4,40,0,2,0,False,False,0,0
2023-05-04,化纤行业,13,14,2,44.827586206896555,0.16999999999999998,607943421568.05,-215196684.0,-5.56551724137931,6079.43,0,0,0,14,2,11,2,0,0,False,False,0,0
2023-05-04,化肥行业,15,9,0,62.5,0.19791666666666666,374808182972.34,-136291084.0,-7.899583333333333,3748.08,0,0,2,7,0,13,2,0,0,False,False,0,0
2023-05-04,医疗器械,59,56,1,50.86206896551724,0.20129310344827586,1729904991797.93,-555733198.0,-3.0647413793103446,17299.05,2,7,7,40,2,42,10,4,1,False,False,0,0
2023-05-04,医疗服务,20,20,0,50.0,-0.06825,994328935055.24,-281316344.0,-4.06025,9943.29,0,0,5,15,0,15,2,3,0,False,False,0,0
2023-05-04,医药商业,18,10,1,62.06896551724138,0.8996551724137931,428549420894.18,-67737862.0,-1.3155172413793104,4285.49,0,0,0,10,1,15,2,1,0,False,False,0,0
2023-05-04,半导体,23,111,0,17.16417910447761,-2.528283582089552,3462091312017.65,-3965524559.0,-5.637388059701492,34620.91,0,23,38,50,2,17,1,3,0,False,False,0,0
2023-05-04,商业百货,48,17,0,73.84615384615385,1.3876923076923078,544466889004.38,-855324116.0,-7.6833846153846155,5444.67,0,1,3,13,0,35,5,7,1,False,False,0,0
2023-05-04,塑料制品,46,32,3,56.79012345679012,0.25592592592592595,348127954308.71,-85906570.0,-4.515432098765432,3481.28,0,1,3,26,6,41,2,1,1,False,False,0,0
