日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,股票代码
2023-04-03,21.59,-0.23,-11109225.0,-10.28,-329588.0,-0.3,-10779637.0,-9.97,-3849863.0,-3.56,14959088.0,13.84,300119
2023-04-03,4.23,0.71,2281338.0,7.41,0.0,0.0,2281338.0,7.41,-2840457.0,-9.23,559119.0,1.82,002141
2023-04-03,4.82,-0.21,-4313314.0,-9.39,-3028490.0,-6.59,-1284824.0,-2.8,3221015.0,7.01,1092300.0,2.38,300021
2023-04-03,11.97,0.76,-17923630.0,-6.61,-10319073.0,-3.81,-7604557.0,-2.81,-9045170.0,-3.34,26968799.0,9.95,600201
2023-04-03,8.25,0.73,1454186.0,9.45,845.0,0.01,1453341.0,9.44,-2090785.0,-13.58,636599.0,4.14,688098
2023-04-03,19.46,0.26,-2031531.0,-6.96,0.0,0.0,-2031531.0,-6.96,1901500.0,6.52,130031.0,0.45,300871
2023-04-03,11.46,0.35,-2520029.0,-5.13,-825792.0,-1.68,-1694237.0,-3.45,-191146.0,-0.39,2711175.0,5.52,603718
2023-04-03,15.22,2.01,16834181.0,11.04,3341073.0,2.19,13493108.0,8.85,-16266426.0,-10.67,-567755.0,-0.37,600195
2023-04-03,8.45,-0.47,-4334157.0,-9.17,-3323829.0,-7.03,-1010328.0,-2.14,6316909.0,13.36,-1982751.0,-4.19,002556
2023-04-03,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24272.0,13.05,838275
2023-04-03,8.29,0.85,-329076.0,-34.71,0.0,0.0,-329076.0,-34.71,-76521.0,-8.07,83336.0,8.79,839729
2023-04-03,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16525.0,3.36,53973.0,10.97,830964
2023-04-03,5.28,0.0,858795.0,4.0,0.0,0.0,858795.0,4.0,1444321.0,6.73,-2303116.0,-10.73,002688
2023-04-03,31.26,9.99,25883192.0,6.04,56816607.0,13.25,-30933415.0,-7.22,-19014669.0,-4.44,-6868523.0,-1.6,603566
2023-04-03,40.35,1.08,-5303967.0,-6.0,1597332.0,1.81,-6901299.0,-7.8,8643338.0,9.77,-3339371.0,-3.77,002868
2023-04-03,27.34,0.48,-767929.0,-1.71,389402.0,0.87,-1157331.0,-2.57,5090277.0,11.32,-4322348.0,-9.61,688526
2023-04-03,40.7,2.8,-4683926.0,-2.37,-1651417.0,-0.84,-3032509.0,-1.53,19056049.0,9.64,-14372122.0,-7.27,300761
2023-04-03,8.18,3.94,-12469296.0,-2.03,-3219648.0,-0.53,-9249648.0,-1.51,-12709363.0,-2.07,25178658.0,4.11,000735
2023-04-03,3.37,2.12,16077115.0,9.9,3928618.0,2.42,12148497.0,7.48,2789839.0,1.72,-18866954.0,-11.62,002157
2023-04-03,31.25,3.55,-2140365.0,-1.85,2964010.0,2.56,-5104375.0,-4.41,-1850892.0,-1.6,3991257.0,3.45,001201
2023-04-03,49.88,1.8,155791504.0,5.88,51126304.0,1.93,104665200.0,3.95,-147087360.0,-5.55,-8704144.0,-0.33,002714
2023-04-03,3.66,2.52,1823915.0,14.83,0.0,0.0,1823915.0,14.83,-1591379.0,-12.94,-232536.0,-1.89,002069
2023-04-03,26.2,1.55,1530433.0,2.97,-109453.0,-0.21,1639886.0,3.18,950807.0,1.85,-2481240.0,-4.82,605296
2023-04-03,19.52,1.67,1025421.0,0.44,-2126265.0,-0.9,3151686.0,1.34,-11732079.0,-4.99,10706657.0,4.56,300967
2023-04-03,5.9,1.72,-13011082.0,-4.13,-8746219.0,-2.77,-4264863.0,-1.35,17642826.0,5.6,-4631744.0,-1.47,002124
2023-04-03,43.83,1.22,885009.0,1.2,-52642.0,-0.07,937651.0,1.27,-6293917.0,-8.53,5408908.0,7.33,002982
2023-04-03,33.36,9.99,-9400591.0,-1.07,6387363.0,0.73,-15787954.0,-1.8,-1935798.0,-0.22,11336389.0,1.3,603477
2023-04-03,11.28,3.87,-17402091.0,-14.9,-3553111.0,-3.04,-13848980.0,-11.86,-2402562.0,-2.06,19804653.0,16.95,600097
2023-04-03,20.6,0.64,23902880.0,1.68,90493840.0,6.38,-66590960.0,-4.69,-20325472.0,-1.43,-3577392.0,-0.25,300498
2023-04-03,7.25,0.14,-4234331.0,-9.21,-1310438.0,-2.85,-2923893.0,-6.36,-391382.0,-0.85,4625713.0,10.07,600965
2023-04-03,24.46,-0.81,-21430258.0,-5.98,-14110695.0,-3.94,-7319563.0,-2.04,8315405.0,2.32,13114852.0,3.66,002299
2023-04-03,11.37,6.86,-21566678.0,-2.2,-24615863.0,-2.51,3049185.0,0.31,39316064.0,4.01,-17749376.0,-1.81,600975
2023-04-03,19.46,0.26,-2031531.0,-6.96,0.0,0.0,-2031531.0,-6.96,1901500.0,6.52,130031.0,0.45,300871
2023-04-03,2.52,0.4,1588724.0,4.46,3739504.0,10.5,-2150780.0,-6.04,2204514.0,6.19,-3793239.0,-10.66,600467
2023-04-03,5.47,0.37,692064.0,1.43,1749808.0,3.63,-1057744.0,-2.19,-5183761.0,-10.74,4491698.0,9.31,600257
2023-04-03,2.67,0.0,590337.0,5.11,0.0,0.0,590337.0,5.11,-900685.0,-7.8,310348.0,2.69,002321
2023-04-03,5.45,0.37,-10418921.0,-8.87,-913339.0,-0.78,-9505582.0,-8.09,10148910.0,8.64,270011.0,0.23,300094
2023-04-03,20.69,-1.76,-85594912.0,-27.25,-56049086.0,-17.84,-29545826.0,-9.41,28181953.0,8.97,57412959.0,18.28,002234
2023-04-03,14.86,-1.65,-81116828.0,-22.59,-65307741.0,-18.18,-15809087.0,-4.4,27845966.0,7.75,53270861.0,14.83,002458
2023-04-03,11.04,-1.87,-8974570.0,-12.05,-5520262.0,-7.41,-3454308.0,-4.64,9923268.0,13.33,-948697.0,-1.27,000798
2023-04-03,8.94,0.68,-13803848.0,-11.62,-1103073.0,-0.93,-12700775.0,-10.69,7089248.0,5.97,6714601.0,5.65,002746
2023-04-03,5.74,1.06,-1255201.0,-10.94,-1405281.0,-12.24,150080.0,1.31,895800.0,7.8,359401.0,3.13,300313
2023-04-03,4.12,-0.48,-7114840.0,-14.09,-2967601.0,-5.88,-4147239.0,-8.22,5792565.0,11.47,1322275.0,2.62,600758
2023-04-03,20.2,-0.69,42546511.0,4.88,87523994.0,10.04,-44977483.0,-5.16,-28448792.0,-3.26,-14097719.0,-1.62,601225
