日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块名称,股票代码
2023-04-03,21.53,21.59,22.37,21.53,49386,108092639.0,3.88,-0.23,-0.05,1.53,动物保健,300119
2023-04-04,21.59,21.76,21.94,21.42,36148,78564932.0,2.41,0.79,0.17,1.12,动物保健,300119
2023-04-06,21.76,21.81,22.0,21.58,49843,109030171.0,1.93,0.23,0.05,1.54,动物保健,300119
2023-04-07,21.86,21.85,22.05,21.61,29727,65246140.0,2.02,0.18,0.04,0.92,动物保健,300119
2023-04-10,21.91,21.65,22.03,21.5,29131,63504637.0,2.43,-0.92,-0.2,0.9,动物保健,300119
2023-04-11,21.78,21.45,21.79,21.31,28304,60890688.0,2.22,-0.92,-0.2,0.88,动物保健,300119
2023-04-03,4.2,4.23,4.24,4.14,73355,30784640.0,2.38,0.71,0.03,0.65,动物保健,002141
2023-04-04,4.21,4.14,4.25,4.12,90127,37493246.0,3.07,-2.13,-0.09,0.79,动物保健,002141
2023-04-06,4.12,4.06,4.15,4.03,107400,43657594.7,2.9,-1.93,-0.08,0.95,动物保健,002141
2023-04-07,4.08,4.07,4.11,4.05,56206,22865273.0,1.48,0.25,0.01,0.5,动物保健,002141
2023-04-10,4.08,4.05,4.13,4.04,95581,39044364.8,2.21,-0.49,-0.02,0.84,动物保健,002141
2023-04-11,4.06,4.04,4.07,4.0,72879,29379098.0,1.73,-0.25,-0.01,0.64,动物保健,002141
2023-04-03,4.82,4.82,4.83,4.79,95444,45924571.0,0.83,-0.21,-0.01,1.36,农业综合,300021
2023-04-04,4.81,4.77,4.82,4.75,105498,50400838.0,1.45,-1.04,-0.05,1.5,农业综合,300021
2023-04-06,4.76,4.69,4.76,4.67,108476,51052222.0,1.89,-1.68,-0.08,1.55,农业综合,300021
2023-04-07,4.7,4.7,4.72,4.68,70850,33286798.0,0.85,0.21,0.01,1.01,农业综合,300021
2023-04-10,4.68,4.67,4.71,4.66,74112,34688057.0,1.06,-0.64,-0.03,1.06,农业综合,300021
2023-04-11,4.65,4.7,4.7,4.64,58456,27299238.0,1.28,0.64,0.03,0.83,农业综合,300021
