item,value
总市值,1334361177.6
流通市值,1334317527.6
行业,专用设备
上市时间,20040715
股票代码,002021
股票简称,ST中捷
总股本,687815040.0
流通股,687792540.0
总市值,54063891630.28001
流通市值,44038169104.090004
行业,工程机械
上市时间,20001012
股票代码,000157
股票简称,中联重科
总股本,8677992236.0
流通股,7068726983.0
总市值,1205558752.0
流通市值,321037301.69
行业,通用设备
上市时间,20160411
股票代码,836720
股票简称,吉冈精密
总股本,94851200.0
流通股,25258639.0
总市值,2191360000.0
流通市值,2191360000.0
行业,电网设备
上市时间,20170323
股票代码,002857
股票简称,三晖电气
总股本,128000000.0
流通股,128000000.0
总市值,35221536232.56
流通市值,35221536232.56
行业,电网设备
上市时间,19960205
股票代码,600885
股票简称,宏发股份
总股本,1042674252.0
流通股,1042674252.0
总市值,4017915608.5
流通市值,3281346947.22
行业,电网设备
上市时间,20150423
股票代码,300444
股票简称,双杰电气
总股本,725255525.0
流通股,592300893.0
总市值,3961968538.5
流通市值,2760610707.0
行业,光学光电子
上市时间,20190917
股票代码,002962
股票简称,五方光电
总股本,293479151.0
流通股,204489682.0
总市值,4032651476.28
流通市值,1716864303.78
行业,电子元件
上市时间,20210805
股票代码,300964
股票简称,本川智能
总股本,77298284.0
流通股,32909034.0
总市值,-
流通市值,-
行业,-
上市时间,20080716
股票代码,002260
股票简称,德奥退
总股本,-
流通股,-
总市值,-
流通市值,-
行业,-
上市时间,20100910
股票代码,002473
股票简称,圣莱退
总股本,-
流通股,-
总市值,7804960164.839999
流通市值,7778144526.839999
行业,化学制药
上市时间,19930629
股票代码,600664
股票简称,哈药股份
总股本,2525877076.0
流通股,2517198876.0
总市值,4314948957.0
流通市值,4314948957.0
行业,化学制药
上市时间,19970616
股票代码,000788
股票简称,北大医药
总股本,595987425.0
流通股,595987425.0
总市值,6056316798.0
流通市值,5892509440.3
行业,化学制药
上市时间,20100618
股票代码,002435
股票简称,长江健康
总股本,1235983020.0
流通股,1202552947.0
总市值,8678299281.85
流通市值,8678151318.1
行业,化学制药
上市时间,20150515
股票代码,002755
股票简称,奥赛康
总股本,928160351.0
流通股,928144526.0
总市值,4834959418.8
流通市值,4815220258.8
行业,化学制药
上市时间,20010618
股票代码,600488
股票简称,津药药业
总股本,1096362680.0
流通股,1091886680.0
总市值,-
流通市值,-
行业,-
上市时间,19940425
股票代码,600856
股票简称,退市中天
总股本,-
流通股,-
总市值,-
流通市值,-
行业,-
上市时间,19990625
股票代码,000835
股票简称,长动退
总股本,-
流通股,-
总市值,-
流通市值,-
行业,-
上市时间,20110929
股票代码,002619
股票简称,*ST艾格
总股本,-
流通股,-
总市值,-
流通市值,-
行业,-
上市时间,19901219
股票代码,600652
股票简称,退市游久
总股本,-
流通股,-
总市值,6188916384.0
流通市值,4122770590.2599998
行业,食品饮料
上市时间,20210209
股票代码,605077
股票简称,华康股份
总股本,228457600.0
流通股,152187914.0
总市值,6716820000.0
流通市值,2580383718.0
行业,电源设备
上市时间,20200824
股票代码,300870
股票简称,欧陆通
总股本,101770000.0
流通股,39096723.0
总市值,12565746757.310001
流通市值,12565746757.310001
行业,半导体
上市时间,20191223
股票代码,688123
股票简称,聚辰股份
总股本,120905867.0
流通股,120905867.0
