,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板,BK0816,148.85,8.92,6.37,46653099000,9.93,3,0,惠威科技,10.03
1,2,AIGC概念,BK1111,1565.76,63.79,4.25,488321184000,12.4,23,4,中文在线,19.97
2,3,手游概念,BK0642,1117.5,40.69,3.78,910954400000,5.63,52,3,三六零,10.03
3,4,华为昇腾,BK0995,1072.03,38.6,3.74,171240419000,9.34,14,1,常山北明,9.96
4,5,鸿蒙概念,BK0953,1143.79,39.48,3.58,759282688000,6.3,25,2,常山北明,9.96
5,6,Web3.0,BK1110,1472.33,50.16,3.53,488659552000,9.44,41,5,国光电器,10.02
6,7,昨日连板_含一字,BK1051,305.57,10.19,3.45,68160646000,8.72,5,1,鸿博股份,10.03
7,8,数字阅读,BK0959,1300.73,43.17,3.43,174813739000,3.52,15,2,中文在线,19.97
8,9,ChatGPT概念,BK1126,1578.33,50.93,3.33,1182473888000,6.62,40,7,三六零,10.03
9,10,云游戏,BK0903,1195.51,38.29,3.31,351208992000,8.1,22,3,巨人网络,9.98
10,11,网络游戏,BK0509,10821.79,345.66,3.3,1001911632000,5.67,66,10,三六零,10.03
11,12,快手概念,BK0972,1298.61,41.03,3.26,212051701000,10.22,20,4,中文在线,19.97
12,13,NFT概念,BK0997,1402.75,42.37,3.11,323859536000,8.61,33,2,常山北明,9.96
13,14,MLOps概念,BK1132,1066.64,30.38,2.93,53226592000,6.49,4,1,星环科技-U,9.64
14,15,数字水印,BK1129,1052.48,29.51,2.88,62797541000,8.53,9,2,鸿博股份,10.03
15,16,华为欧拉,BK1013,1170.07,31.48,2.76,150133032000,13.2,8,3,拓维信息,10.03
16,17,电子竞技,BK0853,1152.5,30.92,2.76,671532608000,2.98,27,5,巨人网络,9.98
17,18,虚拟数字人,BK1055,1048.4,26.34,2.58,533434416000,9.79,31,6,中文在线,19.97
18,19,元宇宙概念,BK1009,1725.45,41.78,2.48,3914537808000,6.19,106,26,国光电器,10.02
19,20,字节概念,BK0923,1161.52,28.02,2.47,645328288000,9.01,53,13,智度股份,9.98
20,21,东数西算,BK1064,1270.87,30.09,2.43,803900400000,9.23,36,11,拓维信息,10.03
21,22,远程办公,BK0912,1467.53,33.46,2.33,973764304000,6.88,31,7,三六零,10.03
22,23,人脑工程,BK0706,2943.79,66.49,2.31,272039328000,10.31,7,3,汤姆猫,7.18
23,24,3D摄像头,BK0901,1076.83,24.3,2.31,423525472000,3.08,7,3,立讯精密,6.72
24,25,知识产权,BK0839,1464.2,30.67,2.14,304453696000,6.24,30,8,中文在线,19.97
25,26,数据确权,BK1118,1351.78,28.05,2.12,267328414000,9.33,20,8,中文在线,19.97
26,27,算力概念,BK1134,1021.04,21.04,2.1,3826455136000,4.26,17,9,鸿博股份,10.03
27,28,在线教育,BK0662,1842.2,36.86,2.04,1396479104000,5.89,84,22,拓维信息,10.03
28,29,RCS概念,BK0919,1116.14,22.23,2.03,210251640000,6.26,19,3,平治信息,8.72
29,30,智能电视,BK0656,941.11,18.44,2.0,248147907000,3.87,12,2,四川长虹,9.97
30,31,CPO概念,BK1128,1316.15,25.28,1.96,340472432000,6.66,8,3,剑桥科技,9.99
31,32,盲盒经济,BK0954,1149.31,21.94,1.95,135360578000,5.39,9,1,元隆雅图,4.53
32,33,百度概念,BK0845,1298.71,24.57,1.93,1185030176000,4.51,47,16,国光电器,10.02
33,34,屏下摄像,BK0947,818.54,15.29,1.9,506324832000,1.84,7,2,深天马Ａ,5.29
34,35,国资云概念,BK1008,1381.41,25.66,1.89,311982912000,6.83,11,5,常山北明,9.96
35,36,虚拟电厂,BK0958,1858.14,32.16,1.76,266250535000,3.31,16,4,东方国信,11.64
36,37,大数据,BK0634,4092.84,69.02,1.72,4564706816000,4.43,200,84,三六零,10.03
37,38,信创,BK1104,1440.2,24.27,1.71,2966426560000,6.9,126,50,三六零,10.03
38,39,PLC概念,BK1119,1127.7,19.0,1.71,384618624000,1.56,7,1,英威腾,4.84
39,40,虚拟现实,BK0722,871.08,14.14,1.65,2226688720000,4.18,79,34,国光电器,10.02
40,41,无线充电,BK0960,2158.19,34.95,1.65,1731660816000,2.54,29,9,欧陆通,12.44
41,42,智慧政务,BK0886,1103.78,17.7,1.63,603681712000,7.32,56,18,拓维信息,10.03
42,43,云计算,BK0579,2614.03,41.86,1.63,6827793920000,4.84,142,55,三六零,10.03
43,44,彩票概念,BK0671,2249.79,35.62,1.61,310239776000,2.92,16,7,鸿博股份,10.03
44,45,人工智能,BK0800,1274.13,20.04,1.6,5317990144000,4.46,182,84,鸿博股份,10.03
45,46,减速器,BK1100,833.22,13.07,1.59,190595315000,2.78,19,5,绿的谐波,5.47
46,47,数字经济,BK1061,1041.84,16.26,1.59,1405832288000,6.99,88,29,鸿博股份,10.03
47,48,边缘计算,BK0860,1517.17,23.5,1.57,2264510576000,4.94,71,20,拓维信息,10.03
48,49,数据安全,BK1047,1014.9,15.68,1.57,543168192000,6.32,23,10,三六零,10.03
49,50,数字哨兵,BK1084,1628.12,24.78,1.55,117421549000,6.2,8,5,华中数控,11.43
50,51,昨日涨停_含一字,BK1050,22.43,0.33,1.49,769884416000,7.51,17,10,鸿博股份,10.03
51,52,电子纸概念,BK1057,924.15,13.51,1.48,351159184000,1.79,11,1,深天马Ａ,5.29
52,53,无线耳机,BK0893,1577.73,22.9,1.47,2025539200000,3.64,52,28,惠威科技,10.03
53,54,影视概念,BK0847,879.48,12.65,1.46,640063136000,3.01,51,16,中文在线,19.97
54,55,工业母机,BK1004,1125.29,15.68,1.41,696766560000,1.79,35,15,华中数控,11.43
55,56,ERP概念,BK1133,1008.97,13.81,1.39,284520048000,4.27,10,4,用友网络,4.38
56,57,商汤概念,BK0942,1048.35,14.31,1.38,347658416000,3.48,9,2,科大讯飞,5.84
57,58,区块链,BK0830,964.14,13.04,1.37,7154588160000,2.04,171,75,鸿博股份,10.03
58,59,3D玻璃,BK0881,979.92,12.99,1.34,175469773000,1.93,11,3,维宏股份,8.21
59,60,eSIM,BK0956,1481.79,19.06,1.3,343028032000,3.09,7,3,神州泰岳,6.55
60,61,智能机器,BK0640,3639.29,46.38,1.29,2692433056000,2.5,119,51,鸿博股份,10.03
61,62,数据中心,BK0922,1407.23,17.37,1.25,4778997248000,4.65,101,46,常山北明,9.96
62,63,机器人概念,BK1090,1216.22,14.88,1.24,1787704208000,3.21,75,34,拓维信息,10.03
63,64,阿里概念,BK0689,2069.75,25.19,1.23,2612095680000,2.33,67,34,智度股份,9.98
64,65,工业互联,BK0832,1645.23,19.97,1.23,3756975088000,3.02,105,59,常山北明,9.96
65,66,EDR概念,BK1049,886.71,10.48,1.2,244684934000,4.42,8,6,三六零,10.03
66,67,昨日涨停,BK0815,3111.56,36.75,1.2,756877712000,7.61,15,10,惠威科技,10.03
67,68,同步磁阻电机,BK1131,948.52,11.17,1.19,38099517000,1.81,4,2,伟创电气,4.58
68,69,托育服务,BK1074,981.84,11.43,1.18,102697964000,7.3,11,4,汤姆猫,7.18
69,70,电子后视镜,BK1125,1101.48,12.76,1.17,221139000000,2.94,10,5,合力泰,4.8
70,71,世界杯,BK1105,1291.17,14.94,1.17,2113056576000,2.62,12,7,ST明诚,5.08
71,72,中超概念,BK0635,1987.31,22.51,1.15,222864542000,0.4,6,2,珠江啤酒,4.0
72,73,国产软件,BK0696,2752.79,30.87,1.13,2760159904000,5.91,135,64,三六零,10.03
73,74,苹果概念,BK0666,2605.96,29.07,1.13,3232313296000,2.31,74,36,长盈精密,10.47
