,股票代码,股票名称,板块名称
0,300119,瑞普生物,农业服务
1,002141,贤丰控股,农业服务
2,300021,大禹节水,农业服务
3,600201,生物股份,农业服务
4,688098,申联生物,农业服务
5,300871,回盛生物,农业服务
6,603718,海利生物,农业服务
7,600195,中牧股份,农业服务
8,002556,辉隆股份,农业服务
9,838275,驱动力,农业服务
10,839729,永顺生物,农业服务
11,830964,润农节水,农业服务
12,002688,金河生物,农业服务
13,603566,普莱柯,农业服务
14,002868,绿康生化,农业服务
15,688526,科前生物,农业服务
16,300761,立华股份,养殖业
17,000735,罗牛山,养殖业
18,002157,正邦科技,养殖业
19,001201,东瑞股份,养殖业
20,002714,牧原股份,养殖业
21,002069,ST獐子岛,养殖业
22,605296,神农集团,养殖业
23,300967,晓鸣股份,养殖业
24,002124,天邦食品,养殖业
25,002982,湘佳股份,养殖业
26,603477,巨星农牧,养殖业
27,600097,开创国际,养殖业
28,300498,温氏股份,养殖业
29,600965,福成股份,养殖业
30,002299,圣农发展,养殖业
31,600975,新五丰,养殖业
32,600467,好当家,养殖业
33,600257,大湖股份,养殖业
34,002321,ST华英,养殖业
35,300094,国联水产,养殖业
36,002234,民和股份,养殖业
37,002458,益生股份,养殖业
38,000798,中水渔业,养殖业
39,002746,仙坛股份,养殖业
40,300313,ST天山,养殖业
41,600758,辽宁能源,煤炭开采加工
42,601225,陕西煤业,煤炭开采加工
43,600971,恒源煤电,煤炭开采加工
44,601699,潞安环能,煤炭开采加工
45,600397,安源煤业,煤炭开采加工
46,601918,新集能源,煤炭开采加工
47,601001,晋控煤业,煤炭开采加工
48,600508,上海能源,煤炭开采加工
49,601088,中国神华,煤炭开采加工
50,002128,电投能源,煤炭开采加工
51,601011,宝泰隆,煤炭开采加工
52,600792,云煤能源,煤炭开采加工
53,600740,山西焦化,煤炭开采加工
54,000723,美锦能源,煤炭开采加工
55,600546,山煤国际,煤炭开采加工
56,603113,金能科技,煤炭开采加工
57,600403,大有能源,煤炭开采加工
58,600997,开滦股份,煤炭开采加工
59,000937,冀中能源,煤炭开采加工
60,601666,平煤股份,煤炭开采加工
61,601666,平煤股份,煤炭开采加工
62,600123,兰花科创,煤炭开采加工
63,600121,郑州煤电,煤炭开采加工
64,601101,昊华能源,煤炭开采加工
65,600188,兖矿能源,煤炭开采加工
66,600395,盘江股份,煤炭开采加工
67,601898,中煤能源,煤炭开采加工
68,600348,华阳股份,煤炭开采加工
69,600985,淮北矿业,煤炭开采加工
70,600726,*ST华源,煤炭开采加工
71,000552,靖远煤电,煤炭开采加工
72,601015,陕西黑猫,煤炭开采加工
73,000571,ST大洲,煤炭开采加工
74,000983,山西焦煤,煤炭开采加工
75,600108,亚盛集团,种植业与林业
76,600265,ST景谷,种植业与林业
77,000592,平潭发展,种植业与林业
78,000713,丰乐种业,种植业与林业
79,300087,荃银高科,种植业与林业
80,600883,博闻科技,种植业与林业
81,002041,登海种业,种植业与林业
82,300189,神农科技,种植业与林业
83,600371,万向德农,种植业与林业
84,601118,海南橡胶,种植业与林业
85,002772,众兴菌业,种植业与林业
86,600540,新赛股份,种植业与林业
87,601952,苏垦农发,种植业与林业
88,600598,北大荒,种植业与林业
89,831087,秋乐种业,种植业与林业
90,600359,新农开发,种植业与林业
91,600313,农发种业,种植业与林业
92,000663,永安林业,种植业与林业
93,000998,隆平高科,种植业与林业
94,300972,万辰生物,种植业与林业
95,300511,雪榕生物,种植业与林业
96,002679,福建金森,种植业与林业
97,600354,敦煌种业,种植业与林业
98,300970,华绿生物,种植业与林业
99,600583,海油工程,油气开采及服务
100,300157,恒泰艾普,油气开采及服务
101,600938,中国海油,油气开采及服务
102,300164,通源石油,油气开采及服务
103,300483,首华燃气,油气开采及服务
104,600256,广汇能源,油气开采及服务
105,300191,潜能恒信,油气开采及服务
106,600968,海油发展,油气开采及服务
107,600759,ST洲际,油气开采及服务
108,603393,新天然气,油气开采及服务
109,603727,博迈科,油气开采及服务
110,000968,蓝焰控股,油气开采及服务
111,600339,中油工程,油气开采及服务
112,002629,仁智股份,油气开采及服务
113,002554,惠博普,油气开采及服务
114,002207,准油股份,油气开采及服务
115,600777,新潮能源,油气开采及服务
116,002828,贝肯能源,油气开采及服务
117,603619,中曼石油,油气开采及服务
118,601808,中海油服,油气开采及服务
119,600871,石化油服,油气开采及服务
120,001366,播恩集团,农产品加工
121,600811,东方集团,农产品加工
122,300175,朗源股份,农产品加工
123,000505,京粮控股,农产品加工
124,002286,保龄宝,农产品加工
125,000972,ST中基,农产品加工
126,600251,冠农股份,农产品加工
127,603151,邦基科技,农产品加工
128,832419,路斯股份,农产品加工
129,832023,田野股份,农产品加工
130,600127,金健米业,农产品加工
131,002311,海大集团,农产品加工
132,300673,佩蒂股份,农产品加工
133,600737,中粮糖业,农产品加工
134,600191,华资实业,农产品加工
135,001313,粤海饲料,农产品加工
136,002661,克明食品,农产品加工
137,002548,金新农,农产品加工
