股票代码,股票名称,板块名称
301236,软通动力,ERP概念
300687,赛意信息,ERP概念
688369,致远互联,ERP概念
300339,润和软件,ERP概念
300378,鼎捷软件,ERP概念
000555,神州信息,ERP概念
600845,宝信软件,ERP概念
300170,汉得信息,ERP概念
300668,杰恩设计,ERP概念
002232,启明信息,ERP概念
000409,云鼎科技,ERP概念
300131,英唐智控,ERP概念
002722,物产金轮,ERP概念
300195,长荣股份,ERP概念
002398,垒知集团,ERP概念
300807,天迈科技,ERP概念
600588,用友网络,ERP概念
002315,焦点科技,ERP概念
300996,普联软件,ERP概念
688246,嘉和美康,DRG/DIP
301117,佳缘科技,DRG/DIP
300253,卫宁健康,DRG/DIP
300168,万达信息,DRG/DIP
002065,东华软件,DRG/DIP
300451,创业慧康,DRG/DIP
300290,荣科科技,DRG/DIP
300078,思创医惠,DRG/DIP
603716,塞力医疗,DRG/DIP
600718,东软集团,DRG/DIP
000503,国新健康,DRG/DIP
300096,易联众,DRG/DIP
688579,山大地纬,DRG/DIP
002777,久远银海,DRG/DIP
688122,西部超导,超导概念
600522,中天科技,超导概念
600468,百利电气,超导概念
600595,中孚实业,超导概念
600973,宝胜股份,超导概念
600105,永鼎股份,超导概念
002533,金杯电工,超导概念
000962,东方钽业,超导概念
600363,联创光电,超导概念
603236,移远通信,6G概念
600498,烽火通信,6G概念
002913,奥士康,6G概念
002281,光迅科技,6G概念
600522,中天科技,6G概念
000070,特发信息,6G概念
300252,金信诺,6G概念
002115,三维通信,6G概念
600118,中国卫星,6G概念
002446,盛路通信,6G概念
002583,海能达,6G概念
600487,亨通光电,6G概念
002436,兴森科技,6G概念
688375,国博电子,6G概念
831961,创远信科,6G概念
002796,世嘉科技,6G概念
002512,达华智能,6G概念
301289,国缆检测,6G概念
600288,大恒科技,6G概念
300123,亚光科技,6G概念
688387,信科移动,6G概念
300964,本川智能,6G概念
000547,航天发展,6G概念
300045,华力创通,6G概念
601698,中国卫通,6G概念
300322,硕贝德,6G概念
002579,中京电子,6G概念
600050,中国联通,6G概念
002093,国脉科技,6G概念
002792,通宇通讯,6G概念
300136,信维通信,6G概念
000063,中兴通讯,6G概念
002897,意华股份,6G概念
601728,中国电信,6G概念
002886,沃特股份,6G概念
688418,震有科技,6G概念
300634,彩讯股份,6G概念
600941,中国移动,6G概念
301248,杰创智能,时空大数据
301178,天亿马,时空大数据
301091,深城交,时空大数据
688568,中科星图,时空大数据
301221,光庭信息,时空大数据
300732,设研院,时空大数据
002405,四维图新,时空大数据
300053,欧比特,时空大数据
000409,云鼎科技,时空大数据
300044,赛为智能,时空大数据
603559,中通国脉,时空大数据
300456,赛微电子,时空大数据
300523,辰安科技,时空大数据
002298,中电兴发,时空大数据
600868,梅雁吉祥,时空大数据
300350,华鹏飞,时空大数据
300324,旋极信息,时空大数据
300365,恒华科技,时空大数据
301136,招标股份,时空大数据
688509,正元地信,时空大数据
002383,合众思壮,时空大数据
300047,天源迪科,时空大数据
300177,中海达,时空大数据
300287,飞利信,时空大数据
000925,众合科技,时空大数据
300045,华力创通,时空大数据
603660,苏州科达,时空大数据
300397,天和防务,时空大数据
002465,海格通信,时空大数据
300101,振芯科技,时空大数据
600476,湘邮科技,时空大数据
300036,超图软件,时空大数据
300603,立昂技术,时空大数据
300826,测绘股份,时空大数据
300588,熙菱信息,时空大数据
002771,真视通,时空大数据
688070,纵横股份,时空大数据
300814,中富电路,毫米波雷达
002920,德赛西威,毫米波雷达
300671,富满微,毫米波雷达
002906,华阳集团,毫米波雷达
002881,美格智能,毫米波雷达
002463,沪电股份,毫米波雷达
600839,四川长虹,毫米波雷达
002970,锐明技术,毫米波雷达
002373,千方科技,毫米波雷达
002446,盛路通信,毫米波雷达
300644,南京聚隆,毫米波雷达
002156,通富微电,毫米波雷达
600562,国睿科技,毫米波雷达
002590,万安科技,毫米波雷达
300432,富临精工,毫米波雷达
000823,超声电子,毫米波雷达
600990,四创电子,毫米波雷达
002185,华天科技,毫米波雷达
002413,雷科防务,毫米波雷达
603211,晋拓股份,毫米波雷达
603386,骏亚科技,毫米波雷达
002284,亚太股份,毫米波雷达
002456,欧菲光,毫米波雷达
300964,本川智能,毫米波雷达
300045,华力创通,毫米波雷达
300852,四会富仕,毫米波雷达
605228,神通科技,毫米波雷达
300322,硕贝德,毫米波雷达
002579,中京电子,毫米波雷达
002792,通宇通讯,毫米波雷达
600741,华域汽车,毫米波雷达
300978,东箭科技,毫米波雷达
002414,高德红外,毫米波雷达
000510,新金路,毫米波雷达
605258,协和电子,毫米波雷达
300742,越博动力,毫米波雷达
300691,联合光电,毫米波雷达
688208,道通科技,毫米波雷达
600183,生益科技,毫米波雷达
600764,中国海防,毫米波雷达
000581,威孚高科,毫米波雷达
300862,蓝盾光电,毫米波雷达
002475,立讯精密,毫米波雷达
603228,景旺电子,毫米波雷达
300936,中英科技,毫米波雷达
301050,雷电微力,毫米波雷达
301041,金百泽,毫米波雷达
688522,纳睿雷达,毫米波雷达
300571,平治信息,数字水印
003029,吉大正元,数字水印
002229,鸿博股份,数字水印
002819,东方中科,数字水印
600571,信雅达,数字水印
300079,数码视讯,数字水印
603687,大胜达,数字水印
002717,岭南股份,数字水印
300352,北信源,数字水印
002228,合兴包装,数字水印
300449,汉邦高科,数字水印
000925,众合科技,数字水印
300096,易联众,数字水印
300747,锐科激光,数字水印
300220,金运激光,数字水印
301223,中荣股份,数字水印
002197,证通电子,数字水印
300081,恒信东方,数字水印
301185,鸥玛软件,数字水印
603083,剑桥科技,共封装光学（CPO）
300502,新易盛,共封装光学（CPO）
000988,华工科技,共封装光学（CPO）
002281,光迅科技,共封装光学（CPO）
600522,中天科技,共封装光学（CPO）
000070,特发信息,共封装光学（CPO）
688205,德科立,共封装光学（CPO）
600487,亨通光电,共封装光学（CPO）
002396,星网锐捷,共封装光学（CPO）
600103,青山纸业,共封装光学（CPO）
002185,华天科技,共封装光学（CPO）
603803,瑞斯康达,共封装光学（CPO）
688313,仕佳光子,共封装光学（CPO）
300447,全信股份,共封装光学（CPO）
600105,永鼎股份,共封装光学（CPO）
002792,通宇通讯,共封装光学（CPO）
688400,凌云光,共封装光学（CPO）
002897,意华股份,共封装光学（CPO）
002902,铭普光磁,共封装光学（CPO）
300308,中际旭创,共封装光学（CPO）
300548,博创科技,共封装光学（CPO）
000938,紫光股份,共封装光学（CPO）
301205,联特科技,共封装光学（CPO）
300394,天孚通信,共封装光学（CPO）
301165,锐捷网络,共封装光学（CPO）
300919,中伟股份,固态电池
300438,鹏辉能源,固态电池
688560,明冠新材,固态电池
300068,南都电源,固态电池
002733,雄韬股份,固态电池
300450,先导智能,固态电池
300890,翔丰华,固态电池
002460,赣锋锂业,固态电池
600206,有研新材,固态电池
688567,孚能科技,固态电池
603663,三祥新材,固态电池
002598,山东章鼓,固态电池
002882,金龙羽,固态电池
688683,莱尔科技,固态电池
688779,长远锂科,固态电池
300207,欣旺达,固态电池
688772,珠海冠宇,固态电池
002056,横店东磁,固态电池
300410,正业科技,固态电池
301238,瑞泰新材,固态电池
300409,道氏技术,固态电池
002466,天齐锂业,固态电池
002167,东方锆业,固态电池
600400,红豆股份,固态电池
300283,温州宏丰,固态电池
300568,星源材质,固态电池
600733,北汽蓝谷,固态电池
002091,江苏国泰,固态电池
600552,凯盛科技,固态电池
000009,中国宝安,固态电池
002734,利民股份,固态电池
002340,格林美,固态电池
603626,科森科技,固态电池
600210,紫江企业,固态电池
300473,德尔股份,固态电池
002341,新纶新材,固态电池
603200,上海洗霸,固态电池
002348,高乐股份,固态电池
002632,道明光学,固态电池
300501,海顺新材,固态电池
002709,天赐材料,固态电池
002244,滨江集团,固态电池
002846,英联股份,固态电池
001283,豪鹏科技,固态电池
301152,天力锂能,固态电池
002407,多氟多,固态电池
002074,国轩高科,固态电池
002601,龙佰集团,固态电池
300073,当升科技,固态电池
835185,贝特瑞,固态电池
688005,容百科技,固态电池
600884,杉杉股份,固态电池
688353,华盛锂电,固态电池
688499,利元亨,固态电池
688737,中自科技,固态电池
300037,新宙邦,固态电池
601127,赛力斯,固态电池
301219,腾远钴业,固态电池
002805,丰元股份,固态电池
301121,紫建电子,固态电池
002812,恩捷股份,固态电池
688787,海天瑞声,ChatGPT概念
300033,同花顺,ChatGPT概念
688058,宝兰德,ChatGPT概念
301236,软通动力,ChatGPT概念
688327,云从科技,ChatGPT概念
835305,云创数据,ChatGPT概念
000034,神州数码,ChatGPT概念
688365,光云科技,ChatGPT概念
301178,天亿马,ChatGPT概念
688228,开普云,ChatGPT概念
002229,鸿博股份,ChatGPT概念
002362,汉王科技,ChatGPT概念
601360,三六零,ChatGPT概念
600797,浙大网新,ChatGPT概念
300002,神州泰岳,ChatGPT概念
300418,昆仑万维,ChatGPT概念
300235,方直科技,ChatGPT概念
300166,东方国信,ChatGPT概念
002649,博彦科技,ChatGPT概念
002367,康力电梯,ChatGPT概念
603528,多伦科技,ChatGPT概念
002553,南方精工,ChatGPT概念
600571,信雅达,ChatGPT概念
300245,天玑科技,ChatGPT概念
002123,梦网科技,ChatGPT概念
002230,科大讯飞,ChatGPT概念
002354,天娱数科,ChatGPT概念
002878,元隆雅图,ChatGPT概念
300674,宇信科技,ChatGPT概念
603687,大胜达,ChatGPT概念
002717,岭南股份,ChatGPT概念
300352,北信源,ChatGPT概念
002642,荣联科技,ChatGPT概念
002587,奥拓电子,ChatGPT概念
300830,金现代,ChatGPT概念
300292,吴通控股,ChatGPT概念
002131,利欧股份,ChatGPT概念
300459,汤姆猫,ChatGPT概念
300047,天源迪科,ChatGPT概念
300229,拓尔思,ChatGPT概念
002657,中科金财,ChatGPT概念
002722,物产金轮,ChatGPT概念
002803,吉宏股份,ChatGPT概念
002530,金财互联,ChatGPT概念
000560,我爱我家,ChatGPT概念
003032,传智教育,ChatGPT概念
300338,ST开元,ChatGPT概念
300182,捷成股份,ChatGPT概念
300096,易联众,ChatGPT概念
002117,东港股份,ChatGPT概念
002799,环球印务,ChatGPT概念
300654,世纪天鸿,ChatGPT概念
300399,天利科技,ChatGPT概念
300071,福石控股,ChatGPT概念
688590,新致软件,ChatGPT概念
300465,高伟达,ChatGPT概念
