,日期,概念名称,成分股数量,网址,代码
0,2023-03-20,ERP概念,19,http://q.10jqka.com.cn/gn/detail/code/309058/,309058
1,2023-03-14,DRG/DIP,14,http://q.10jqka.com.cn/gn/detail/code/308809/,308809
2,2023-03-09,超导概念,9,http://q.10jqka.com.cn/gn/detail/code/309056/,309056
3,2023-03-01,6G概念,38,http://q.10jqka.com.cn/gn/detail/code/309055/,309055
4,2023-03-01,时空大数据,37,http://q.10jqka.com.cn/gn/detail/code/300180/,300180
5,2023-02-21,毫米波雷达,48,http://q.10jqka.com.cn/gn/detail/code/309051/,309051
6,2023-02-13,数字水印,19,http://q.10jqka.com.cn/gn/detail/code/309050/,309050
7,2023-02-09,共封装光学（CPO）,25,http://q.10jqka.com.cn/gn/detail/code/309049/,309049
8,2023-02-07,固态电池,61,http://q.10jqka.com.cn/gn/detail/code/308294/,308294
9,2023-01-30,ChatGPT概念,72,http://q.10jqka.com.cn/gn/detail/code/309046/,309046
10,2023-01-29,成飞概念,33,http://q.10jqka.com.cn/gn/detail/code/309045/,309045
11,2023-01-05,国产航母,36,http://q.10jqka.com.cn/gn/detail/code/300236/,300236
12,2023-01-03,蒙脱石散,17,http://q.10jqka.com.cn/gn/detail/code/309044/,309044
13,2022-12-26,血氧仪,22,http://q.10jqka.com.cn/gn/detail/code/309042/,309042
14,2022-12-16,新冠特效药,30,http://q.10jqka.com.cn/gn/detail/code/309041/,309041
15,2022-12-09,POE胶膜,23,http://q.10jqka.com.cn/gn/detail/code/309040/,309040
16,2022-12-07,熊去氧胆酸,25,http://q.10jqka.com.cn/gn/detail/code/309038/,309038
17,2022-12-02,抗病毒面料,20,http://q.10jqka.com.cn/gn/detail/code/309035/,309035
18,2022-12-02,数据确权,46,http://q.10jqka.com.cn/gn/detail/code/309037/,309037
19,2022-11-28,抗原检测,72,http://q.10jqka.com.cn/gn/detail/code/309031/,309031
20,2022-11-25,证金持股,207,http://q.10jqka.com.cn/gn/detail/code/301715/,301715
21,2022-11-25,国企改革,1329,http://q.10jqka.com.cn/gn/detail/code/309034/,309034
