股票代码,板块名称
000552,煤炭
000571,煤炭
000723,煤炭
000937,煤炭
000983,煤炭
002128,煤炭
600121,煤炭
600123,煤炭
600188,煤炭
600348,煤炭
600395,煤炭
600397,煤炭
600403,煤炭
600408,煤炭
600508,煤炭
600546,煤炭
600725,煤炭
600740,煤炭
600758,煤炭
600792,煤炭
600925,煤炭
600971,煤炭
600985,煤炭
600997,煤炭
601001,煤炭
601011,煤炭
601015,煤炭
601088,煤炭
601101,煤炭
601225,煤炭
601666,煤炭
601699,煤炭
601898,煤炭
601918,煤炭
603113,煤炭
000552,煤炭开采
000571,煤炭开采
000937,煤炭开采
000983,煤炭开采
002128,煤炭开采
600121,煤炭开采
600123,煤炭开采
600188,煤炭开采
600348,煤炭开采
600395,煤炭开采
600397,煤炭开采
600403,煤炭开采
600508,煤炭开采
600546,煤炭开采
600758,煤炭开采
600925,煤炭开采
600971,煤炭开采
600985,煤炭开采
600997,煤炭开采
601001,煤炭开采
601088,煤炭开采
601101,煤炭开采
601225,煤炭开采
601666,煤炭开采
601699,煤炭开采
601898,煤炭开采
601918,煤炭开采
000723,焦炭加工
600408,焦炭加工
600725,焦炭加工
600740,焦炭加工
600792,焦炭加工
601011,焦炭加工
601015,焦炭加工
603113,焦炭加工
000027,电力
000037,电力
000040,电力
000155,电力
000531,电力
000537,电力
000539,电力
000543,电力
000591,电力
000600,电力
000601,电力
000690,电力
000767,电力
000791,电力
000862,电力
000875,电力
000883,电力
000899,电力
000966,电力
000993,电力
001258,电力
001286,电力
001289,电力
001896,电力
002015,电力
002039,电力
002256,电力
002608,电力
003035,电力
003816,电力
301046,电力
600011,电力
600021,电力
600023,电力
600025,电力
600027,电力
600032,电力
600098,电力
600101,电力
600116,电力
600157,电力
600163,电力
600236,电力
600310,电力
600396,电力
600452,电力
600483,电力
600505,电力
600509,电力
600578,电力
600642,电力
600644,电力
600674,电力
600726,电力
600744,电力
600780,电力
600795,电力
600821,电力
600863,电力
600886,电力
600900,电力
600905,电力
600969,电力
600979,电力
600995,电力
601016,电力
601619,电力
601778,电力
601908,电力
601985,电力
601991,电力
603693,电力
000601,水力发电
000791,水力发电
000993,水力发电
002039,水力发电
600025,水力发电
600101,水力发电
600116,水力发电
600236,水力发电
600310,水力发电
600452,水力发电
600505,水力发电
600644,水力发电
600674,水力发电
600886,水力发电
600900,水力发电
600969,水力发电
600979,水力发电
600995,水力发电
000027,火力发电
000037,火力发电
000531,火力发电
000539,火力发电
000543,火力发电
000600,火力发电
000690,火力发电
000767,火力发电
000875,火力发电
000883,火力发电
000899,火力发电
000966,火力发电
001286,火力发电
001896,火力发电
002608,火力发电
600011,火力发电
600021,火力发电
600023,火力发电
600027,火力发电
600098,火力发电
600157,火力发电
600396,火力发电
600483,火力发电
600509,火力发电
600578,火力发电
600642,火力发电
600726,火力发电
600744,火力发电
600780,火力发电
600795,火力发电
600863,火力发电
601991,火力发电
000040,新型电力
000155,新型电力
000537,新型电力
000591,新型电力
000862,新型电力
001258,新型电力
001289,新型电力
002015,新型电力
002256,新型电力
003035,新型电力
003816,新型电力
301046,新型电力
600032,新型电力
600163,新型电力
600821,新型电力
600905,新型电力
601016,新型电力
601619,新型电力
601778,新型电力
601908,新型电力
601985,新型电力
603693,新型电力
000059,石油
000096,石油
000159,石油
000554,石油
000637,石油
000698,石油
000819,石油
000968,石油
002207,石油
002221,石油
002554,石油
002629,石油
002778,石油
002828,石油
300157,石油
300164,石油
300191,石油
300483,石油
300839,石油
600028,石油
600256,石油
600339,石油
600346,石油
600387,石油
600583,石油
600688,石油
600759,石油
600777,石油
600871,石油
600938,石油
600968,石油
601808,石油
601857,石油
603003,石油
603353,石油
603619,石油
603727,石油
603798,石油
000968,石油开采
002207,石油开采
002554,石油开采
002629,石油开采
002828,石油开采
300157,石油开采
300164,石油开采
300191,石油开采
300483,石油开采
600256,石油开采
600583,石油开采
600759,石油开采
600777,石油开采
600871,石油开采
600938,石油开采
600968,石油开采
601808,石油开采
601857,石油开采
603619,石油开采
603727,石油开采
000059,石油加工
000637,石油加工
000698,石油加工
000819,石油加工
002778,石油加工
300839,石油加工
600028,石油加工
600339,石油加工
600346,石油加工
600688,石油加工
603798,石油加工
000096,石油贸易
000159,石油贸易
000554,石油贸易
002221,石油贸易
600387,石油贸易
603003,石油贸易
603353,石油贸易
000655,钢铁
000708,钢铁
000709,钢铁
000717,钢铁
000761,钢铁
000778,钢铁
000825,钢铁
000890,钢铁
000898,钢铁
000923,钢铁
000932,钢铁
000959,钢铁
001203,钢铁
002075,钢铁
002110,钢铁
002132,钢铁
002135,钢铁
002318,钢铁
002443,钢铁
002445,钢铁
002478,钢铁
002541,钢铁
002545,钢铁
002593,钢铁
002743,钢铁
002756,钢铁
002843,钢铁
300881,钢铁
600010,钢铁
600019,钢铁
600022,钢铁
600117,钢铁
600126,钢铁
600231,钢铁
600282,钢铁
600295,钢铁
600307,钢铁
600382,钢铁
600399,钢铁
600477,钢铁
600496,钢铁
600507,钢铁
600558,钢铁
600569,钢铁
600581,钢铁
600782,钢铁
600808,钢铁
600992,钢铁
601003,钢铁
601005,钢铁
601121,钢铁
601686,钢铁
601969,钢铁
603028,钢铁
603278,钢铁
603878,钢铁
603995,钢铁
605158,钢铁
688186,钢铁
835857,钢铁
000655,普钢
000709,普钢
000717,普钢
000761,普钢
000898,普钢
000923,普钢
000932,普钢
000959,普钢
001203,普钢
002110,普钢
600010,普钢
600019,普钢
600022,普钢
600126,普钢
600231,普钢
600282,普钢
600307,普钢
600382,普钢
600569,普钢
600581,普钢
600782,普钢
600808,普钢
601003,普钢
601005,普钢
601121,普钢
601969,普钢
000708,特种钢
000825,特种钢
002075,特种钢
002318,特种钢
002756,特种钢
600117,特种钢
600295,特种钢
600399,特种钢
600507,特种钢
603995,特种钢
688186,特种钢
000778,钢加工
000890,钢加工
002132,钢加工
002135,钢加工
002443,钢加工
002445,钢加工
002478,钢加工
002541,钢加工
002545,钢加工
002593,钢加工
