板块名称,板块代码
煤炭,880301
煤炭开采,880302
焦炭加工,880303
电力,880305
水力发电,880306
火力发电,880307
新型电力,880308
石油,880310
石油开采,880311
石油加工,880312
石油贸易,880313
钢铁,880318
普钢,880319
特种钢,880320
钢加工,880321
有色,880324
铜,880325
铝,880326
铅锌,880327
黄金,880328
小金属,880329
化纤,880330
化工,880335
化工原料,880336
农药化肥,880337
塑料,880338
橡胶,880339
染料涂料,880340
建材,880344
陶瓷,880345
水泥,880346
玻璃,880347
其他建材,880348
造纸,880350
矿物制品,880351
日用化工,880355
农林牧渔,880360
种植业,880361
渔业,880362
林业,880363
饲料,880364
农业综合,880366
纺织服饰,880367
纺织,880368
服饰,880369
食品饮料,880372
乳制品,880373
软饮料,880374
食品,880375
酿酒,880380
白酒,880381
啤酒,880382
红黄酒,880383
家用电器,880387
汽车类,880390
汽车整车,880391
汽车配件,880392
汽车服务,880393
摩托车,880394
医疗保健,880398
家居用品,880399
医药,880400
化学制药,880401
生物制药,880402
中成药,880403
商业连锁,880406
百货,880407
超市连锁,880408
电器连锁,880409
医药商业,880410
其他商业,880411
商品城,880412
批发业,880413
商贸代理,880414
传媒娱乐,880418
出版业,880419
影视音像,880420
广告包装,880421
文教休闲,880422
酒店餐饮,880423
旅游,880424
旅游服务,880425
旅游景点,880426
航空,880430
船舶,880431
运输设备,880432
通用机械,880437
机床制造,880438
机械基件,880439
工业机械,880440
化工机械,880441
轻工机械,880442
纺织机械,880443
农用机械,880444
专用机械,880445
电气设备,880446
工程机械,880447
电器仪表,880448
电信运营,880452
公共交通,880453
水务,880454
供气供热,880455
环境保护,880456
运输服务,880459
铁路,880460
水运,880461
空运,880462
公路,880463
仓储物流,880464
交通设施,880465
路桥,880466
机场,880467
港口,880468
银行,880471
证券,880472
保险,880473
多元金融,880474
建筑,880476
建筑工程,880477
装修装饰,880478
房地产,880482
全国地产,880483
区域地产,880484
园区开发,880485
房产服务,880486
IT设备,880489
通信设备,880490
半导体,880491
元器件,880492
软件服务,880493
互联网,880494
综合类,880497
