日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票编号
2023-03-10,5.26,6.31,6.31,5.26,41630.0,26144194.0,23.97,44.06,1.93,2.08,601121
2023-03-01,58.15,67.09,67.09,57.23,69646.0,424891759.0,17.58,19.59,10.99,8.67,688039
2023-03-02,73.15,79.15,80.15,71.63,119006.0,888795263.0,12.7,17.98,12.06,14.82,688039
2023-03-03,76.15,71.65,77.12,69.24,107873.0,779648934.0,9.96,-9.48,-7.5,13.43,688039
2023-03-06,72.59,73.83,77.15,71.36,101618.0,746235102.0,8.08,3.04,2.18,12.65,688039
2023-03-07,74.63,64.59,75.81,64.25,121699.0,821596704.0,15.66,-12.52,-9.24,15.15,688039
2023-03-08,64.15,65.35,66.55,61.41,98076.0,605934300.0,7.96,1.18,0.76,12.21,688039
2023-03-09,63.32,64.11,65.65,61.75,71249.0,443168975.0,5.97,-1.9,-1.24,8.87,688039
2023-03-10,67.15,72.65,76.34,65.63,128436.0,878679546.0,16.71,13.32,8.54,15.99,688039
2023-03-01,14.72,14.71,14.73,14.53,8490.0,12226973.0,1.36,0.14,0.02,0.3,688222
2023-03-02,14.73,14.61,14.8,14.55,9797.0,14106797.0,1.7,-0.68,-0.1,0.35,688222
2023-03-03,14.64,14.58,14.81,14.52,9477.0,13656525.0,1.98,-0.21,-0.03,0.34,688222
2023-03-06,14.58,15.14,15.14,14.54,20365.0,29885862.0,4.12,3.84,0.56,0.73,688222
2023-03-07,15.23,15.68,16.64,15.23,68254.0,107808012.0,9.31,3.57,0.54,2.44,688222
2023-03-08,15.55,15.95,16.43,15.45,51802.0,81605706.0,6.25,1.72,0.27,1.85,688222
2023-03-09,15.99,15.84,16.19,15.73,26291.0,41300256.0,2.88,-0.69,-0.11,0.94,688222
2023-03-10,15.78,17.84,18.37,15.66,130647.0,221563301.0,17.11,12.63,2.0,4.66,688222
2023-03-01,55.55,60.4,64.85,55.0,253104.0,1456401086.0,21.1,29.39,13.72,70.71,688522
2023-03-02,60.51,60.38,63.62,58.1,167626.0,1024706770.0,9.14,-0.03,-0.02,46.83,688522
2023-03-03,59.22,61.28,61.97,58.6,106974.0,647351207.0,5.58,1.49,0.9,29.89,688522
2023-03-06,63.0,62.0,65.08,61.08,112848.0,712778494.0,6.53,1.17,0.72,31.53,688522
2023-03-07,60.7,60.1,61.79,59.66,72174.0,437151532.0,3.44,-3.06,-1.9,20.16,688522
2023-03-08,60.6,61.6,63.55,60.15,75731.0,469149400.0,5.66,2.5,1.5,21.16,688522
2023-03-09,61.8,68.88,69.58,61.18,117137.0,774157642.0,13.64,11.82,7.28,32.73,688522
2023-03-10,71.0,77.2,82.6,69.11,112549.0,840113386.0,19.58,12.08,8.32,31.44,688522
2023-03-01,13.12,14.38,14.38,13.1,121674.0,84004715.0,9.76,9.6,1.26,2.46,603660
2023-03-02,15.77,15.77,15.77,15.77,70333.0,54578641.0,0.0,9.67,1.39,1.42,603660
2023-03-03,16.35,15.06,16.75,14.83,1063014.0,825311614.0,12.18,-4.5,-0.71,21.51,603660
2023-03-06,14.47,14.1,14.63,13.96,620178.0,432396105.0,4.45,-6.37,-0.96,12.55,603660
2023-03-07,13.98,13.63,14.1,13.63,328596.0,222604329.0,3.33,-3.33,-0.47,6.65,603660
2023-03-08,13.73,13.9,13.9,13.63,230009.0,155076820.0,1.98,1.98,0.27,4.65,603660
2023-03-09,13.87,13.67,13.89,13.55,199237.0,133360105.0,2.45,-1.65,-0.23,4.03,603660
2023-03-10,13.63,14.98,14.98,13.61,770255.0,552223038.0,10.02,9.58,1.31,15.59,603660
2023-03-01,30.7,31.07,31.12,30.6,9649.0,29813911.0,1.69,1.07,0.33,4.82,603163
2023-03-02,31.13,30.72,31.18,30.67,8780.0,27105085.0,1.64,-1.13,-0.35,4.39,603163
2023-03-03,31.33,33.11,33.7,31.33,67043.0,218100696.0,7.71,7.78,2.39,33.52,603163
2023-03-06,33.2,33.25,34.11,32.39,64493.0,214558439.0,5.19,0.42,0.14,32.25,603163
2023-03-07,33.1,32.34,33.44,32.12,34504.0,112847097.0,3.97,-2.74,-0.91,17.25,603163
2023-03-08,32.16,32.49,32.7,31.77,22535.0,72788750.0,2.88,0.46,0.15,11.27,603163
2023-03-09,32.7,32.66,32.86,32.0,27409.0,89268992.0,2.65,0.52,0.17,13.7,603163
2023-03-10,32.88,35.93,35.93,32.67,52984.0,182942044.0,9.98,10.01,3.27,26.49,603163
2023-03-01,39.2,41.41,41.88,38.96,61307.0,120687465.0,7.39,4.76,1.88,3.31,603516
2023-03-02,41.39,41.41,41.94,41.08,45500.0,91205060.0,2.08,0.0,0.0,2.46,603516
2023-03-03,41.04,40.22,41.88,39.94,54130.0,106042814.0,4.68,-2.87,-1.19,2.92,603516
2023-03-06,40.24,40.51,40.78,39.63,35758.0,69541817.0,2.86,0.72,0.29,1.93,603516
2023-03-07,40.04,39.41,40.55,39.2,38230.0,73757661.0,3.33,-2.72,-1.1,2.06,603516
2023-03-08,39.78,40.02,40.26,39.14,30776.0,59094367.0,2.84,1.55,0.61,1.66,603516
2023-03-09,40.39,41.55,41.76,39.63,46405.0,91657507.0,5.32,3.82,1.53,2.51,603516
2023-03-10,41.37,45.49,45.49,40.96,117156.0,250777491.0,10.9,9.48,3.94,6.33,603516
2023-03-01,67.79,67.9,68.11,67.09,59955.0,72916624.0,1.51,0.49,0.33,1.03,603108
2023-03-02,67.68,67.3,68.87,67.09,64114.0,78170698.0,2.62,-0.88,-0.6,1.11,603108
2023-03-03,66.98,67.03,68.22,66.82,44156.0,53537800.0,2.08,-0.4,-0.27,0.76,603108
2023-03-06,67.03,73.57,73.57,67.03,376206.0,490273697.0,9.76,9.76,6.54,6.49,603108
2023-03-07,73.84,73.14,77.24,72.38,467455.0,626879511.0,6.61,-0.58,-0.43,8.07,603108
2023-03-08,73.57,73.51,75.67,72.06,236330.0,314643386.0,4.94,0.51,0.37,4.08,603108
