date,code,open,high,low,close,preclose,volume,amount,pctChg
2021-01-04,sh.000001,3474.6793,3511.6554,3457.2061,3502.9584,3473.0693,38079080000,523367700848.6000,0.860596
2021-01-05,sh.000001,3492.1912,3528.6767,3484.7151,3528.6767,3502.9584,40799593400,568019462188.0000,0.734188
2021-01-06,sh.000001,3530.9072,3556.8022,3513.1262,3550.8767,3528.6767,37023092600,521799529791.8000,0.629131
2021-01-07,sh.000001,3552.9087,3576.2046,3526.6174,3576.2046,3550.8767,40534822600,545709628110.3000,0.713286
2021-01-08,sh.000001,3577.6923,3588.0625,3544.8912,3570.1082,3576.2046,34555789600,502170815613.8000,-0.170471
2021-01-11,sh.000001,3571.3212,3597.7022,3516.9862,3531.4978,3570.1082,36247915400,526895927277.3000,-1.081491
2021-01-12,sh.000001,3518.0106,3608.3389,3517.4689,3608.3389,3531.4978,32340615300,485771186330.7000,2.175878
2021-01-13,sh.000001,3613.2810,3622.3475,3575.5945,3598.6518,3608.3389,38812779100,554853439062.3000,-0.268464
2021-01-14,sh.000001,3584.9324,3599.0584,3559.6001,3565.9046,3598.6518,34766681900,511325103695.8000,-0.909985
2021-01-15,sh.000001,3566.2847,3589.2655,3533.7882,3566.3778,3565.9046,32461274400,480343780955.9000,0.013270
2021-01-18,sh.000001,3554.7977,3608.7665,3544.2614,3596.2237,3566.3778,30165256500,451740700449.5000,0.836869
2021-01-19,sh.000001,3596.3564,3603.1477,3553.0236,3566.3814,3596.2237,32343954100,467402582397.1000,-0.829823
2021-01-20,sh.000001,3564.1210,3589.9624,3556.4425,3583.0920,3566.3814,27227166100,397144766184.5000,0.468559
2021-01-21,sh.000001,3590.9247,3636.2444,3585.8017,3621.2641,3583.0920,32746699500,469855226645.9000,1.065340
2021-01-22,sh.000001,3616.5401,3616.5401,3585.0339,3606.7496,3621.2641,32446308400,485452192409.9000,-0.400813
2021-01-25,sh.000001,3605.3611,3637.1002,3591.0204,3624.2381,3606.7496,32734107000,527257347652.8000,0.484883
2021-01-26,sh.000001,3610.9686,3610.9686,3564.7415,3569.4290,3624.2381,27813988400,436326664645.8000,-1.512293
2021-01-27,sh.000001,3567.5485,3578.7968,3546.4920,3573.3412,3569.4290,26410716100,396270389618.8000,0.109603
2021-01-28,sh.000001,3534.6685,3549.5440,3496.8788,3505.1759,3573.3412,27086246100,391574388026.6000,-1.907607
2021-01-29,sh.000001,3521.7175,3531.5981,3446.5471,3483.0692,3505.1759,29366266400,416528620977.0000,-0.630687
2021-02-01,sh.000001,3477.1715,3506.3889,3469.8750,3505.2836,3483.0692,27756790100,371473066288.8000,0.637782
2021-02-02,sh.000001,3510.8084,3535.5020,3495.5681,3533.6849,3505.2836,26454063000,384127851092.3000,0.810243
2021-02-03,sh.000001,3531.1490,3544.0092,3508.5069,3517.3080,3533.6849,29735171600,413731471970.7000,-0.463451
2021-02-04,sh.000001,3503.7785,3524.7219,3465.7706,3501.8592,3517.3080,29883485400,418742552801.5000,-0.439222
2021-02-05,sh.000001,3509.4874,3536.5417,3492.9624,3496.3329,3501.8592,29014617400,397391919559.0000,-0.157810
2021-02-08,sh.000001,3504.5631,3542.2075,3492.1286,3532.4467,3496.3329,24979961900,359187319179.3000,1.032905
2021-02-09,sh.000001,3539.7726,3604.0112,3528.6755,3603.4890,3532.4467,25382176000,371567972460.7000,2.011136
2021-02-10,sh.000001,3612.6125,3662.7655,3612.5049,3655.0880,3603.4890,25794082400,392643389630.2000,1.431918
2021-02-18,sh.000001,3721.0865,3731.6870,3663.6637,3675.3571,3655.0880,34030906500,483546564601.1000,0.554545
2021-02-19,sh.000001,3661.7834,3699.6502,3634.0149,3696.1680,3675.3571,36105980400,484990205753.6000,0.566228
2021-02-22,sh.000001,3707.1912,3717.2669,3642.4449,3642.4449,3696.1680,48882147800,599323102080.9000,-1.453481
2021-02-23,sh.000001,3617.7013,3672.1511,3617.7013,3636.3573,3642.4449,39887317400,479631810240.2000,-0.167130
2021-02-24,sh.000001,3638.9359,3645.6474,3531.5936,3564.0799,3636.3573,36215895200,484430414619.7000,-1.987632
2021-02-25,sh.000001,3595.5424,3608.5568,3568.4735,3585.0458,3564.0799,36623229900,444735017112.4000,0.588256
2021-02-26,sh.000001,3514.5648,3550.4055,3500.7036,3509.0804,3585.0458,33328006700,424485913919.4000,-2.118952
2021-03-01,sh.000001,3531.4802,3552.5665,3511.9888,3551.3998,3509.0804,31548752600,402477044217.4000,1.205997
2021-03-02,sh.000001,3566.8520,3566.8520,3485.3635,3508.5912,3551.3998,33983048600,427680453057.6000,-1.205401
2021-03-03,sh.000001,3500.1576,3577.6218,3498.7192,3576.9045,3508.5912,34765684600,415490345736.0000,1.947029
2021-03-04,sh.000001,3546.6406,3552.2024,3487.3757,3503.4916,3576.9045,39361612000,462233734230.9000,-2.052414
2021-03-05,sh.000001,3463.3086,3523.5682,3456.6668,3501.9867,3503.4916,35640922300,408849901855.9000,-0.042954
2021-03-08,sh.000001,3524.9830,3542.3039,3421.2153,3421.4141,3501.9867,38704795400,453859203341.8000,-2.300768
2021-03-09,sh.000001,3415.3391,3429.1503,3328.3119,3359.2920,3421.4141,40765253900,456196190297.0000,-1.815685
2021-03-10,sh.000001,3389.8388,3397.0251,3354.8230,3357.7372,3359.2920,29974916600,339571691506.0000,-0.046284
2021-03-11,sh.000001,3369.9024,3436.8313,3369.9024,3436.8313,3357.7372,32211204400,369805365528.1000,2.355577
2021-03-12,sh.000001,3447.2033,3454.5064,3417.2389,3453.0777,3436.8313,35802703500,381964281221.5000,0.472715
2021-03-15,sh.000001,3441.8820,3457.4892,3392.5089,3419.9456,3453.0777,36781329300,381646491324.5000,-0.959495
2021-03-16,sh.000001,3424.6524,3448.8829,3406.1746,3446.7334,3419.9456,31666874700,332388484730.3000,0.783281
2021-03-17,sh.000001,3435.7319,3454.0562,3410.2815,3445.5509,3446.7334,28005981800,306630472148.0000,-0.034308
2021-03-18,sh.000001,3449.6413,3478.1447,3449.3774,3463.0681,3445.5509,28440389100,316529174115.7000,0.508401
2021-03-19,sh.000001,3423.8733,3439.5236,3389.2929,3404.6634,3463.0681,30916171600,339992292814.0000,-1.686502
2021-03-22,sh.000001,3406.1227,3443.6596,3404.2341,3443.4392,3404.6634,31255908400,332535035841.3000,1.138903
2021-03-23,sh.000001,3445.3408,3445.4159,3390.0477,3411.5088,3443.4392,32638940900,343477167707.1000,-0.927282
2021-03-24,sh.000001,3394.1283,3415.2949,3362.1847,3367.0606,3411.5088,31739869700,344800038245.8000,-1.302890
2021-03-25,sh.000001,3355.0706,3382.2260,3344.9695,3363.5915,3367.0606,27067609700,290223442604.1000,-0.103031
2021-03-26,sh.000001,3373.3171,3423.2231,3373.3171,3418.3267,3363.5915,27461498700,322408619946.0000,1.627284
2021-03-29,sh.000001,3429.6322,3449.8338,3409.8868,3435.2958,3418.3267,28482424300,327944119662.4000,0.496415
2021-03-30,sh.000001,3432.5288,3457.6345,3423.3154,3456.6766,3435.2958,28542308100,331625651218.5000,0.622386
2021-03-31,sh.000001,3452.2078,3452.2078,3420.8321,3441.9115,3456.6766,28304926100,314174120171.9000,-0.427147
2021-04-01,sh.000001,3444.8102,3470.0311,3438.8255,3466.3315,3441.9115,27524429500,292651912290.5000,0.709489
