日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-5<-3%,-1<3%,平盘,1<3%,3-5%,5%-涨停,涨停
2023-03-01,IT服务,120,7,94.48818897637796,4.119685039370079,1235165327823.08,12351.65,0,0,0,6,1,41,45,29,4
2023-03-01,LED,30,7,81.08108108108108,1.1228205128205129,294100079816.25,2941.00,0,0,0,5,5,27,1,1,0
2023-03-01,专业工程,31,3,91.17647058823529,1.3435294117647059,372546386031.71,3725.46,0,0,0,3,1,28,1,1,0
2023-03-01,专业服务,20,6,76.92307692307693,0.5855555555555555,184835370660.04,1848.35,0,0,0,6,4,14,3,0,0
2023-03-01,专业连锁,6,1,85.71428571428571,0.7924999999999999,64187363801.88,641.87,0,1,0,0,1,5,0,1,0
2023-03-01,个护用品,4,8,33.33333333333333,-0.18076923076923074,68664880403.26,686.65,0,0,0,8,1,4,0,0,0
2023-03-01,中药,38,27,58.46153846153847,0.25652777777777774,1086375745684.85,10863.76,0,0,1,26,8,35,1,1,0
2023-03-01,乘用车,8,1,88.88888888888889,1.413333333333333,922531740306.46,9225.32,0,0,0,1,0,7,1,0,0
2023-03-01,乳品,9,9,50.0,0.03833333333333332,309687843163.82,3096.88,0,0,1,7,2,8,0,0,0
2023-03-01,互联网电商,14,2,87.5,1.1666666666666667,136754971003.01001,1367.55,0,0,0,2,2,14,0,0,0
2023-03-01,产业地产,8,0,100.0,0.647,87165138819.69,871.65,0,0,0,0,2,8,0,0,0
2023-03-01,人工景点,2,2,50.0,-0.10199999999999998,55478087046.05,554.78,0,0,0,2,1,2,0,0,0
2023-03-01,仪器仪表,38,11,77.55102040816327,0.8471428571428571,224498706057.31,2244.99,0,0,0,11,1,34,3,0,0
2023-03-01,休闲食品,12,7,63.1578947368421,0.5109523809523809,231651778302.92,2316.52,0,0,0,7,2,11,0,1,0
2023-03-01,住宅开发,62,11,84.93150684931507,0.5998837209302326,1036068228387.0499,10360.68,0,0,0,11,14,58,2,1,0
2023-03-01,体外诊断,17,20,45.94594594594595,-0.37157894736842106,341496927688.02997,3414.97,0,1,4,13,6,12,1,1,0
2023-03-01,体育,2,1,66.66666666666666,0.66,12804529810.22,128.05,0,0,0,1,0,2,0,0,0
2023-03-01,保险,6,0,100.0,2.706666666666667,1782138192109.88,17821.38,0,0,0,0,0,2,4,0,0
2023-03-01,光伏设备,14,41,25.454545454545453,-1.5826315789473684,2441222474894.57,24412.22,0,4,8,28,4,13,0,0,0
2023-03-01,光学元件,14,3,82.35294117647058,1.9576470588235295,118037883639.07,1180.38,0,0,1,2,0,9,4,1,0
2023-03-01,公交,6,1,85.71428571428571,0.9071428571428571,24776255252.82,247.76,0,0,0,1,0,6,0,0,0
2023-03-01,其他专用设备,50,23,68.4931506849315,0.5369333333333333,444460363910.66,4444.60,0,0,2,21,3,46,2,0,1
2023-03-01,其他交运设备,8,6,57.14285714285714,0.47285714285714286,126634056287.81,1266.34,0,0,1,5,0,7,0,1,0
2023-03-01,其他传媒,20,4,83.33333333333334,1.7031999999999998,148619582870.13,1486.20,0,0,1,3,1,13,5,2,0
2023-03-01,其他农产品加工,7,4,63.63636363636363,0.5675,80340713842.03,803.41,0,0,0,3,2,6,1,0,0
2023-03-01,其他化学制品,45,21,68.18181818181817,0.3238235294117647,477783910553.56,4777.84,0,1,0,20,5,40,1,1,0
