日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,IT服务,3,0,100.0,4.403333333333333,206651904328.32,2066.52,0,0,0,0,0,0,2,1,0
2023-03-01,LED,1,0,100.0,0.16,86272113592.08,862.72,0,0,0,0,0,1,0,0,0
2023-03-01,专业工程,2,0,100.0,2.025,112718849409.6,1127.19,0,0,0,0,0,2,0,0,0
2023-03-01,专用设备,2,0,100.0,1.475,176463970208.66998,1764.64,0,0,0,0,0,2,0,0,0
2023-03-01,中药,2,0,100.0,1.3933333333333333,169739820064.48,1697.40,0,0,0,0,1,2,0,0,0
2023-03-01,乘用车,3,0,100.0,1.97,205452410100.76,2054.52,0,0,0,0,0,2,1,0,0
2023-03-01,传媒,3,0,100.0,3.8699999999999997,213474567621.05002,2134.75,0,0,0,0,0,0,3,0,0
2023-03-01,保险,1,0,100.0,3.37,67192855534.799995,671.93,0,0,0,0,0,0,1,0,0
2023-03-01,保险及其他,2,0,100.0,2.11,142413226054.85,1424.13,0,0,0,0,0,1,1,0,0
2023-03-01,光伏设备,0,5,0.0,-1.5879999999999999,353762616489.64,3537.63,0,0,0,5,0,0,0,0,0
2023-03-01,光学光电子,2,0,100.0,0.53,149129391638.16,1491.29,0,0,0,0,0,2,0,0,0
2023-03-01,公路铁路运输,1,0,100.0,2.29,52329737851.93,523.30,0,0,0,0,0,1,0,0,0
2023-03-01,其他传媒,1,0,100.0,4.73,51033057105.810005,510.33,0,0,0,0,0,0,1,0,0
2023-03-01,其他家用轻工,0,1,0.0,-0.4,97536980145.0,975.37,0,0,0,1,0,0,0,0,0
2023-03-01,其他建材,2,0,100.0,4.235,143586806293.72998,1435.87,0,0,0,0,0,0,2,0,0
2023-03-01,其他生物制品,0,1,0.0,-0.38,79547772999.5,795.48,0,0,0,1,0,0,0,0,0
2023-03-01,其他电源设备,0,1,0.0,-0.76,53860731178.979996,538.61,0,0,0,1,0,0,0,0,0
2023-03-01,其他白色家电,0,2,0.0,-2.2600000000000002,167123966294.64,1671.24,0,0,1,1,0,0,0,0,0
2023-03-01,其他纺织,1,0,100.0,0.83,67744350000.0,677.44,0,0,0,0,0,1,0,0,0
2023-03-01,军工电子,1,1,50.0,-0.06,147007648336.41998,1470.08,0,0,0,1,0,1,0,0,0
2023-03-01,农产品加工,1,0,100.0,0.38,60132731321.25,601.33,0,0,0,0,0,1,0,0,0
