,日期,开盘价,最高价,最低价,收盘价,成交量,成交额,板块名称,板块code
0,2023-03-02,2282.723,2302.163,2274.415,2287.539,732906900,7943105900.0,煤炭开采加工,881105
1,2023-03-03,2285.136,2293.155,2271.406,2287.009,564822220,6605318500.0,煤炭开采加工,881105
2,2023-03-06,2287.998,2296.084,2244.618,2247.796,846282380,9853242600.0,煤炭开采加工,881105
3,2023-03-07,2254.192,2285.487,2244.294,2245.959,891300600,11008194600.0,煤炭开采加工,881105
4,2023-03-08,2237.908,2246.035,2224.522,2241.571,524586180,5909952400.0,煤炭开采加工,881105
5,2023-03-09,2244.041,2264.812,2227.79,2233.696,526514700,6032647200.0,煤炭开采加工,881105
6,2023-03-10,2232.552,2232.636,2184.374,2186.32,608868360,6493525900.0,煤炭开采加工,881105
7,2023-03-02,4118.263,4119.495,4089.944,4092.901,372746760,3688573700.0,农产品加工,881103
8,2023-03-03,4092.426,4099.998,4070.758,4099.998,408521760,4029594200.0,农产品加工,881103
9,2023-03-06,4109.642,4142.022,4093.664,4133.051,583231290,5785000900.0,农产品加工,881103
10,2023-03-07,4135.53,4138.42,4049.436,4049.436,586011510,5673194100.0,农产品加工,881103
11,2023-03-08,4054.705,4071.231,4042.774,4062.135,360653120,3565894900.0,农产品加工,881103
12,2023-03-09,4073.313,4078.589,4033.44,4043.373,572820410,4095217100.0,农产品加工,881103
13,2023-03-10,4041.439,4045.278,4003.906,4010.218,592104630,4580471700.0,农产品加工,881103
14,2023-03-02,2783.833,2783.833,2762.865,2773.666,315962680,3698000900.0,养殖业,881102
15,2023-03-03,2774.423,2791.968,2753.427,2776.467,287160910,3625487200.0,养殖业,881102
16,2023-03-06,2778.219,2841.897,2765.923,2823.576,466869480,6520529200.0,养殖业,881102
17,2023-03-07,2825.967,2831.595,2780.921,2782.564,435594920,5882350800.0,养殖业,881102
18,2023-03-08,2775.03,2781.983,2753.024,2779.408,290323180,4225406800.0,养殖业,881102
19,2023-03-09,2784.608,2793.595,2739.519,2747.1,296774010,4022472800.0,养殖业,881102
20,2023-03-10,2735.946,2736.332,2697.751,2702.469,306520600,4308146100.0,养殖业,881102
21,2023-03-02,3580.179,3593.592,3552.554,3557.616,254783810,2348526000.0,种植业与林业,881101
22,2023-03-03,3561.247,3567.048,3540.754,3566.001,249631420,2191626100.0,种植业与林业,881101
23,2023-03-06,3570.961,3631.672,3566.931,3629.137,407865000,4038499600.0,种植业与林业,881101
24,2023-03-07,3628.544,3634.518,3571.235,3571.235,354466690,3465340900.0,种植业与林业,881101
25,2023-03-08,3560.461,3595.742,3548.242,3592.393,222864960,2308194400.0,种植业与林业,881101
26,2023-03-09,3590.348,3591.108,3532.554,3547.57,219105410,2190675900.0,种植业与林业,881101
27,2023-03-10,3532.02,3547.084,3497.497,3522.921,230024970,2253965400.0,种植业与林业,881101
28,2023-03-02,1135.026,1144.538,1135.026,1140.438,554407080,4273408100.0,油气开采及服务,881107
29,2023-03-03,1141.756,1150.501,1136.458,1149.509,628780340,4662805100.0,油气开采及服务,881107
30,2023-03-06,1154.59,1157.335,1144.544,1146.553,567120470,3930222300.0,油气开采及服务,881107
31,2023-03-07,1148.505,1184.003,1148.164,1157.612,1251764480,8127993500.0,油气开采及服务,881107
32,2023-03-08,1146.16,1146.16,1131.364,1140.932,750641410,4802533500.0,油气开采及服务,881107
33,2023-03-09,1140.901,1144.634,1127.446,1133.924,539219870,3469629300.0,油气开采及服务,881107
34,2023-03-10,1129.231,1130.384,1108.378,1109.067,526873300,3411986400.0,油气开采及服务,881107
35,2023-03-02,8649.246,8653.485,8550.307,8569.354,71574729,1024205970.0,农业服务,881104
36,2023-03-03,8578.206,8595.846,8459.625,8482.119,77588535,1063318430.0,农业服务,881104
37,2023-03-06,8502.51,8536.727,8462.182,8514.143,66525870,937894090.0,农业服务,881104
38,2023-03-07,8530.009,8532.649,8301.012,8307.59,121458696,1409388300.0,农业服务,881104
39,2023-03-08,8285.013,8345.379,8281.153,8327.148,68511297,877995390.0,农业服务,881104
40,2023-03-09,8344.486,8395.008,8318.647,8342.193,68740426,843082650.0,农业服务,881104
41,2023-03-10,8320.991,8320.991,8257.864,8269.608,59965799,761574200.0,农业服务,881104
42,2023-03-02,2983.154,2989.773,2972.431,2973.873,745132680,6705423000.0,化学原料,881108
43,2023-03-03,2979.913,2979.913,2956.23,2969.946,680776930,6278977500.0,化学原料,881108
44,2023-03-06,2972.565,2975.921,2943.079,2958.048,719420220,6367708100.0,化学原料,881108
45,2023-03-07,2959.059,2969.331,2905.662,2905.662,730586560,6556207800.0,化学原料,881108
46,2023-03-08,2897.357,2910.64,2893.069,2910.64,446966340,4102257500.0,化学原料,881108
47,2023-03-09,2913.281,2915.75,2895.548,2906.168,393541820,3535486400.0,化学原料,881108
48,2023-03-10,2895.145,2895.145,2860.765,2864.098,599729070,5257337400.0,化学原料,881108
49,2023-03-02,1525.566,1536.245,1517.546,1530.148,1473935600,6857136600.0,钢铁,881112
50,2023-03-03,1531.196,1541.477,1524.877,1539.308,1411463800,6506575900.0,钢铁,881112
51,2023-03-06,1538.8,1540.753,1519.984,1522.569,1296087270,6452939500.0,钢铁,881112
52,2023-03-07,1521.614,1530.777,1501.971,1503.803,1390653200,6259540900.0,钢铁,881112
53,2023-03-08,1503.492,1519.26,1499.534,1513.94,1182475300,5323469900.0,钢铁,881112
54,2023-03-09,1518.111,1524.16,1509.759,1515.095,1028875120,4685850200.0,钢铁,881112
55,2023-03-10,1510.703,1511.433,1485.427,1485.604,1334174630,5998788600.0,钢铁,881112
56,2023-03-02,6091.05,6103.611,6043.807,6048.042,1385989100,23402942000.0,化学制品,881109
57,2023-03-03,6053.282,6055.953,6007.776,6034.916,1218060670,19383706000.0,化学制品,881109
58,2023-03-06,6044.095,6044.095,5987.815,6033.565,1341462680,21520561000.0,化学制品,881109
59,2023-03-07,6032.802,6032.802,5915.042,5915.042,1526985600,21795002000.0,化学制品,881109
60,2023-03-08,5905.664,5956.617,5894.733,5956.617,1087064860,16575564000.0,化学制品,881109
61,2023-03-09,5962.578,5993.42,5957.439,5983.669,1216742850,18771643000.0,化学制品,881109
62,2023-03-10,5959.63,5961.273,5885.985,5889.34,1256979480,18940163000.0,化学制品,881109
63,2023-03-02,4252.877,4265.945,4222.152,4224.224,723726990,7672918000.0,化工合成材料,881110
64,2023-03-03,4230.754,4239.705,4190.694,4211.762,627237490,6671864400.0,化工合成材料,881110
65,2023-03-06,4216.076,4218.032,4178.501,4207.091,705642050,8118696900.0,化工合成材料,881110
66,2023-03-07,4211.277,4211.277,4114.802,4114.802,688276260,7440631600.0,化工合成材料,881110
67,2023-03-08,4108.728,4156.183,4105.637,4156.183,509116740,5851625200.0,化工合成材料,881110
68,2023-03-09,4169.756,4210.154,4167.391,4206.396,611920590,7391310700.0,化工合成材料,881110
69,2023-03-10,4190.431,4199.517,4144.792,4145.459,710449180,8798439500.0,化工合成材料,881110
70,2023-03-02,8551.27,8551.27,8361.327,8396.324,453264030,7183236600.0,金属新材料,881114
71,2023-03-03,8377.215,8391.737,8267.343,8329.668,232603120,3654031500.0,金属新材料,881114
72,2023-03-06,8348.058,8442.319,8305.679,8432.788,232029980,3779255200.0,金属新材料,881114
73,2023-03-07,8432.428,8432.428,8262.186,8262.186,210914660,3254288900.0,金属新材料,881114
74,2023-03-08,8223.678,8279.189,8189.606,8237.6,152610470,2378447000.0,金属新材料,881114
75,2023-03-09,8284.472,8313.985,8203.606,8238.502,211827090,2774560800.0,金属新材料,881114
76,2023-03-10,8177.665,8191.156,8082.546,8090.072,172293350,2168084300.0,金属新材料,881114
77,2023-03-02,4742.85,4804.625,4731.31,4765.031,1091305100,12407554100.0,建筑材料,881115
78,2023-03-03,4765.77,4790.868,4746.433,4772.443,923553700,10020544000.0,建筑材料,881115
79,2023-03-06,4783.277,4783.277,4708.53,4728.78,960492860,11720587600.0,建筑材料,881115
80,2023-03-07,4735.115,4772.117,4673.67,4673.67,959503710,10577564200.0,建筑材料,881115
81,2023-03-08,4662.325,4682.604,4646.468,4682.604,757860360,8993650600.0,建筑材料,881115
82,2023-03-09,4685.498,4685.498,4641.399,4669.683,742875940,8698459400.0,建筑材料,881115
83,2023-03-10,4646.326,4646.326,4569.879,4569.879,762434290,9484225600.0,建筑材料,881115
84,2023-03-02,3265.278,3302.585,3260.502,3281.516,4723803000,33426559000.0,建筑装饰,881116
85,2023-03-03,3285.771,3324.681,3277.142,3321.83,5182842000,35777827000.0,建筑装饰,881116
86,2023-03-06,3332.991,3336.533,3297.451,3304.299,4170253500,29748419000.0,建筑装饰,881116
87,2023-03-07,3308.173,3356.193,3296.417,3297.948,4959593000,35980277000.0,建筑装饰,881116
88,2023-03-08,3285.392,3335.676,3282.608,3335.676,3016712000,23988452000.0,建筑装饰,881116
89,2023-03-09,3337.432,3382.329,3314.971,3378.825,2934096400,23930374000.0,建筑装饰,881116
90,2023-03-10,3364.642,3365.091,3314.297,3316.045,2883472500,23604625000.0,建筑装饰,881116
91,2023-03-02,5308.382,5308.382,5223.203,5228.065,3508612000,81539101000.0,电力设备,881120
92,2023-03-03,5228.96,5249.879,5191.589,5215.853,2799988600,59148584000.0,电力设备,881120
93,2023-03-06,5221.59,5270.917,5160.727,5262.201,3690124600,98278270000.0,电力设备,881120
94,2023-03-07,5256.922,5256.922,5167.24,5167.24,3543485700,77467318000.0,电力设备,881120
95,2023-03-08,5155.036,5221.373,5149.761,5175.716,2699994100,65267176000.0,电力设备,881120
96,2023-03-09,5184.127,5194.549,5151.15,5167.033,2815633400,62507980000.0,电力设备,881120
97,2023-03-10,5136.246,5146.275,5081.009,5098.766,3036921400,70483590000.0,电力设备,881120
98,2023-03-02,4821.591,4854.51,4786.928,4789.489,1336928720,15414294000.0,通用设备,881117
99,2023-03-03,4784.234,4798.125,4745.625,4775.432,1221306740,13865480000.0,通用设备,881117
100,2023-03-06,4780.525,4800.063,4757.471,4793.197,1189216010,14680492000.0,通用设备,881117
101,2023-03-07,4791.709,4791.879,4665.277,4665.277,1167400120,13073483000.0,通用设备,881117
102,2023-03-08,4659.761,4707.277,4659.158,4707.277,756337750,8957636300.0,通用设备,881117
103,2023-03-09,4717.062,4730.101,4683.941,4719.345,912675230,10372956500.0,通用设备,881117
104,2023-03-10,4696.901,4712.184,4650.335,4656.898,940101630,10944833100.0,通用设备,881117
105,2023-03-02,4630.673,4647.635,4604.985,4609.911,1890622200,19878908000.0,专用设备,881118
106,2023-03-03,4607.992,4631.041,4587.214,4612.57,1664518400,17267926000.0,专用设备,881118
107,2023-03-06,4622.655,4642.321,4601.789,4636.88,2044259500,22421344000.0,专用设备,881118
108,2023-03-07,4633.92,4634.213,4537.699,4537.83,2036055300,19924860000.0,专用设备,881118
109,2023-03-08,4527.281,4574.707,4526.243,4574.707,1426028600,14772310000.0,专用设备,881118
110,2023-03-09,4577.811,4588.903,4552.869,4582.301,1443862400,15742999000.0,专用设备,881118
