日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,专业服务,21,10,1,65.625,0.4925,238093584583.4,2380.94,0,0,0,10,3,16,3,0,0,False,True,-1,0
2023-03-01,专用设备,159,71,7,67.08860759493672,0.6082700421940929,1703625448487.49,17036.25,0,0,3,63,16,142,8,4,1,False,True,-1,0
2023-03-01,中药,40,24,7,56.33802816901409,0.29239436619718306,1098263902301.32,10982.64,0,0,1,23,8,37,1,1,0,False,True,-1,0
2023-03-01,互联网服务,131,10,0,92.90780141843972,4.01645390070922,1623630527053.62,16236.31,0,0,0,9,1,49,46,27,8,False,True,-1,0
2023-03-01,交运设备,37,7,0,84.0909090909091,1.154090909090909,584295712361.51,5842.96,0,0,1,6,0,30,5,2,0,False,True,-1,0
2023-03-01,仪器仪表,46,13,2,75.40983606557377,0.9947540983606558,326671180372.14,3266.71,0,0,0,13,3,40,4,1,0,False,True,-1,0
2023-03-01,保险,6,0,0,100.0,2.706666666666667,2589467453537.96,25894.67,0,0,0,0,0,2,4,0,0,False,True,-1,0
2023-03-01,光伏设备,14,32,2,29.166666666666668,-1.6414583333333335,2203366562083.1,22033.67,0,4,8,19,3,14,0,0,0,True,False,0,-1
2023-03-01,光学光电子,81,15,1,83.50515463917526,1.3835051546391752,957689603785.01,9576.90,0,0,2,11,4,67,9,4,0,False,True,-1,0
2023-03-01,公用事业,12,3,5,60.0,0.26149999999999995,157792704427.93,1577.93,0,0,0,3,6,11,0,0,0,False,True,-1,0
2023-03-01,农牧饲渔,45,30,2,58.44155844155844,0.29064935064935066,1121115000964.21,11211.15,0,0,1,27,6,40,2,1,0,False,True,-1,0
2023-03-01,农药兽药,18,23,4,40.0,-0.23199999999999998,389314118841.5,3893.14,0,0,2,20,5,18,0,0,0,True,False,0,-1
2023-03-01,包装材料,23,7,0,76.66666666666667,0.5596666666666666,151310033158.58,1513.10,0,0,0,6,1,23,0,0,0,False,True,-1,0
2023-03-01,化学制品,96,44,5,66.20689655172414,0.3409655172413793,1641582994912.68,16415.83,0,1,0,41,11,89,3,0,0,False,True,-1,0
2023-03-01,化学制药,48,81,4,36.09022556390977,-0.3197744360902256,1787633135487.92,17876.33,0,2,4,74,6,42,4,1,0,True,False,0,-1
2023-03-01,化学原料,56,15,3,75.67567567567568,0.42986486486486486,1004099760030.88,10041.00,0,0,1,14,5,53,1,0,0,False,True,-1,0
2023-03-01,化纤行业,21,6,1,75.0,0.6885714285714286,690095772521.94,6900.96,0,0,0,6,1,20,1,0,0,False,True,-1,0
2023-03-01,化肥行业,15,9,0,62.5,-0.03875000000000001,456766273976.15,4567.66,0,0,1,8,0,15,0,0,0,True,False,0,-1
2023-03-01,医疗器械,48,66,3,41.02564102564102,-0.38119658119658123,1850105207494.0,18501.05,0,1,7,54,14,37,3,0,1,True,False,0,-1
2023-03-01,医疗服务,14,26,1,34.146341463414636,-0.10121951219512194,1109878733985.07,11098.79,0,0,1,23,3,13,0,0,1,True,False,0,-1
2023-03-01,医药商业,10,17,4,32.25806451612903,1.4564516129032257,422808419310.6,4228.08,0,0,1,15,5,8,1,0,0,False,True,-1,0
2023-03-01,半导体,111,23,0,82.83582089552239,1.260820895522388,3112052344318.31,31120.52,0,1,2,18,2,94,13,3,1,False,True,-1,0
2023-03-01,商业百货,41,20,4,63.07692307692307,0.3343076923076923,544316713664.87,5443.17,0,1,1,17,5,39,0,2,0,False,True,-1,0
2023-03-01,塑料制品,61,16,3,76.25,0.8089999999999999,402195111460.98,4021.95,0,0,0,16,3,57,3,0,1,False,True,-1,0
2023-03-01,多元金融,16,5,4,64.0,-0.09399999999999999,394496286586.65,3944.96,0,1,0,4,5,15,0,0,0,True,False,0,-1
2023-03-01,家用轻工,17,9,1,62.96296296296296,0.6766666666666666,182481159525.52002,1824.81,0,0,0,9,1,15,1,1,0,False,True,-1,0
2023-03-01,家电行业,63,22,3,71.5909090909091,0.9212500000000001,1832507502654.62,18325.08,0,0,1,20,5,54,5,3,0,False,True,-1,0
2023-03-01,小金属,26,10,2,68.42105263157895,0.6413157894736843,749165878735.3301,7491.66,0,0,1,8,5,21,3,0,0,False,True,-1,0
2023-03-01,工程咨询服务,32,5,1,84.21052631578947,1.7747368421052632,130154674391.79,1301.55,0,0,0,5,1,26,3,2,1,False,True,-1,0
2023-03-01,工程建设,66,5,2,90.41095890410958,1.3053424657534245,1586942067285.76,15869.42,0,0,1,4,4,57,5,1,1,False,True,-1,0
2023-03-01,工程机械,18,12,1,58.06451612903226,0.8570967741935483,567650128857.1,5676.50,0,0,0,12,1,15,1,2,0,False,True,-1,0
2023-03-01,房地产开发,74,13,15,72.54901960784314,0.581078431372549,1490574490065.53,14905.74,0,0,0,13,16,71,1,1,0,False,True,-1,0
2023-03-01,房地产服务,12,3,2,70.58823529411765,0.48117647058823526,99039371541.0,990.39,0,0,0,3,2,12,0,0,0,False,True,-1,0
2023-03-01,教育,15,3,1,78.94736842105263,1.3610526315789473,97811144530.67,978.11,0,0,1,2,1,12,2,1,0,False,True,-1,0
2023-03-01,文化传媒,102,7,2,91.8918918918919,2.673873873873874,984269820577.73,9842.70,0,0,0,7,2,60,30,11,1,False,True,-1,0
2023-03-01,旅游酒店,15,15,1,48.38709677419355,0.2032258064516129,689356795560.32,6893.57,0,0,0,13,3,14,1,0,0,False,True,-1,0
2023-03-01,有色金属,52,22,1,69.33333333333334,0.6526666666666667,1051977484194.22,10519.77,0,0,0,22,2,45,5,1,0,False,True,-1,0
2023-03-01,橡胶制品,18,11,0,62.06896551724138,0.3796551724137931,262644317358.81,2626.44,0,0,0,11,0,18,0,0,0,False,True,-1,0
2023-03-01,水泥建材,27,4,1,84.375,1.1490624999999999,526581535161.36,5265.82,0,0,0,3,4,24,0,0,1,False,True,-1,0
2023-03-01,汽车整车,17,4,2,73.91304347826086,0.9452173913043478,1860483857099.3398,18604.84,0,0,0,3,4,14,1,1,0,False,True,-1,0
2023-03-01,汽车服务,7,3,5,46.666666666666664,0.31533333333333335,116626816113.2,1166.27,0,0,0,3,5,7,0,0,0,False,True,-1,0
2023-03-01,汽车零部件,115,65,13,59.58549222797927,0.2737305699481865,1534365067828.81,15343.65,0,0,2,61,18,103,9,0,0,False,True,-1,0
2023-03-01,消费电子,82,6,3,90.10989010989012,1.6620879120879122,1362748231890.12,13627.48,0,0,0,6,4,67,9,4,1,False,True,-1,0
2023-03-01,游戏,29,0,0,100.0,3.2968965517241378,330949235519.68,3309.49,0,0,0,0,0,15,8,6,0,False,True,-1,0
2023-03-01,煤炭行业,25,8,1,73.52941176470588,0.16411764705882353,1612707718160.41,16127.08,0,1,0,7,1,25,0,0,0,False,True,-1,0
2023-03-01,燃气,22,8,2,68.75,0.473125,298924389275.93,2989.24,0,0,0,8,2,21,1,0,0,False,True,-1,0
2023-03-01,物流行业,42,11,2,76.36363636363637,0.7094545454545456,1179391944858.6401,11793.92,0,0,0,11,3,38,2,1,0,False,True,-1,0
