日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,2025规划,25,9,0,73.52941176470588,0.9620588235294117,174518321183.66,1745.18,0,0,0,9,0,23,1,1,0
2023-03-01,3D打印,30,6,1,81.08108108108108,1.0627027027027027,162431796443.45,1624.32,0,0,0,6,1,27,2,1,0
2023-03-01,3D摄像头,2,0,1,66.66666666666666,0.82,17532626502.29,175.33,0,0,0,0,1,2,0,0,0
2023-03-01,3D玻璃,9,1,1,81.81818181818183,1.1363636363636362,60565214348.32,605.65,0,0,1,0,1,7,1,1,0
2023-03-01,5G概念,166,21,3,87.36842105263159,2.298052631578947,959897135315.01,9598.97,0,0,1,20,5,110,32,17,5
2023-03-01,6G概念,8,2,0,80.0,2.355,66576658819.18001,665.77,0,0,0,2,0,3,4,1,0
2023-03-01,AB股,24,12,2,63.1578947368421,0.2794736842105263,232524392377.34,2325.24,0,0,0,12,2,23,1,0,0
2023-03-01,AH股,7,1,0,87.5,0.51375,58432890822.18,584.33,0,0,0,1,0,7,0,0,0
2023-03-01,AIGC概念,15,0,0,100.0,4.968666666666667,90595663631.86,905.96,0,0,0,0,0,3,6,5,1
2023-03-01,AI芯片,6,0,0,100.0,3.378333333333334,29146957741.67,291.47,0,0,0,0,0,3,2,1,0
2023-03-01,C2M概念,12,14,2,42.857142857142854,0.44642857142857145,121227944861.13,1212.28,0,0,0,14,2,10,1,1,0
2023-03-01,CAR-T细胞疗法,5,11,0,31.25,-0.625,84482390176.97,844.82,0,0,1,10,0,5,0,0,0
2023-03-01,CPO概念,3,0,0,100.0,4.46,16195356200.580002,161.95,0,0,0,0,0,1,1,1,0
2023-03-01,CRO,4,11,1,25.0,-0.46375,88339881089.69,883.40,0,0,0,11,1,4,0,0,0
2023-03-01,ChatGPT概念,31,0,0,100.0,4.143225806451613,185324655285.85,1853.25,0,0,0,0,0,12,10,7,2
2023-03-01,Chiplet概念,7,0,0,100.0,1.22,30173459518.63,301.73,0,0,0,0,0,7,0,0,0
2023-03-01,DRG/DIP,7,0,0,100.0,4.168571428571428,36586930608.18,365.87,0,0,0,0,0,3,3,0,1
