日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,2025规划,2,1,0,66.66666666666666,3.2266666666666666,247639931769.08002,2476.40,0,0,0,1,0,1,0,1,0,False,True,-1,0
2023-03-01,3D打印,0,0,1,0.0,0.0,54811971411.119995,548.12,0,0,0,0,1,0,0,0,0,False,False,0,0
2023-03-01,3D玻璃,1,0,0,100.0,1.25,64207626774.18,642.08,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,5G概念,6,0,1,85.71428571428571,1.534285714285714,513220324262.5,5132.20,0,0,0,0,1,5,0,1,0,False,True,-1,0
2023-03-01,6G概念,0,0,1,0.0,0.0,54811971411.119995,548.12,0,0,0,0,1,0,0,0,0,False,False,0,0
2023-03-01,AB股,1,0,1,50.0,0.725,144661753800.35,1446.62,0,0,0,0,1,1,0,0,0,False,True,-1,0
2023-03-01,AH股,19,4,3,73.07692307692307,0.9880769230769231,1887016541536.49,18870.17,0,0,0,4,3,17,2,0,0,False,True,-1,0
2023-03-01,AI芯片,3,1,0,75.0,0.49,296149977997.36,2961.50,0,0,0,1,0,3,0,0,0,False,True,-1,0
2023-03-01,C2M概念,1,0,0,100.0,0.43,66689175196.85,666.89,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,CAR-T细胞疗法,1,0,0,100.0,0.8,90773160075.67,907.73,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,CPO概念,1,0,1,50.0,3.13,132005527210.37999,1320.06,0,0,0,0,1,0,0,1,0,False,True,-1,0
2023-03-01,CRO,2,1,0,66.66666666666666,0.1233333333333333,224700152130.97998,2247.00,0,0,0,1,0,2,0,0,0,False,True,-1,0
2023-03-01,ChatGPT概念,2,0,0,100.0,5.2,148073193758.07,1480.73,0,0,0,0,0,0,1,1,0,False,True,-1,0
2023-03-01,Chiplet概念,2,0,0,100.0,2.22,123991171231.99,1239.91,0,0,0,0,0,1,1,0,0,False,True,-1,0
2023-03-01,EDA概念,2,0,0,100.0,1.5350000000000001,148592890370.88,1485.93,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,EDR概念,1,0,0,100.0,4.82,80814057758.07,808.14,0,0,0,0,0,0,1,0,0,False,True,-1,0
2023-03-01,ERP概念,1,0,0,100.0,10.01,87929502971.95999,879.30,0,0,0,0,0,0,0,0,1,False,True,-1,0
2023-03-01,ETC,1,0,0,100.0,1.28,95428032448.31999,954.28,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,GDR,2,1,0,66.66666666666666,0.1466666666666667,191199330239.58002,1911.99,0,0,0,1,1,1,0,0,0,False,True,-1,0
2023-03-01,HIT电池,1,1,0,50.0,-0.565,120861287136.36,1208.61,0,0,0,1,1,0,0,0,0,True,False,0,-1
2023-03-01,HS300_,85,24,2,76.57657657657657,1.2695495495495497,8052088816991.39,80520.89,0,0,1,23,4,65,12,5,1,False,True,-1,0
2023-03-01,IGBT概念,5,1,0,83.33333333333334,1.0616666666666668,414341014178.47,4143.41,0,0,0,1,0,4,1,0,0,False,True,-1,0
2023-03-01,IPO受益,4,0,1,80.0,1.4040000000000001,358391360840.87,3583.91,0,0,0,0,1,3,1,0,0,False,True,-1,0
2023-03-01,IPv6,1,0,0,100.0,6.26,77193555799.26,771.94,0,0,0,0,0,0,0,1,0,False,True,-1,0
2023-03-01,LED,3,2,0,60.0,-0.019999999999999973,380215009113.84,3802.15,0,0,0,2,0,3,0,0,0,True,False,0,-1
2023-03-01,MLCC,1,0,0,100.0,0.82,61557895556.52,615.58,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,MSCI中国,73,24,7,70.1923076923077,0.8961538461538462,7284811313258.17,72848.11,0,0,1,23,8,61,7,3,1,False,True,-1,0
2023-03-01,MicroLED,2,0,0,100.0,0.53,172570575081.38,1725.71,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,MiniLED,3,0,0,100.0,0.8333333333333334,239535920372.98,2395.36,0,0,0,0,0,3,0,0,0,False,True,-1,0
2023-03-01,OLED,2,2,1,40.0,0.02400000000000002,314275761656.16003,3142.76,0,0,0,2,1,2,0,0,0,False,True,-1,0
2023-03-01,PCB,1,0,0,100.0,1.44,66965345291.600006,669.65,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,PPP模式,2,0,0,100.0,2.915,154231391851.85,1542.31,0,0,0,0,0,1,1,0,0,False,True,-1,0
2023-03-01,PVDF概念,2,0,0,100.0,1.7650000000000001,122951537112.35,1229.52,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,QFII重仓,4,4,0,50.0,0.58125,596358025553.98,5963.58,0,0,1,3,0,2,2,0,0,False,True,-1,0
2023-03-01,TOPCon电池,1,0,0,100.0,0.9,65079699388.77,650.80,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,VPN,2,0,0,100.0,4.305,111240872245.98,1112.41,0,0,0,0,0,1,0,1,0,False,True,-1,0
2023-03-01,WiFi,2,0,0,100.0,3.565,140353078721.34,1403.53,0,0,0,0,0,1,0,1,0,False,True,-1,0
2023-03-01,eSIM,1,0,0,100.0,1.28,95428032448.31999,954.28,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,一带一路,12,2,3,70.58823529411765,1.946470588235294,1210404703101.56,12104.05,0,0,0,2,3,8,2,2,0,False,True,-1,0
2023-03-01,上证180_,37,10,4,72.54901960784314,1.1850980392156862,3741269151961.92,37412.69,0,0,1,9,5,30,3,2,1,False,True,-1,0
2023-03-01,上证380,13,4,2,68.42105263157895,0.8973684210526316,1249863754840.7,12498.64,0,0,0,4,3,9,3,0,0,False,True,-1,0
2023-03-01,上证50_,4,1,0,80.0,0.524,417213563448.06995,4172.14,0,0,0,1,0,4,0,0,0,False,True,-1,0
2023-03-01,专精特新,1,1,0,50.0,0.48500000000000004,108811357647.16,1088.11,0,0,0,1,0,1,0,0,0,False,True,-1,0
2023-03-01,东北振兴,0,1,1,0.0,-0.19,149639692216.76,1496.40,0,0,0,1,1,0,0,0,0,True,False,0,-1
2023-03-01,东数西算,4,0,0,100.0,6.3925,243996073902.3,2439.96,0,0,0,0,0,0,1,3,0,False,True,-1,0
2023-03-01,中字头,10,0,0,100.0,2.775,737093277573.13,7370.93,0,0,0,0,0,6,3,1,0,False,True,-1,0
2023-03-01,中芯概念,4,1,0,80.0,1.254,289569435584.5,2895.69,0,0,0,1,0,3,1,0,0,False,True,-1,0
2023-03-01,中药概念,4,2,2,50.0,0.4075,547482737819.35,5474.83,0,0,0,2,2,4,0,0,0,False,True,-1,0
