日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,主力净流入-净额,主力净流入-净占比,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,IT服务,33,1,0,97.05882352941177,4.469117647058823,637888861643.97,1716999217.0,6.027352941176471,6378.89,0,0,0,0,1,13,10,8,2,False,False,0,0
2023-03-01,LED,3,0,0,100.0,1.78,44999577623.7,45771947.0,4.256666666666667,450.00,0,0,0,0,1,1,1,0,0,False,True,-1,0
2023-03-01,专业工程,7,1,0,87.5,2.38375,146894751828.68,384094816.0,-0.6937500000000001,1468.95,0,0,0,1,0,6,0,0,1,False,False,0,0
2023-03-01,专业服务,4,2,0,66.66666666666666,0.20166666666666663,97227310739.55,4937362.0,2.2899999999999996,972.27,0,0,0,2,1,2,1,0,0,False,False,0,0
2023-03-01,专业连锁,3,0,1,75.0,0.845,54123663285.2,-11962039.0,-3.805,541.24,0,0,0,0,1,3,0,0,0,False,False,0,0
2023-03-01,专用设备,17,16,0,51.515151515151516,0.5403030303030303,587934023188.84,-59614249.0,-2.4136363636363636,5879.34,0,0,1,14,1,13,2,2,0,False,False,0,0
2023-03-01,个护用品,0,0,1,0.0,0.0,17040913507.64,-4691502.0,-5.35,170.41,0,0,0,0,1,0,0,0,0,False,False,0,0
2023-03-01,中药,12,6,4,54.54545454545454,-0.05727272727272726,376834941852.14,-309090261.0,-4.335454545454546,3768.35,0,0,1,5,5,11,0,0,0,False,False,0,0
2023-03-01,乘用车,2,0,0,100.0,1.0699999999999998,48695679162.31,23176675.0,6.395,486.96,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,乳品,2,1,0,66.66666666666666,-0.48333333333333334,47674156547.39,-5126324.0,-3.6133333333333333,476.74,0,0,1,0,1,1,0,0,0,False,False,0,0
2023-03-01,互联网电商,2,1,0,66.66666666666666,-0.2666666666666666,71813333731.29001,-64454063.0,-3.9466666666666668,718.13,0,0,0,1,0,2,0,0,0,False,False,0,0
2023-03-01,产业地产,4,0,2,66.66666666666666,0.7166666666666667,103539512933.81,-26966793.0,-5.913333333333334,1035.40,0,0,0,0,2,4,0,0,0,False,False,0,0
2023-03-01,人工景点,1,0,0,100.0,0.57,41286018891.6,-4744375.0,-1.72,412.86,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,仪器仪表,0,4,0,0.0,-1.435,58262839079.619995,-62239936.0,-8.3925,582.63,0,0,0,4,0,0,0,0,0,True,False,0,-1
2023-03-01,休闲食品,7,2,0,77.77777777777779,0.39222222222222225,167226957636.98,5295730.0,-0.16777777777777794,1672.27,0,0,0,2,0,7,0,0,0,False,False,0,0
2023-03-01,传媒,36,1,2,92.3076923076923,3.7282051282051283,664939076287.38,1199840693.0,3.6053846153846156,6649.39,0,0,0,1,2,17,10,7,2,False,False,0,0
2023-03-01,住宅开发,16,4,5,64.0,0.7624,429095278675.23004,-162246328.0,-7.3564,4290.95,0,0,0,4,6,13,1,1,0,False,False,0,0
2023-03-01,体外诊断,4,7,0,36.36363636363637,-0.8063636363636363,207226037990.22,46165060.0,-0.21090909090909118,2072.26,0,1,1,4,1,3,1,0,0,False,False,0,0
2023-03-01,保险,1,0,0,100.0,0.57,17341608369.149998,-7218943.0,-7.16,173.42,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,保险及其他,13,3,3,68.42105263157895,0.5194736842105264,413436121856.45,9293491.0,0.39052631578947367,4134.36,0,0,0,3,3,13,0,0,0,False,False,0,0
2023-03-01,光伏设备,8,19,2,27.586206896551722,-1.8368965517241378,692211428439.76,-595944329.0,-4.441724137931034,6922.11,0,3,5,11,3,7,0,0,0,False,False,0,0
2023-03-01,光学元件,4,0,0,100.0,2.7175000000000002,58285389350.1,20651193.0,4.0625,582.85,0,0,0,0,0,2,2,0,0,False,True,-1,0
2023-03-01,光学光电子,17,1,0,94.44444444444444,1.8994444444444443,294147127209.41,122472259.0,4.276666666666667,2941.47,0,0,0,1,1,11,4,1,0,False,False,0,0
2023-03-01,公路铁路运输,8,1,0,88.88888888888889,1.291111111111111,180832122392.28,-23133200.0,-3.8500000000000005,1808.32,0,0,0,1,0,7,1,0,0,False,False,0,0
2023-03-01,其他专用设备,6,7,0,46.15384615384615,0.022307692307692327,204992612445.0,-7728454.0,-1.0938461538461537,2049.93,0,0,1,6,0,5,1,0,0,False,False,0,0
2023-03-01,其他交运设备,4,2,0,66.66666666666666,0.87,123438980548.63,-11401690.0,-5.246666666666667,1234.39,0,0,1,1,0,3,0,1,0,False,False,0,0
2023-03-01,其他传媒,13,0,0,100.0,4.456153846153846,270459092508.04,667329174.0,3.9346153846153844,2704.59,0,0,0,0,0,5,4,3,1,False,True,-1,0
2023-03-01,其他农产品加工,2,0,0,100.0,0.47500000000000003,32393842166.0,-4880870.0,-1.4000000000000004,323.94,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,其他化学制品,5,3,1,55.55555555555556,-0.017777777777777743,179813744312.1,9002240.0,0.19000000000000006,1798.14,0,0,0,3,1,5,0,0,0,False,False,0,0
2023-03-01,其他化学原料,6,1,0,85.71428571428571,0.2814285714285714,108347230157.87,-16848622.0,-2.3542857142857145,1083.47,0,0,0,1,0,6,0,0,0,False,False,0,0
2023-03-01,其他医疗服务,3,7,0,30.0,-0.029999999999999916,265308631631.47,-77573140.0,0.18399999999999989,2653.09,0,0,1,6,0,2,0,0,1,False,False,0,0
2023-03-01,其他家用轻工,1,0,0,100.0,2.16,23261612352.0,880977.0,0.48,232.62,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,其他小金属,6,5,0,54.54545454545454,0.3390909090909091,243982193397.93,-162570693.0,-5.079090909090909,2439.82,0,0,0,4,1,6,0,0,0,False,False,0,0
2023-03-01,其他建材,4,0,0,100.0,2.3425000000000002,106253174221.72,30221069.0,2.575,1062.53,0,0,0,0,0,3,1,0,0,False,True,-1,0
2023-03-01,其他橡胶制品,3,1,0,75.0,0.5575,59424636417.16,-4592386.0,-3.4099999999999997,594.25,0,0,0,1,0,3,0,0,0,False,False,0,0
2023-03-01,其他生物制品,3,8,0,27.27272727272727,-0.8490909090909091,207953663277.0,-36856959.0,-1.9136363636363634,2079.54,0,0,1,6,1,3,0,0,0,False,False,0,0
2023-03-01,其他电子,3,1,0,75.0,0.41,49679890757.45,23745374.0,6.4175,496.80,0,0,0,1,1,2,0,0,0,False,False,0,0
2023-03-01,其他电源设备,4,7,0,36.36363636363637,-0.21090909090909085,192726159171.57,-143740740.0,-7.629090909090909,1927.26,0,0,0,6,2,3,0,0,0,False,False,0,0
2023-03-01,其他白色家电,2,0,0,100.0,2.355,26547700505.64,-16263604.0,-0.06499999999999995,265.48,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,其他社会服务,4,2,0,66.66666666666666,0.20166666666666663,97227310739.55,4937362.0,2.2899999999999996,972.27,0,0,0,2,1,2,1,0,0,False,False,0,0
2023-03-01,其他种植业,1,0,0,100.0,0.87,19899339256.050003,-11438513.0,-12.98,198.99,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,其他纤维,3,0,0,100.0,1.3266666666666667,70818008556.14,8855011.0,2.67,708.18,0,0,0,0,0,3,0,0,0,False,True,-1,0
2023-03-01,其他纺织,0,2,0,0.0,-1.4649999999999999,40846794580.2,-8657781.0,-4.955,408.47,0,0,0,2,0,0,0,0,0,True,False,0,-1
2023-03-01,其他自动化设备,5,0,0,100.0,3.0580000000000003,94735905702.56,11098429.0,1.0999999999999999,947.36,0,0,0,0,0,3,1,1,0,False,True,-1,0
2023-03-01,其他通信设备,1,0,0,100.0,2.54,13702960698.24,39809579.0,9.65,137.03,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,其他通用设备,3,1,0,75.0,0.11499999999999999,80030836597.97,-36119587.0,-6.7175,800.31,0,0,0,0,2,2,0,0,0,False,False,0,0
2023-03-01,其他酒类,0,1,1,0.0,-0.525,65501326288.450005,9607628.0,4.37,655.01,0,0,0,1,1,0,0,0,0,False,False,0,0
2023-03-01,其他金属新材料,1,2,0,33.33333333333333,-0.10666666666666662,39409740729.479996,26685729.0,7.456666666666667,394.10,0,0,0,2,0,0,1,0,0,False,False,0,0
2023-03-01,其他食品,2,2,0,50.0,-0.16999999999999998,116677015717.38,-28469113.0,-0.24249999999999972,1166.77,0,0,0,2,1,1,0,0,0,False,False,0,0
2023-03-01,其他黑色家电,2,0,0,100.0,2.31,33237474437.76,-63486.0,-0.155,332.37,0,0,0,0,0,2,0,0,0,False,True,-1,0
2023-03-01,养殖业,2,4,1,28.57142857142857,-0.4114285714285715,112628761874.98999,-119552179.0,-6.8999999999999995,1126.29,0,0,0,3,3,1,0,0,0,False,False,0,0
2023-03-01,军工电子,12,6,1,63.1578947368421,0.8436842105263158,444533985249.08997,166626460.0,-0.0910526315789474,4445.34,0,0,0,6,1,11,1,0,0,False,False,0,0
2023-03-01,农业服务,1,4,0,20.0,-1.9620000000000002,65396542051.31,-15169776.0,-1.1960000000000002,653.97,0,0,2,2,0,1,0,0,0,False,False,0,0
2023-03-01,农产品加工,4,4,0,50.0,-0.03624999999999999,123917066751.7,-98801344.0,-5.96,1239.17,0,0,0,4,0,4,0,0,0,False,False,0,0
2023-03-01,农商行,5,0,1,83.33333333333334,0.7616666666666667,113801627249.63,-20799437.0,-4.864999999999999,1138.02,0,0,0,0,1,5,0,0,0,False,False,0,0
2023-03-01,农用机械,1,1,0,50.0,-0.55,32474227635.64,-4182581.0,0.98,324.74,0,0,0,1,0,1,0,0,0,False,False,0,0
