日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,IT服务,2,0,0,100.0,4.715,130972610128.79999,1309.73,0,0,0,0,0,0,1,1,0
2023-03-01,LED,1,0,0,100.0,0.16,96088500682.02,960.89,0,0,0,0,0,1,0,0,0
2023-03-01,专业工程,2,0,0,100.0,2.025,128325324121.20001,1283.25,0,0,0,0,0,2,0,0,0
2023-03-01,专用设备,2,0,0,100.0,1.475,178949785747.87,1789.50,0,0,0,0,0,2,0,0,0
2023-03-01,中药,3,0,1,75.0,1.1475,221277393147.78,2212.77,0,0,0,0,1,3,0,0,0
2023-03-01,乘用车,1,0,0,100.0,3.59,58393884237.0,583.94,0,0,0,0,0,0,1,0,0
2023-03-01,传媒,3,0,0,100.0,3.8699999999999997,213474567621.05002,2134.75,0,0,0,0,0,0,3,0,0
2023-03-01,保险及其他,1,0,0,100.0,0.85,75220370520.05,752.20,0,0,0,0,0,1,0,0,0
2023-03-01,光伏设备,0,5,0,0.0,-1.5879999999999999,376283951354.32,3762.84,0,0,0,5,0,0,0,0,0
2023-03-01,光学光电子,2,0,0,100.0,0.53,172570575081.38,1725.71,0,0,0,0,0,2,0,0,0
2023-03-01,公路铁路运输,1,0,0,100.0,2.29,52329945934.420006,523.30,0,0,0,0,0,1,0,0,0
2023-03-01,其他传媒,1,0,0,100.0,4.73,51033057105.810005,510.33,0,0,0,0,0,0,1,0,0
2023-03-01,其他化学制品,1,0,0,100.0,1.21,59361253549.64001,593.61,0,0,0,0,0,1,0,0,0
2023-03-01,其他家用轻工,0,1,0,0.0,-0.4,97524838977.5,975.25,0,0,0,1,0,0,0,0,0
2023-03-01,其他建材,2,0,0,100.0,4.235,143586806293.72998,1435.87,0,0,0,0,0,0,2,0,0
2023-03-01,其他生物制品,1,1,0,50.0,0.21000000000000002,132004124159.12,1320.04,0,0,0,1,0,1,0,0,0
2023-03-01,其他电源设备,0,1,1,0.0,-0.38,126340291840.73999,1263.40,0,0,0,1,1,0,0,0,0
