日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,3D打印,12,3,1,75.0,0.8987499999999999,302073471849.48,3020.73,0,0,0,3,1,10,1,1,0,False,False,0,0
2023-03-01,5G,75,23,3,74.25742574257426,1.6354455445544556,2021898644142.87,20218.99,0,0,1,21,5,58,10,4,2,False,False,0,0
2023-03-01,6G概念,10,1,0,90.9090909090909,2.411818181818182,258118267025.43,2581.18,0,0,0,1,0,7,2,1,0,False,False,0,0
2023-03-01,AIGC概念,18,1,0,94.73684210526315,6.0394736842105265,303437167655.91003,3034.37,0,0,0,1,0,3,8,4,3,False,False,0,0
2023-03-01,C2M概念,4,0,1,80.0,3.1660000000000004,72269270180.68,722.69,0,0,0,0,1,1,2,1,0,False,False,0,0
2023-03-01,CRO概念,2,8,0,20.0,-0.34299999999999997,207019974997.66998,2070.20,0,0,0,6,3,1,0,0,0,False,False,0,0
2023-03-01,ChatGPT概念,13,1,0,92.85714285714286,5.5842857142857145,238725872063.17,2387.26,0,0,0,1,0,1,6,4,2,False,False,0,0
2023-03-01,DRG/DIP,5,0,0,100.0,3.5340000000000003,87259920306.29999,872.60,0,0,0,0,0,2,2,1,0,False,True,-1,0
2023-03-01,EDR概念,5,0,0,100.0,2.004,89856193544.48,898.56,0,0,0,0,0,4,1,0,0,False,True,-1,0
2023-03-01,ERP概念,5,0,0,100.0,4.2219999999999995,80487834038.86,804.88,0,0,0,0,0,1,3,1,0,False,True,-1,0
2023-03-01,ETC,8,2,0,80.0,4.504,160061015347.27,1600.61,0,0,0,1,1,4,2,1,1,False,False,0,0
2023-03-01,F5G概念,9,0,0,100.0,1.9055555555555554,194902974518.52,1949.03,0,0,0,0,0,8,0,1,0,False,True,-1,0
2023-03-01,HJT电池,3,8,1,25.0,-1.07,265479489543.04,2654.79,0,0,1,7,1,3,0,0,0,False,False,0,0
2023-03-01,MCU芯片,13,1,1,86.66666666666667,1.8613333333333333,376301636510.05,3763.02,0,0,0,1,1,9,3,1,0,False,False,0,0
2023-03-01,MSCI概念,213,86,25,65.74074074074075,0.7666975308641976,9165481148749.64,91654.81,0,2,2,74,39,177,18,9,3,False,False,0,0
2023-03-01,MicroLED概念,5,0,0,100.0,2.484,78048408337.35,780.48,0,0,0,0,0,3,2,0,0,False,True,-1,0
2023-03-01,MiniLED,15,5,0,75.0,1.1215,422375499095.73,4223.75,0,0,1,4,0,12,2,1,0,False,False,0,0
2023-03-01,NFT概念,11,0,1,91.66666666666666,5.335833333333333,193113512849.79,1931.14,0,0,0,0,1,4,3,2,2,False,False,0,0
2023-03-01,NMN概念,6,2,0,75.0,-0.024999999999999967,135649183999.59,1356.49,0,0,0,2,0,6,0,0,0,False,False,0,0
2023-03-01,OLED,37,7,0,84.0909090909091,0.9931818181818183,872007694902.17,8720.08,0,0,0,7,0,34,2,1,0,False,False,0,0
2023-03-01,PCB概念,10,3,0,76.92307692307693,0.8638461538461539,298511608436.93,2985.12,0,0,0,3,1,8,1,0,0,False,False,0,0
2023-03-01,PET铜箔,3,3,1,42.857142857142854,-0.018571428571428548,108531341812.97,1085.31,0,0,0,2,2,3,0,0,0,False,False,0,0
2023-03-01,PM2.5,3,2,0,60.0,-0.20600000000000002,106603844276.13,1066.04,0,0,0,2,1,2,0,0,0,False,False,0,0
2023-03-01,POE胶膜,2,2,0,50.0,-1.3075,60751294146.33,607.51,0,0,1,1,0,2,0,0,0,False,False,0,0
2023-03-01,PPP概念,29,4,3,80.55555555555556,1.3119444444444444,673699305060.86,6736.99,0,0,0,3,4,25,1,2,1,False,False,0,0
2023-03-01,PVDF概念,3,4,0,42.857142857142854,-0.21999999999999997,157111397831.23,1571.11,0,0,0,4,0,3,0,0,0,False,False,0,0
2023-03-01,REITs概念,11,1,2,78.57142857142857,1.545,276524483355.7,2765.24,0,0,0,1,2,8,2,1,0,False,False,0,0
2023-03-01,ST板块,7,3,1,63.63636363636363,0.5581818181818182,200866322465.02,2008.66,0,0,0,3,1,6,1,0,0,False,False,0,0
2023-03-01,TOPCON电池,8,12,1,38.095238095238095,-0.5571428571428572,439932090794.39,4399.32,0,0,2,10,2,6,0,1,0,False,False,0,0
2023-03-01,Web3.0,9,1,1,81.81818181818183,4.054545454545455,189089079972.13,1890.89,0,0,0,1,1,3,3,1,2,False,False,0,0
2023-03-01,WiFi 6,10,0,0,100.0,3.2049999999999996,189692735286.03,1896.93,0,0,0,0,0,9,0,0,1,False,True,-1,0
2023-03-01,一体化压铸,7,7,0,50.0,-0.27214285714285713,246629359603.33,2466.29,0,0,0,7,0,6,1,0,0,False,False,0,0
2023-03-01,一带一路,64,20,4,72.72727272727273,0.7468181818181818,1791163946109.54,17911.64,0,0,0,20,5,57,3,2,1,False,False,0,0
2023-03-01,三胎概念,10,10,1,47.61904761904761,-0.06857142857142857,326766016828.47,3267.66,0,0,0,10,2,9,0,0,0,False,False,0,0
2023-03-01,上海国企改革,17,4,5,65.38461538461539,0.6419230769230769,485559205366.59,4855.59,0,0,0,4,8,13,0,1,0,False,False,0,0
2023-03-01,上海自贸区,13,2,4,68.42105263157895,0.9873684210526317,471223656583.63,4712.24,0,0,0,2,4,12,0,0,1,False,False,0,0
2023-03-01,专精特新,71,45,2,60.16949152542372,0.2815254237288136,2179521378687.46,21795.21,0,1,5,37,6,60,8,1,0,False,False,0,0
2023-03-01,世界杯,6,4,1,54.54545454545454,1.6909090909090911,216335179637.36,2163.35,0,0,0,3,2,2,3,1,0,False,False,0,0
2023-03-01,丙烯酸,1,0,0,100.0,0.14,14941461681.98,149.41,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,东数西算（算力）,17,1,0,94.44444444444444,3.9972222222222222,368611543781.88,3686.12,0,0,0,1,0,6,7,3,1,False,False,0,0
2023-03-01,两轮车,5,2,0,71.42857142857143,0.75,159562216548.63,1595.62,0,0,1,1,1,3,0,1,0,False,False,0,0
