日期,板块名称,涨的数量,跌的数量,平的数量,涨幅比,涨跌幅,总市值,主力净流入-净额,主力净流入-净占比,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-01,5G,6,0,1,85.71428571428571,1.534285714285714,513220324262.5,316630121.0,0.7928571428571427,5132.20,0,0,0,0,1,5,0,1,0,False,False,0,0
2023-03-01,6G概念,1,0,1,50.0,3.095,115643121343.92,105861267.0,7.67,1156.43,0,0,0,0,1,0,0,1,0,False,False,0,0
2023-03-01,AIGC概念,2,0,0,100.0,7.765,130023000046.08,1111027015.0,8.33,1300.23,0,0,0,0,0,0,0,2,0,False,True,-1,0
2023-03-01,C2M概念,2,0,0,100.0,0.22999999999999998,152969501869.81,-65577733.0,-4.775,1529.70,0,0,0,0,1,1,0,0,0,False,True,-1,0
2023-03-01,CRO概念,2,1,0,66.66666666666666,0.1233333333333333,224700152130.97998,-37849015.0,-2.146666666666667,2247.00,0,0,0,1,0,2,0,0,0,False,False,0,0
2023-03-01,ChatGPT概念,2,0,0,100.0,5.2,148073193758.07,244751687.0,4.575,1480.73,0,0,0,0,0,0,1,1,0,False,True,-1,0
2023-03-01,EDR概念,1,0,0,100.0,4.82,80814057758.07,190527424.0,3.91,808.14,0,0,0,0,0,0,1,0,0,False,True,-1,0
2023-03-01,ERP概念,1,0,0,100.0,10.01,87929502971.95999,416757584.0,21.26,879.30,0,0,0,0,0,0,0,0,1,False,True,-1,0
2023-03-01,ETC,1,0,0,100.0,1.28,95428032448.31999,159291133.0,7.72,954.28,0,0,0,0,0,1,0,0,0,False,True,-1,0
2023-03-01,HJT电池,1,1,0,50.0,-0.565,120861287136.36,-53052418.0,-4.395,1208.61,0,0,0,1,1,0,0,0,0,False,False,0,0
