代码,总股本
688018,80484430.0
600486,309898907.0
301380,68000000.0
301369,46400179.0
002629,436648000.0
001217,331870000.0
300725,199664227.0
002975,139380126.0
002748,240000000.0
002036,1073347092.0
688323,180000000.0
688233,160000000.0
603758,438797049.0
603615,241820000.0
603267,232400000.0
601608,4339419293.0
600865,376240316.0
600861,316804949.0
600719,404599600.0
600507,2331805223.0
600408,1006800000.0
600388,1071464473.0
600332,1405890949.0
600168,709569692.0
301226,68000000.0
301049,94253334.0
300346,543702550.0
300286,214716125.0
300211,303359723.0
300146,1700362763.0
300087,676665537.0
300059,13214162544.0
300006,1055911205.0
002972,176320000.0
002879,193107640.0
002419,1168847750.0
002321,2132890071.0
002233,1192275016.0
002188,292538575.0
002134,245849768.0
002080,1678123584.0
001914,1060346060.0
000708,5047154263.0
000683,3621758560.0
000608,749913309.0
000407,880084656.0
870866,
838971,
835892,
688678,173350000.0
688569,210666700.0
688508,113319360.0
688301,72691466.0
688195,129350000.0
605555,265972000.0
605399,240253000.0
605299,411499000.0
603860,66680000.0
603601,1020258062.0
601718,4391629404.0
600862,1393049107.0
600419,320190246.0
301338,76000000.0
301299,60000000.0
301289,60000000.0
301255,68000000.0
301248,102470000.0
301192,
301182,95821700.0
301179,132000000.0
301126,206505700.0
301046,149790000.0
301042,68850000.0
300977,102209704.0
300965,60000000.0
300890,107839341.0
300765,618926162.0
300724,348233546.0
300654,211875580.0
300564,164592000.0
300558,417467045.0
300528,372608054.0
300474,455076384.0
300383,1797592847.0
300337,821920000.0
300334,302065356.0
300301,790108769.0
300292,1341764974.0
300281,418923580.0
300248,481092495.0
300114,590760499.0
300070,3624209363.0
300048,1108301357.0
300047,637744672.0
002873,231969454.0
002865,141524273.0
002857,128000000.0
002805,200044649.0
002777,408231038.0
002660,356626019.0
002451,439200000.0
002430,984542213.0
002424,1411200000.0
002384,1709867327.0
002353,1026952941.0
002117,545666421.0
002073,969506674.0
002012,467625470.0
001313,700000000.0
000886,988828300.0
000848,1076419000.0
000713,614014980.0
000666,704130000.0
000629,8602447902.0
000564,19163777335.0
000413,5382749947.0
000158,1598616721.0
000037,338908150.0
838227,
688597,176472980.0
688303,2137396215.0
603955,135720000.0
603813,106280000.0
603335,428144600.0
603319,208792798.0
603105,500000000.0
601318,10832664498.0
600423,798695026.0
600316,717114512.0
600038,589476716.0
301439,389101809.0
301268,400010000.0
301131,47780000.0
301127,418405800.0
300975,630000000.0
300916,95805000.0
300747,566756060.0
300680,231024278.0
300412,497756637.0
300327,342039282.0
300261,963309471.0
300223,481569911.0
300188,859477310.0
300167,360550000.0
300014,2045721497.0
003816,39334986100.0
002922,301946455.0
002900,316600050.0
002841,701239045.0
002826,190682250.0
002791,321540000.0
002712,544276198.0
002677,646051647.0
002630,1180800000.0
002418,1136400000.0
002386,1015114122.0
002380,239991649.0
002371,528754806.0
002347,504702276.0
002299,1243639674.0
002261,1255827674.0
002198,507509848.0
002179,1630804888.0
002161,739757400.0
002136,215020000.0
001332,80000000.0
001298,96000000.0
000995,177408000.0
000969,1026008097.0
000875,2790208174.0
000851,1157860020.0
000786,1689507842.0
000762,521171240.0
000667,2466988633.0
000663,336683929.0
000519,1392558982.0
000411,309485536.0
000408,1580435073.0
000069,8201793915.0
835640,
834033,
688687,170908422.0
688667,51812140.0
688586,565242254.0
688380,400365000.0
688370,106400000.0
688228,67133440.0
605389,136266760.0
605366,436319000.0
605178,99251600.0
603798,200000000.0
603577,339139100.0
603393,423921327.0
603289,295721200.0
603214,140516936.0
603186,142011646.0
603073,116000000.0
601138,19859592893.0
601137,790044972.0
600976,153398600.0
600973,1371366248.0
600800,1185787580.0
600765,1472049090.0
600705,8830692012.0
600449,478181042.0
600356,298731378.0
600256,6565755139.0
600243,438850000.0
600076,1344543367.0
301391,68000000.0
301286,400100000.0
301259,120000000.0
301185,153417600.0
301171,471885905.0
301092,133333334.0
301029,481557600.0
301013,233743056.0
301003,99053333.0
301000,96000300.0
300995,84160000.0
300952,144927653.0
300915,90000000.0
300907,96000000.0
300877,120000000.0
300851,86933400.0
300831,320000000.0
300686,265624240.0
300661,357166237.0
300603,357934999.0
300600,294234480.0
300467,203204897.0
300425,675708786.0
300388,698962023.0
300271,824561023.0
300208,749475000.0
300173,734725698.0
300164,590908629.0
300121,404770870.0
002959,156000000.0
002916,512877535.0
002891,294112698.0
002875,212817152.0
002851,497569343.0
002793,1087588486.0
002727,596023425.0
002681,1824667620.0
002574,528000000.0
002560,528619670.0
002552,435612051.0
002514,720034264.0
002432,481650022.0
002425,956665066.0
002378,924167436.0
002356,1311254521.0
002334,782286810.0
002333,674924800.0
002314,2707782513.0
002289,280253733.0
002239,3243258144.0
002237,1148014400.0
002232,408548455.0
002225,1010368272.0
002152,2483382898.0
002144,176762528.0
002081,2655323689.0
002004,1979919191.0
001323,400010000.0
001267,775446428.0
000937,3533546850.0
000913,468931000.0
000852,941003689.0
000759,681021500.0
000757,640205880.0
000737,1772456167.0
000567,929651442.0
000400,1008327309.0
000062,1045909322.0
000050,2457747661.0
000048,523239250.0
688400,463500000.0
688398,80000000.0
688275,85215178.0
