总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
9842435069.58,6852288136.740001,农药兽药,20100917,300119,瑞普生物,468018786.0,325833958.0
4913062727.27,4913062727.27,电子元件,20070720,002141,贤丰控股,1134656519.0,1134656519.0
4182154136.7,3399803774.6499996,农牧饲渔,20091030,300021,大禹节水,862299822.0,700990469.0
11987950718.199999,11987950718.199999,农药兽药,19990115,600201,生物股份,1120369226.0,1120369226.0
3338535720.0000005,3338535720.0000005,农药兽药,20191028,688098,申联生物,410644000.0,410644000.0
3138430787.1,1567976867.1,农药兽药,20200824,300871,回盛生物,166054539.0,82961739.0
7283640000.0,7283640000.0,农药兽药,20150515,603718,海利生物,644000000.0,644000000.0
14336921570.4,14336921570.4,农药兽药,19990107,600195,中牧股份,1021148260.0,1021148260.0
8137560119.4,7973779683.799999,化肥行业,20110302,002556,辉隆股份,953992980.0,934792460.0
520902200.0,293131780.5,农药兽药,20160805,838275,驱动力,160277600.0,90194394.0
2252404000.0,661215232.08,生物制品,20161117,839729,永顺生物,273350000.0,80244567.0
854150160.0,574970384.94,工程建设,20140808,830964,润农节水,261208000.0,175831922.0
4190868277.26,4114095100.29,农牧饲渔,20120713,002688,金河生物,780422398.0,766125717.0
10026359838.93,9978645357.57,农药兽药,20150518,603566,普莱柯,352916573.0,351237077.0
6286570606.650001,6149418450.1,农药兽药,20170503,002868,绿康生化,155415837.0,152025178.0
12186676492.64,3266798114.86,农药兽药,20200922,688526,科前生物,466207976.0,124973149.0
16957516236.880001,11860944530.0,农牧饲渔,20190218,300761,立华股份,459802501.0,321609125.0
8348473440.5,8343929365.25,农牧饲渔,19970611,000735,罗 牛 山,1151513578.0,1150886809.0
10700553074.4,8175945288.0,农牧饲渔,20070817,002157,正邦科技,3184688415.0,2433317050.0
6228819912.0,3083796463.0,农牧饲渔,20210428,001201,东瑞股份,212805600.0,105356900.0
259878924256.92,171393747885.21002,农牧饲渔,20140128,002714,牧原股份,5472287308.0,3609049229.0
2574226142.28,2513511426.26,农牧饲渔,20060928,002069,ST獐子岛,711112194.0,694340173.0
13275390345.12,1673316737.88,农牧饲渔,20210528,605296,神农集团,524304516.0,66086759.0
3406687965.0,1871666640.0,农牧饲渔,20210413,300967,晓鸣股份,190211500.0,104504000.0
10648925304.54,8902326271.98,农牧饲渔,20070403,002124,天邦食品,1839192626.0,1537534762.0
4353374531.78,1980799315.0199997,农牧饲渔,20200424,002982,湘佳股份,101880986.0,46356174.0
12196956739.0,11609781374.7,农牧饲渔,20171218,603477,巨星农牧,506097790.0,481733667.0
2616571030.74,2616571030.74,农牧饲渔,19970619,600097,开创国际,240936559.0,240936559.0
127281418938.54001,103849049165.26001,农牧饲渔,20151102,300498,温氏股份,6554141037.0,5347530853.0
6050200057.45,6050200057.45,农牧饲渔,20040713,600965,福成股份,818700955.0,818700955.0
