,name,code
0,种植业与林业,881101
1,养殖业,881102
2,农产品加工,881103
3,农业服务,881104
4,煤炭开采加工,881105
5,油气开采及服务,881107
6,化学原料,881108
7,化学制品,881109
8,化工合成材料,881110
9,钢铁,881112
10,金属新材料,881114
11,建筑材料,881115
12,建筑装饰,881116
13,通用设备,881117
14,专用设备,881118
15,仪器仪表,881119
16,电力设备,881120
17,半导体及元件,881121
18,光学光电子,881122
19,其他电子,881123
20,消费电子,881124
21,汽车整车,881125
22,汽车零部件,881126
23,非汽车交运,881127
24,汽车服务,881128
25,通信设备,881129
26,计算机设备,881130
27,白色家电,881131
28,黑色家电,881132
29,饮料制造,881133
30,食品加工制造,881134
31,纺织制造,881135
32,服装家纺,881136
33,造纸,881137
34,包装印刷,881138
35,家用轻工,881139
36,化学制药,881140
37,中药,881141
38,生物制品,881142
39,医药商业,881143
40,医疗器械,881144
41,电力,881145
42,燃气,881146
43,港口航运,881148
44,公路铁路运输,881149
45,机场航运,881151
46,物流,881152
47,房地产开发,881153
48,银行,881155
49,保险及其他,881156
50,证券,881157
51,零售,881158
52,贸易,881159
53,景点及旅游,881160
54,酒店及餐饮,881161
55,通信服务,881162
56,计算机应用,881163
57,传媒,881164
58,综合,881165
59,国防军工,881166
60,非金属材料,881167
61,工业金属,881168
62,贵金属,881169
63,小金属,881170
64,自动化设备,881171
65,电子化学品,881172
66,小家电,881173
67,厨卫电器,881174
68,医疗服务,881175
69,房地产服务,881176
70,互联网电商,881177
71,教育,881178
72,其他社会服务,881179
73,石油加工贸易,881180
74,环保,881181
75,美容护理,881182
76,种子生产,884001
77,粮食种植,884002
78,其他种植业,884003
79,林业,884004
80,海洋捕捞,884005
81,水产养殖,884006
82,畜禽养殖,884007
83,饲料,884008
84,果蔬加工,884009
85,粮油加工,884010
86,其他农产品加工,884011
87,农业综合,884012
88,动物保健,884013
89,煤炭开采,884014
90,焦炭加工,884015
91,油气开采,884016
92,油服工程,884018
93,石油加工,884020
94,油品石化贸易,884021
95,纯碱,884022
96,氯碱,884023
97,无机盐,884024
98,其他化学原料,884025
99,氮肥,884026
100,磷肥及磷化工,884027
101,农药,884028
102,涂料油墨,884030
103,钾肥,884031
104,民爆用品,884032
105,纺织化学用品,884033
106,其他化学制品,884034
107,复合肥,884035
108,氟化工,884036
109,聚氨酯,884039
110,涤纶,884041
111,粘胶,884043
112,其他纤维,884044
113,氨纶,884045
114,其他塑料制品,884046
115,改性塑料,884048
116,其他橡胶制品,884050
117,炭黑,884051
118,普钢,884052
119,铝,884053
120,铜,884054
121,铅锌,884055
122,其他金属新材料,884056
123,磁性材料,884057
124,非金属材料Ⅲ,884058
125,玻璃玻纤,884059
126,水泥,884060
127,其他建材,884062
128,耐火材料,884063
129,管材,884064
130,装饰园林,884065
131,房屋建设,884066
132,基础建设,884067
133,专业工程,884068
134,机床工具,884069
