板块名称,股票个数
IT服务,1
LED,1
专用设备,1
中药,2
乘用车,5
乳品,1
住宅开发,2
保险,5
保险及其他,5
光伏设备,8
光学光电子,2
公路铁路运输,2
其他化学原料,1
其他医疗服务,1
其他家用轻工,1
其他小金属,1
其他生物制品,1
养殖业,2
农产品加工,2
冰洗,1
化学制剂,1
化学制品,3
化学制药,1
化学原料,1
化工合成材料,1
医疗器械,2
医疗服务,2
医疗研发外包,1
医疗美容,1
医疗设备,2
半导体及元件,4
半导体设备,1
商业地产,1
啤酒,1
国有大型银行,6
国防军工,4
城商行,3
基础建设,5
家用轻工,1
小金属,4
工业金属,1
工控设备,1
工程机械,1
建筑材料,1
建筑装饰,6
房地产开发,3
房屋建设,1
新能源发电,4
旅游零售,1
普钢,1
有机硅,1
机场,1
机场航运,4
水泥,1
水电,2
汽车整车,5
汽车零部件,1
油气开采,1
油气开采及服务,1
消费电子,2
消费电子零部件及组装,2
涤纶,1
港口,1
港口航运,2
火电,1
煤炭开采,4
煤炭开采加工,4
物流,1
特钢,1
生物制品,3
电力,7
电力设备,12
电气自控设备,1
电池,3
畜禽养殖,2
疫苗,2
白色家电,3
白酒,6
石油加工,4
石油加工贸易,4
稀土,1
空调,2
粮油加工,1
美容护理,1
聚氨酯,1
股份制银行,7
能源金属,2
自动化设备,1
航天装备,1
航海装备,1
航空装备,2
航空运输,3
航运,1
计算机应用,4
计算机设备,1
证券,11
调味发酵品,1
轨交设备,1
软件开发,3
通信服务,3
通信服务Ⅲ,2
通信网络设备及器件,1
通信设备,1
钢铁,2
钾肥,1
铁路运输,2
铜,1
银行,16
集成电路制造,1
集成电路设计,2
零售,1
非汽车交运,1
非金属材料Ⅲ,1
面板,1
食品加工制造,2
饮料制造,7
饲料,1
