板块名称,股票个数
IT服务,127
LED,40
专业工程,34
专业服务,28
专业连锁,8
专用设备,194
个护用品,13
中药,72
乘用车,9
乳品,18
互联网电商,19
产业地产,10
人工景点,5
仪器仪表,49
休闲食品,21
传媒,142
住宅开发,86
体外诊断,38
体育,3
保险,6
保险及其他,39
光伏设备,57
光学元件,18
光学光电子,102
公交,7
公路铁路运输,34
其他专用设备,75
其他交运设备,16
其他传媒,59
其他农产品加工,12
其他化学制品,70
其他化学原料,22
其他医疗服务,25
其他塑料制品,19
其他家用轻工,30
其他小金属,22
其他建材,23
其他橡胶制品,10
其他生物制品,32
其他电子,36
其他电源设备,25
其他白色家电,27
其他社会服务,31
其他种植业,9
其他纤维,8
其他纺织,19
其他自动化设备,23
其他通信设备,13
其他通用设备,51
其他酒类,9
其他金属新材料,13
其他食品,18
其他黑色家电,7
养殖业,25
军工电子,56
农业服务,16
农业综合,3
农产品加工,42
农商行,10
农用机械,8
农药,30
冰洗,5
冶钢原料,8
出版,28
分立器件,16
制冷空调设备,13
动物保健,13
包装,41
包装印刷,46
化妆品,12
化学制剂,105
化学制品,210
化学制药,150
化学原料,56
化工合成材料,105
医疗器械,120
医疗服务,50
医疗研发外包,25
医疗美容,3
医疗耗材,44
医疗设备,38
医药商业,32
半导体及元件,179
半导体材料,13
半导体设备,16
印制电路板,39
印刷,5
印刷包装机械,11
印染,4
原料药,42
厨卫电器,9
合成树脂,10
品牌消费电子,8
商业地产,8
商业物业经营,18
商用载客车,6
商用载货车,9
啤酒,7
固废治理,32
国有大型银行,6
国防军工,129
地面兵装,10
城商行,17
基础建设,26
复合肥,8
多元金融,33
大气治理,7
家具,30
家用轻工,106
家纺,7
小家电,23
小家电Ⅲ,28
小金属,40
工业金属,63
工控设备,27
工程咨询服务,41
工程机械,28
广告营销,34
建筑材料,76
建筑装饰,153
彩电,4
影视院线,23
房地产开发,104
房地产服务,8
房屋建设,8
改性塑料,18
教育,21
数字媒体,15
文娱用品,20
新能源发电,26
旅游综合,4
旅游零售,1
无机盐,9
普钢,24
景点及旅游,20
有机硅,12
有线电视网络,12
服装,39
服装家纺,63
机器人,20
机场,5
机场航运,13
机床工具,19
林业,4
果蔬加工,5
棉纺,8
楼宇设备,13
民爆用品,11
氟化工,9
氨纶,3
氮肥,5
氯碱,16
水产养殖,4
水务及水治理,41
水泥,25
水电,10
汽车整车,24
汽车服务,14
汽车服务Ⅲ,13
汽车零部件,212
油品石化贸易,6
油服工程,14
油气开采,7
油气开采及服务,21
海洋捕捞,2
涂料油墨,14
消费电子,93
消费电子零部件及组装,85
涤纶,11
港口,18
港口航运,34
游戏,30
激光设备,11
火电,27
炭黑,6
热力,15
焦炭加工,8
煤炭开采,26
煤炭开采加工,33
燃气,29
燃气Ⅲ,25
物流,48
特钢,13
环保,136
环保设备,28
玻璃玻纤,14
瓷砖地板,10
生物制品,51
电力,93
电力设备,328
电子化学品,30
电机,20
电气自控设备,35
电池,84
电能综合服务,15
畜禽养殖,19
疫苗,13
白色家电,36
白酒,20
百货零售,44
石油加工,20
石油加工贸易,26
磁性材料,11
磨具磨料,14
磷肥及磷化工,10
种子生产,9
种植业与林业,24
稀土,4
空调,4
管材,8
粘胶,2
粮油加工,7
粮食种植,2
纯碱,4
纺织制造,34
纺织化学用品,12
纺织服装设备,11
线缆部件及其他,35
综合,24
综合环境治理,28
美容护理,28
耐火材料,6
聚氨酯,10
肉制品,8
股份制银行,9
能源及重型设备,48
能源金属,14
膜材料,18
自动化设备,81
自然景点,11
航天装备,7
航海装备,11
航空装备,45
航空运输,8
航运,16
血液制品,6
被动元件,14
装饰园林,43
计算机应用,257
计算机设备,82
证券,50
调味发酵品,15
贵金属,12
贵金属Ⅲ,9
贸易,17
轨交设备,29
软件开发,130
软饮料,11
辅料,3
输变电设备,49
通信服务,36
通信服务Ⅲ,7
通信线缆及配套,12
通信终端及配件,28
通信网络设备及器件,33
通信设备,86
通用设备,161
造纸,22
酒店,6
酒店及餐饮,9
金属制品,64
金属新材料,24
钛白粉,5
钢铁,45
钾肥,4
铁路运输,7
铅锌,15
铜,16
铝,32
银行,42
集成电路制造,3
集成电路封测,11
集成电路设计,67
零售,71
非汽车交运,45
非金属材料,12
非金属材料Ⅲ,19
面板,44
鞋帽及其他,17
风电设备,23
食品加工制造,80
食品及饲料添加剂,20
餐饮,3
饮料制造,47
饰品,16
饲料,18
高速公路,20
黑色家电,11
