总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
1334361177.6,1334317527.6,专用设备,20040715,002021,ST中捷,687815040.0,687792540.0
54063891630.28001,44038169104.090004,工程机械,20001012,000157,中联重科,8677992236.0,7068726983.0
1205558752.0,321037301.69,通用设备,20160411,836720,吉冈精密,94851200.0,25258639.0
2191360000.0,2191360000.0,电网设备,20170323,002857,三晖电气,128000000.0,128000000.0
35221536232.56,35221536232.56,电网设备,19960205,600885,宏发股份,1042674252.0,1042674252.0
4017915608.5,3281346947.22,电网设备,20150423,300444,双杰电气,725255525.0,592300893.0
3961968538.5,2760610707.0,光学光电子,20190917,002962,五方光电,293479151.0,204489682.0
4032651476.28,1716864303.78,电子元件,20210805,300964,本川智能,77298284.0,32909034.0
7804960164.839999,7778144526.839999,化学制药,19930629,600664,哈药股份,2525877076.0,2517198876.0
4314948957.0,4314948957.0,化学制药,19970616,000788,北大医药,595987425.0,595987425.0
6056316798.0,5892509440.3,化学制药,20100618,002435,长江健康,1235983020.0,1202552947.0
8678299281.85,8678151318.1,化学制药,20150515,002755,奥赛康,928160351.0,928144526.0
4834959418.8,4815220258.8,化学制药,20010618,600488,津药药业,1096362680.0,1091886680.0
6188916384.0,4122770590.2599998,食品饮料,20210209,605077,华康股份,228457600.0,152187914.0
6716820000.0,2580383718.0,电源设备,20200824,300870,欧陆通,101770000.0,39096723.0
12565746757.310001,12565746757.310001,半导体,20191223,688123,聚辰股份,120905867.0,120905867.0
