date,open,close,high,low,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-10-10,11.09,10.86,11.18,10.81,8747,9602030.0,3.33,-2.16,-0.24,0.32
2022-10-11,10.85,11.0,11.1,10.76,7330,8013626.0,3.13,1.29,0.14,0.27
2022-10-12,11.0,11.48,11.5,10.84,11708,13096576.0,6.0,4.36,0.48,0.43
2022-10-13,11.48,11.93,11.95,11.41,20012,23591869.0,4.7,3.92,0.45,0.74
2022-10-14,12.0,12.1,12.18,11.9,18585,22349003.0,2.35,1.42,0.17,0.69
2022-10-17,12.1,12.4,12.44,12.07,19091,23548541.0,3.06,2.48,0.3,0.71
2022-10-18,12.46,12.42,12.51,12.31,15043,18696386.0,1.61,0.16,0.02,0.56
2022-10-19,12.4,12.5,12.65,12.37,17286,21657398.0,2.25,0.64,0.08,0.64
2022-10-20,12.49,12.59,12.74,12.24,19243,24164446.0,4.0,0.72,0.09,0.71
2022-10-21,12.58,12.56,12.66,12.38,11708,14678249.0,2.22,-0.24,-0.03,0.43
2022-10-24,12.58,12.44,12.78,12.37,16185,20427239.0,3.26,-0.96,-0.12,0.6
2022-10-25,12.38,12.31,12.55,12.11,15411,18962356.0,3.54,-1.05,-0.13,0.57
2022-10-26,12.31,12.78,12.87,12.31,29415,37377382.0,4.55,3.82,0.47,1.09
2022-10-27,12.88,12.85,13.05,12.66,25248,32595982.0,3.05,0.55,0.07,0.94
2022-10-28,12.82,12.35,12.83,12.34,25621,32111626.0,3.81,-3.89,-0.5,0.95
2022-10-31,12.43,13.06,13.29,12.4,47848,62410952.0,7.21,5.75,0.71,1.78
2022-11-01,13.12,13.17,13.2,12.87,32881,42898510.0,2.53,0.84,0.11,1.22
2022-11-02,13.7,13.48,13.7,13.18,62638,84275229.0,3.95,2.35,0.31,2.32
2022-11-03,13.32,13.08,13.48,13.01,37285,49131283.0,3.49,-2.97,-0.4,1.38
2022-11-04,13.08,13.1,13.18,12.97,26449,34578723.0,1.61,0.15,0.02,0.98
2022-11-07,13.06,13.32,13.68,13.04,29648,39366180.0,4.89,1.68,0.22,1.1
2022-11-08,13.68,14.65,14.65,13.49,63461,91316030.0,8.71,9.98,1.33,2.35
2022-11-09,16.12,16.12,16.12,16.0,78426,126418768.0,0.82,10.03,1.47,2.91
2022-11-10,16.1,15.42,16.12,15.19,308994,482088171.0,5.77,-4.34,-0.7,11.46
2022-11-11,15.3,15.8,15.88,14.9,264603,407685727.0,6.36,2.46,0.38,9.82
2022-11-14,15.49,14.56,15.5,14.55,154108,229049054.0,6.01,-7.85,-1.24,5.72
2022-11-15,14.55,14.86,15.24,14.52,126875,188445408.0,4.95,2.06,0.3,4.71
2022-11-16,14.68,14.76,15.2,14.58,105239,156779419.0,4.17,-0.67,-0.1,3.9
2022-11-17,15.09,15.68,15.7,14.15,205838,308258622.0,10.5,6.23,0.92,7.64
2022-11-18,15.29,15.62,15.99,15.16,211926,332028763.0,5.29,-0.38,-0.06,7.86
2022-11-21,16.28,15.92,17.18,15.32,201574,325665255.0,11.91,1.92,0.3,7.48
2022-11-22,15.51,14.83,15.54,14.41,142990,215015079.0,7.1,-6.85,-1.09,5.3
2022-11-23,14.86,13.94,14.9,13.92,96714,137803304.0,6.61,-6.0,-0.89,3.59
2022-11-24,13.94,13.7,14.1,13.66,68128,94293552.0,3.16,-1.72,-0.24,2.53
2022-11-25,13.72,13.38,13.8,13.36,57842,78031175.0,3.21,-2.34,-0.32,2.15
2022-11-28,13.06,13.3,13.55,13.06,41848,55889954.0,3.66,-0.6,-0.08,1.55
2022-11-29,13.27,13.82,14.2,13.2,86521,118812031.0,7.52,3.91,0.52,3.21
2022-11-30,13.71,14.49,14.55,13.63,105303,149767020.0,6.66,4.85,0.67,3.91
2022-12-01,14.36,14.83,14.99,14.33,81700,119452805.0,4.55,2.35,0.34,3.03
2022-12-02,14.8,15.25,15.36,14.73,102627,154915429.0,4.25,2.83,0.42,3.81
2022-12-05,15.49,16.17,16.47,15.23,184834,293564815.0,8.13,6.03,0.92,6.86
2022-12-06,16.25,15.72,16.6,15.56,130741,208463578.0,6.43,-2.78,-0.45,4.85
2022-12-07,16.16,15.94,16.68,15.85,162401,264345772.0,5.28,1.4,0.22,6.02
2022-12-08,16.03,15.22,16.2,15.05,109920,169780204.0,7.21,-4.52,-0.72,4.08
2022-12-09,15.46,14.81,15.46,14.74,70027,104722206.0,4.73,-2.69,-0.41,2.6
2022-12-12,15.09,15.2,15.7,14.83,76184,115888046.0,5.87,2.63,0.39,2.83
2022-12-13,15.16,14.47,15.32,14.38,60223,88913225.0,6.18,-4.8,-0.73,2.23
2022-12-14,14.58,14.53,14.9,14.5,38599,56721484.0,2.76,0.41,0.06,1.43
2022-12-15,14.7,14.71,15.2,14.41,45952,68090468.0,5.44,1.24,0.18,1.7
2022-12-16,14.58,14.35,14.7,14.16,40927,58615079.0,3.67,-2.45,-0.36,1.52
2022-12-19,14.35,14.01,14.47,13.9,29797,41842542.0,3.97,-2.37,-0.34,1.11
2022-12-20,14.04,13.81,14.13,13.78,28857,40116235.0,2.5,-1.43,-0.2,1.07
2022-12-21,13.88,13.93,14.13,13.64,33475,46565095.0,3.55,0.87,0.12,1.24
2022-12-22,13.93,13.95,14.2,13.7,44930,62771561.0,3.59,0.14,0.02,1.67
